Id,Symbol,Coin,Current Price,MCap(MC),Trading Volume(V1),Num Markets(MK),Lifespan(L),Volatality(VOL),Trading Volume(V2),Trading Volume(V3),Trading Volume(V4),Network Transaction Volume(NV1),Network Transaction Volume(NV2),Network Transaction Volume(NV3),Network Transaction Volume(NV4),Google_Trend_Score,MC_Rating,MK_Rating,L_Rating,VOL_Rating,V1_Rating,V2_Rating,V3_Rating,V4_Rating,NV1_Rating,NV2_Rating,NV3_Rating,NV4_Rating,Google_Rating,Net Rating,Weights
bitcoin,btc,Bitcoin,8310.891063,1.47529E+11,28214892247,243,3794,64.34394788,24763894028,10644320567,7279093971,5319835425,2811429948,1763569772,1939638007,1050,8,14.69758065,15,15,0,8,0,8,0,8,0,8,15,99.69758065,27.8839725
ethereum,eth,Ethereum,255.3773631,27163085813,10947486779,248,1393,94.03575838,10096944713,4958498941,3462050514,1093565123,705474049,423037886.7,536128676.9,143,1.472963117,15,5.507380074,10.26374684,0,3.261827789,0,3.804924654,0,2.007445498,0,2.211252512,2.042857143,45.57239763,12.74594102
litecoin,ltc,Litecoin,108.5564343,6722102524,4856815117,226,2792,99.0648597,4496649408,1928664085,1182358565,108603314.8,110001618.4,62815403.59,54646381.76,50,0.364517093,13.66935484,11.03848181,9.742700097,0,1.452646956,0,1.299456849,0,0.313012582,0,0.22538796,0.714285714,38.8198439,10.85734933
ripple,xrp,XRP,0.423119421,17848092753,2770037171,151,2126,101.9621695,2247855747,1071343221,800397108.5,26848128.75,17148237.36,11639561.42,13517882.88,139,0.967842259,9.133064516,8.405376911,9.46585604,0,0.726171981,0,0.879666741,0,0.048795773,0,0.05575425,1.985714286,31.66824276,8.857149838
monero,xmr,Monero,92.81686022,1580052497,391126790.6,66,1836,91.60621476,13860347887,2604185805,1366350198,26848128.75,17148237.36,11639561.42,13517882.88,18,0.085680952,3.991935484,7.258829731,10.53595786,0,4.477598837,0,1.501670624,0,0.048795773,0,0.05575425,0.257142857,28.21336637,7.890870841
dash,dash,Dash,163.2962824,1442725808,507183603.4,115,1932,98.28506717,664477574.8,627257748.4,465088170.5,28061133.5,17148237.36,11639561.42,13517882.88,51,0.078234186,6.955645161,7.638376384,9.819998561,0,0.214660125,0,0.511149516,0,0.048795773,0,0.05575425,0.728571429,26.05118539,7.286140068
stellar,xlm,Stellar,0.129424755,2498565304,442329081.7,94,1760,97.20014432,346008227.6,192461448.3,134039664.9,26848128.75,17148237.36,11639561.42,13517882.88,19,0.135488823,5.685483871,6.958355298,9.929606843,0,0.111778294,0,0.147314669,0,0.048795773,0,0.05575425,0.271428571,23.34400639,6.528981227
eos,eos,EOS,7.334060453,7671563755,4926951246,134,691,113.4110686,3464453344,2034952830,1471379759,26848128.75,17148237.36,11639561.42,13517882.88,46,0.416003194,8.10483871,2.731945177,8.510273555,0,1.119195015,0,1.617102089,0,0.048795773,0,0.05575425,0.657142857,23.26105062,6.505779696
zcash,zec,Zcash,83.50448979,554965046.1,449034755.2,99,944,90.6527416,416399980.1,319968869.2,237389657.3,26848128.75,20417489,13661935.31,15254432.79,8,0.030093895,5.987903226,3.732208751,10.64677362,0,0.134518418,0,0.260900225,0,0.058098517,0,0.062916617,0.114285714,21.02769899,5.88114352
nem,xem,NEM,0.091293887,822421268.1,70502141.2,47,1521,98.93186806,61799924.1,25333404.13,20212791.45,26848128.75,17148237.36,11639561.42,13517882.88,76,0.044597149,2.842741935,6.013442277,9.755796965,0,0.019964525,0,0.022214623,0,0.048795773,0,0.05575425,1.085714286,19.88902179,5.562671963
