date,btc,eth,xrp,bch,bsv,ltc,eos,bnb,xtz,ada,okb,link,xlm,xmr,leo,trx,ht,cro,dash,etc,neo,atom,miota,zec,xem
2019-04-28,32,3,4,2,0,1,1,5,0,4,0,4,1,0,1,0,2,0,2,1,1,1,0,0,2
2019-05-05,42,6,4,2,0,3,1,3,0,3,0,4,1,1,2,1,4,0,2,1,2,0,0,0,2
2019-05-12,74,9,11,3,0,3,2,4,0,4,0,4,1,1,2,1,2,0,3,1,2,0,0,0,1
2019-05-19,50,7,5,2,0,3,2,5,0,3,0,6,1,0,2,1,1,0,2,1,3,0,0,0,3
2019-05-26,54,6,7,2,1,3,3,5,0,4,0,5,1,1,2,1,2,0,2,1,3,0,0,0,3
2019-06-02,48,6,6,1,1,3,2,5,0,3,0,4,1,1,2,1,2,0,2,1,2,1,0,0,3
2019-06-09,45,5,4,1,0,2,2,4,0,3,0,5,1,1,2,1,3,0,2,1,2,1,0,1,2
2019-06-16,66,8,9,1,1,3,2,5,0,4,0,5,1,1,2,1,2,0,2,1,2,0,0,1,3
2019-06-23,100,9,10,2,1,5,1,4,0,4,0,6,1,0,2,1,2,0,3,1,2,0,0,0,3
2019-06-30,68,6,6,1,0,2,2,4,0,3,0,6,0,0,1,0,2,0,2,1,2,1,0,0,2
2019-07-07,66,6,5,2,0,2,1,4,0,4,0,4,1,1,2,1,3,0,2,0,2,1,0,0,2
2019-07-14,59,5,5,1,0,3,2,4,0,3,0,5,1,1,3,2,2,0,2,0,3,1,0,0,2
2019-07-21,45,6,4,2,0,2,2,3,0,3,0,5,1,0,2,1,2,0,2,0,1,0,0,0,2
2019-07-28,43,5,4,1,0,1,2,4,0,3,0,6,0,0,3,0,2,0,2,0,2,1,0,0,2
2019-08-04,57,5,5,0,0,1,1,5,0,3,0,5,1,1,2,1,3,0,3,1,2,0,0,0,2
2019-08-11,49,5,5,2,0,2,1,4,0,3,0,5,0,1,1,1,2,0,1,0,2,0,0,0,3
2019-08-18,48,6,3,1,0,2,1,4,0,4,0,5,0,1,2,1,4,1,3,1,2,0,0,0,3
2019-08-25,39,4,3,1,0,2,1,4,0,2,0,6,0,1,1,1,2,0,2,0,1,1,0,0,2
2019-09-01,45,5,4,2,0,3,1,5,0,2,0,4,1,0,3,1,2,0,2,1,3,1,0,0,2
2019-09-08,36,3,3,1,1,2,2,4,0,3,0,5,0,1,2,1,2,0,1,1,3,0,0,0,3
2019-09-15,34,5,6,1,0,3,1,4,0,3,0,3,1,0,2,1,2,0,2,1,2,1,0,1,1
2019-09-22,44,5,5,1,0,2,1,4,0,3,0,3,1,1,2,1,2,0,1,1,1,1,0,0,2
2019-09-29,39,4,4,1,0,2,1,4,0,3,0,4,0,0,2,1,1,0,2,1,2,1,0,0,2
2019-10-06,38,3,3,1,0,2,1,7,0,4,0,5,1,1,2,0,3,0,1,1,1,1,0,0,2
2019-10-13,33,4,4,1,0,1,1,4,0,2,0,4,0,1,2,0,3,0,1,1,1,1,0,0,2
2019-10-20,42,4,5,1,1,1,1,4,0,3,0,5,0,0,2,1,1,1,1,1,1,1,0,0,2
2019-10-27,41,4,4,1,0,1,1,4,0,3,0,5,1,0,2,1,2,0,1,1,2,0,0,0,2
2019-11-03,31,4,5,1,0,2,2,4,0,4,0,4,1,1,2,1,2,0,1,1,2,0,0,0,1
2019-11-10,34,4,2,1,0,2,2,4,0,4,0,5,0,1,3,1,2,0,1,1,1,1,0,0,2
2019-11-17,36,4,3,1,0,0,1,3,0,4,0,4,1,1,2,1,1,0,1,1,2,1,0,0,2
2019-11-24,43,4,3,1,0,2,1,4,0,4,0,5,0,1,2,0,1,0,2,1,2,0,0,0,2
2019-12-01,36,4,3,1,0,2,1,4,0,3,0,4,1,1,2,1,1,0,2,1,2,0,0,0,2
2019-12-08,35,3,2,1,0,1,1,5,0,3,0,4,0,0,2,1,1,0,2,1,2,0,0,0,2
2019-12-15,39,4,5,1,0,2,1,3,0,4,0,5,1,1,3,0,1,0,1,1,2,0,0,0,2
2019-12-22,34,4,4,1,0,1,1,3,0,3,0,5,1,0,1,0,1,0,2,0,2,0,0,0,1
2019-12-29,35,4,3,2,0,1,1,3,0,8,0,5,1,1,2,1,1,0,2,0,2,0,0,0,2
2020-01-05,50,4,4,2,0,2,1,3,0,3,0,4,1,1,1,1,2,0,1,1,3,1,0,0,1
2020-01-12,48,6,6,2,1,3,2,4,0,4,0,4,0,1,2,1,1,0,3,1,1,1,0,0,2
2020-01-19,40,4,4,1,1,2,1,5,0,3,0,4,0,0,2,1,1,0,3,1,2,1,0,0,1
2020-01-26,44,5,4,2,0,3,1,4,0,5,0,4,0,0,2,1,2,0,2,1,2,1,0,0,1
2020-02-02,50,7,8,2,0,3,1,4,0,4,0,5,1,1,1,1,1,0,2,0,2,0,0,0,2
2020-02-09,54,11,8,1,1,3,1,4,0,3,0,6,1,0,2,1,2,0,2,1,2,0,0,0,3
2020-02-16,46,9,6,1,0,3,1,4,0,3,0,5,1,1,1,2,2,0,2,0,3,1,0,0,2
2020-02-23,47,8,5,2,0,2,1,4,0,3,0,5,0,0,2,1,4,0,2,1,2,0,0,0,4
2020-03-01,46,5,5,1,0,3,1,4,0,3,0,6,0,0,2,1,4,0,2,1,2,0,0,0,3
2020-03-08,84,8,7,2,0,4,2,4,0,3,0,8,0,0,3,1,5,0,2,1,2,0,0,0,1
2020-03-15,94,7,6,2,0,2,1,4,0,4,0,5,1,1,1,1,3,1,1,0,2,1,0,0,2
2020-03-22,68,6,5,1,0,1,1,3,0,5,0,7,0,0,2,1,3,0,2,1,2,0,0,0,2
2020-03-29,62,7,4,2,0,1,2,3,0,4,0,5,0,0,2,1,2,0,2,1,2,1,0,0,2
2020-04-05,58,7,5,2,1,2,2,3,0,3,0,8,0,1,2,1,3,0,2,1,1,0,0,0,3
2020-04-12,53,6,4,2,1,3,1,2,0,6,0,7,0,1,2,1,2,0,2,1,2,1,0,0,3
2020-04-19,56,7,5,1,0,2,2,2,0,4,0,7,1,1,1,1,3,0,2,1,1,1,0,1,3
