date,btc,eth,xrp,eos,bch,ltc,bnb,ada,xlm,trx,bsv,xmr,leo,dash,miota,xtz,atom,etc,ont,xem,neo,mkr,zec,okb,bat,link,hot,vet,btg,cro
2018-06-17,35,6,2,3,1,1,5,3,0,2,0,2,2,3,0,0,0,2,1,4,3,0,0,0,3,5,18,0,0,0
2018-06-24,35,6,4,4,1,1,5,4,1,2,0,1,3,3,0,0,0,1,0,4,3,0,1,0,3,6,20,1,0,0
2018-07-01,34,5,4,4,1,2,6,5,1,1,0,1,2,2,0,0,0,1,0,5,3,0,0,0,3,5,20,1,1,1
2018-07-08,36,5,4,2,1,1,5,4,0,0,0,1,2,3,0,0,0,1,0,4,4,0,0,0,3,5,18,1,0,1
2018-07-15,40,6,5,2,1,2,4,6,1,1,0,1,4,3,0,0,1,2,0,3,4,0,1,0,2,5,18,1,1,0
2018-07-22,48,7,4,3,2,1,5,4,1,2,0,2,3,3,0,0,0,2,1,3,2,0,1,0,3,7,19,1,1,0
2018-07-29,44,6,3,3,1,2,6,4,1,1,0,2,2,4,0,0,1,1,0,3,3,0,1,0,3,6,19,1,1,0
2018-08-05,43,6,4,2,2,2,7,6,1,1,0,1,2,2,0,0,1,1,1,3,4,0,1,0,2,5,21,1,0,1
2018-08-12,45,7,6,4,1,2,7,4,1,2,0,1,3,3,0,0,0,2,1,4,5,0,1,0,2,7,22,1,0,0
2018-08-19,39,6,4,2,1,2,6,4,0,1,0,1,2,3,0,0,1,2,1,4,4,0,1,0,3,6,17,1,0,1
2018-08-26,42,5,4,3,1,2,5,4,0,1,0,2,3,5,0,0,1,1,1,4,3,0,0,0,2,6,24,1,1,0
2018-09-02,50,8,4,3,1,2,6,6,0,1,0,2,3,3,0,0,1,1,1,3,3,0,1,0,2,5,25,1,0,0
2018-09-09,44,9,5,2,1,2,6,4,1,1,0,2,2,4,0,0,1,1,1,2,3,0,1,0,2,5,21,1,1,0
2018-09-16,41,7,12,3,1,2,5,4,0,0,0,1,3,2,0,0,0,2,1,3,2,0,0,0,2,6,21,0,1,1
2018-09-23,41,7,11,2,2,2,4,4,1,1,0,1,3,3,0,0,1,1,1,2,3,0,0,0,3,4,18,0,1,0
2018-09-30,39,6,10,2,1,2,6,4,0,1,0,1,3,2,0,0,1,1,1,3,3,0,1,0,3,5,18,1,1,0
2018-10-07,38,5,7,2,1,2,4,4,0,1,0,1,3,2,0,0,1,1,1,2,4,0,0,0,1,5,18,1,1,0
2018-10-14,41,6,7,2,1,3,5,3,1,1,0,1,3,2,0,0,1,1,1,2,3,0,1,0,2,5,17,1,1,0
2018-10-21,35,6,6,2,1,2,4,3,1,1,0,1,3,2,0,0,1,1,1,3,3,0,0,0,2,6,17,1,0,0
2018-10-28,33,5,6,2,1,2,5,5,0,1,0,1,2,2,0,0,1,1,0,4,2,0,1,0,2,6,16,1,0,0
2018-11-04,37,7,8,1,3,2,4,4,1,1,0,1,3,4,0,0,1,1,0,3,2,0,1,0,3,4,17,1,1,0
2018-11-11,42,7,8,2,3,2,4,4,1,1,0,1,2,3,0,0,1,1,1,4,2,0,0,0,3,4,18,1,0,0
