date,btc,eth,xrp,ltc,bch,eos,bnb,bsv,ada,xlm,trx,xmr,leo,ht,dash,atom,link,miota,neo,xtz,okb,etc,ont,xem,zec
2018-07-29,33,4,3,2,1,2,4,0,3,1,1,1,2,2,2,0,5,0,3,0,0,1,1,2,1
2018-08-05,34,4,3,1,1,1,5,0,3,0,1,1,2,6,2,1,5,0,2,0,0,1,0,3,1
2018-08-12,35,5,5,2,1,3,5,0,2,1,1,1,3,8,3,1,5,0,3,0,0,1,1,3,0
2018-08-19,33,4,3,2,1,1,5,0,3,0,1,1,2,2,2,1,4,0,2,0,0,1,1,3,1
2018-08-26,34,4,4,2,1,2,4,0,3,1,1,1,2,3,2,1,5,0,2,0,0,1,1,3,0
2018-09-02,38,6,3,3,2,3,4,0,4,0,1,1,2,2,3,1,5,0,2,0,0,1,0,2,1
2018-09-09,30,7,3,2,1,2,5,0,3,0,1,1,3,2,2,0,5,0,2,0,0,1,0,2,0
2018-09-16,32,6,10,2,1,2,4,0,4,0,1,1,3,2,2,0,4,0,2,0,0,1,0,2,0
2018-09-23,31,4,9,2,1,2,3,0,4,0,1,1,2,4,2,1,4,0,2,0,0,1,0,2,0
2018-09-30,29,4,8,2,1,2,3,0,4,0,1,0,2,3,2,0,4,0,2,0,0,1,1,2,0
2018-10-07,29,4,6,2,1,1,4,0,3,0,1,1,2,4,2,0,5,0,2,0,0,1,0,3,0
2018-10-14,32,4,6,2,1,2,4,0,3,0,1,0,2,5,1,1,4,0,2,0,0,1,1,2,0
2018-10-21,27,5,4,1,1,2,3,0,3,0,1,1,2,3,2,1,4,0,2,0,0,1,0,2,0
2018-10-28,26,4,4,2,1,1,4,0,3,0,1,1,2,3,2,1,5,0,2,0,0,1,1,2,0
2018-11-04,27,4,6,2,2,1,3,0,4,1,1,1,2,3,2,0,3,0,2,0,0,1,0,2,1
2018-11-11,32,5,6,2,2,1,4,0,3,1,1,1,2,3,3,1,4,0,2,0,0,1,0,3,0
2018-11-18,43,5,6,2,2,2,3,0,3,1,1,0,2,3,2,1,5,0,3,0,0,0,1,3,0
2018-11-25,46,6,5,1,2,1,3,1,4,1,0,1,2,2,2,1,4,0,2,0,0,1,0,3,0
2018-12-02,39,5,5,2,1,1,3,0,4,1,1,1,2,2,2,1,4,0,2,0,0,1,1,3,0
2018-12-09,35,4,5,1,1,1,3,0,2,1,1,1,2,2,2,1,4,0,2,0,0,1,0,3,0
2018-12-16,36,5,5,2,1,1,3,0,2,1,1,1,1,2,2,0,5,0,2,0,0,0,0,2,0
2018-12-23,37,6,6,1,1,2,2,0,3,1,1,1,2,2,2,1,4,0,2,0,0,1,1,2,0
2018-12-30,31,6,5,1,1,2,4,0,5,0,1,1,2,2,2,1,4,0,2,0,0,1,0,2,1
2019-01-06,31,6,4,1,1,2,4,0,3,1,1,1,2,2,2,0,5,0,2,0,0,1,0,3,0
2019-01-13,29,4,3,1,1,1,5,0,2,0,1,1,2,2,2,1,5,0,2,0,0,1,1,2,0
2019-01-20,24,3,3,1,1,1,4,0,2,0,1,1,2,2,1,0,4,0,1,0,0,1,0,2,0
2019-01-27,23,3,4,1,1,2,4,0,3,0,2,1,2,2,1,1,4,0,3,0,0,1,0,2,0
2019-02-03,25,3,3,1,1,2,4,0,3,0,1,0,2,2,1,1,4,0,1,0,0,1,1,2,0
2019-02-10,23,4,4,1,1,2,4,0,2,0,1,1,2,2,2,0,5,0,2,0,0,1,1,3,0
2019-02-17,29,5,3,2,1,2,4,0,3,0,1,1,2,3,2,0,4,0,2,0,0,1,0,3,0
2019-02-24,27,5,4,1,1,1,4,0,3,0,0,0,2,2,2,0,4,0,2,0,0,1,0,4,0
2019-03-03,24,5,3,1,1,1,5,0,3,0,1,0,2,3,2,1,4,0,2,0,0,1,0,4,0
2019-03-10,24,3,3,2,1,1,4,0,3,1,1,1,2,2,2,1,4,0,1,0,0,0,0,3,0
2019-03-17,25,3,3,2,1,1,4,0,4,1,1,1,2,3,2,0,5,0,2,0,0,1,0,5,1
2019-03-24,26,4,3,1,1,2,4,0,3,1,1,1,2,5,2,0,6,0,2,0,0,1,0,4,0
2019-03-31,42,5,5,3,2,2,4,0,4,1,2,1,2,2,2,1,5,0,2,0,0,1,0,3,0
2019-04-07,35,5,5,2,2,2,4,0,4,1,1,1,2,2,1,0,5,0,2,0,0,1,1,3,0
2019-04-14,33,4,4,2,2,1,5,1,3,1,1,0,2,2,2,1,5,0,2,0,0,0,0,2,0
2019-04-21,36,4,4,2,2,2,4,0,4,1,1,1,2,2,2,1,4,0,2,0,0,0,1,2,0
2019-04-28,33,4,4,1,1,1,4,0,3,2,0,0,1,1,2,0,4,0,2,0,0,1,0,3,0
2019-05-05,44,5,5,2,2,1,4,0,3,1,1,1,2,3,2,1,5,0,2,0,0,1,0,2,0
2019-05-12,78,9,11,3,2,2,4,0,4,2,1,1,1,2,2,0,5,0,3,0,0,1,1,2,0
2019-05-19,51,8,7,2,1,1,5,1,4,1,1,1,2,1,2,0,5,0,1,0,0,1,1,3,0
2019-05-26,55,7,8,3,2,4,5,1,3,1,1,1,2,2,2,0,5,0,2,0,0,1,1,3,0
2019-06-02,48,7,6,3,1,3,5,1,2,1,1,1,2,2,2,0,4,0,2,0,0,1,0,2,0
2019-06-09,45,6,4,3,2,1,6,0,3,1,1,0,2,2,2,1,5,0,2,0,0,1,0,3,0
2019-06-16,66,7,9,3,2,2,7,0,4,1,1,1,2,2,2,1,5,0,2,0,0,1,1,3,1
2019-06-23,100,10,11,3,1,2,4,1,4,1,1,1,2,3,3,0,6,0,3,0,0,1,0,3,0
2019-06-30,68,5,6,2,1,2,4,0,3,1,1,1,2,2,2,1,6,0,2,0,0,1,0,2,0
2019-07-07,66,7,6,2,1,2,5,0,3,1,1,1,2,4,2,1,6,0,2,0,0,1,1,2,0
2019-07-14,58,5,5,3,1,2,4,0,4,1,1,0,2,3,2,0,5,0,2,0,0,1,0,3,0
2019-07-21,49,5,6,3,1,2,4,0,4,0,1,1,2,2,1,1,3,0,1,1,1,1,1,1,1
