S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,USD PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100000387,HKD,China (Mainland),,772.2038907,772.2038907,772.2038907,32.75,4.177402485,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,US07725L1026,USD,Cayman Islands,0%,22.41077151,22.41077151,22.41077151,143.94,143.94,3225.806452,3225.806452,3225.806452,1,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100000FN7,HKD,China (Mainland),,876.5919383,876.5919383,876.5919383,28.85,3.679940815,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100000585,HKD,China (Mainland),,2982.273281,2982.273281,2982.273281,8.48,1.081660246,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100001M79,HKD,China (Mainland),,1119.012275,1119.012275,1119.012275,22.6,2.8827266,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE1000012B3,HKD,China (Mainland),,1706.455966,1706.455966,1706.455966,14.82,1.890354346,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,HK1093012172,HKD,Hong Kong,0%,1665.986655,1665.986655,1665.986655,15.18,1.936273885,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE1000023R6,HKD,China (Mainland),,667.2738105,667.2738105,667.2738105,37.9,4.834306998,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,HK0000056256,HKD,Hong Kong,0%,7416.327689,7416.327689,7416.327689,3.41,0.434960076,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG211081248,HKD,Cayman Islands,0%,2678.991252,2678.991252,2678.991252,9.44,1.20411235,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100000171,HKD,China (Mainland),,3532.077852,3532.077852,3532.077852,7.16,0.913288604,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG8167W1380,HKD,Cayman Islands,0%,2394.855816,2394.855816,2394.855816,10.56,1.346973137,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG970081090,HKD,Cayman Islands,0%,305.6154371,305.6154371,305.6154371,82.75,10.5551162,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG8875G1029,HKD,Cayman Islands,0%,2052.733557,2052.733557,2052.733557,12.32,1.57146866,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100001QV5,HKD,China (Mainland),,1212.934169,1212.934169,1212.934169,20.85,2.65950662,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG8406X1034,HKD,Cayman Islands,0%,3708.163844,3708.163844,3708.163844,6.82,0.869920151,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG3825B1059,HKD,Cayman Islands,0%,1408.111215,1408.111215,1408.111215,17.96,2.290874767,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG608371046,HKD,Cayman Islands,0%,4098.813196,4098.813196,4098.813196,6.17,0.787009873,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,BMG8162K1137,HKD,Bermuda,0%,18459.61855,18459.61855,18459.61855,1.37,0.174749356,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG8813K1085,HKD,Cayman Islands,0%,6035.722534,6035.722534,6035.722534,4.19,0.53445241,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,BMG570071099,HKD,Bermuda,0%,4300.965548,4300.965548,4300.965548,5.88,0.750019133,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
