S.No,Date,Index Value PR,Index Value TR,Index Value NTR
1,08-22-2019,1000,1000,1000
1,08-23-2019,1023.932111,1023.932111,1023.932111
1,08-24-2019,1023.932111,1023.932111,1023.932111
1,08-25-2019,1023.932111,1023.932111,1023.932111
1,08-26-2019,1015.0137,1015.0137,1015.0137
1,08-27-2019,1028.327009,1028.327009,1028.327009
1,08-28-2019,1009.520466,1009.520466,1009.520466
1,08-29-2019,1026.393705,1026.393705,1026.393705
1,08-30-2019,1024.344841,1025.060902,1025.060902
1,08-31-2019,1024.344841,1025.060902,1025.060902
1,09-01-2019,1024.344841,1025.060902,1025.060902
1,09-02-2019,1034.908145,1036.179256,1036.179256
1,09-03-2019,1023.7424,1024.999796,1024.999796
1,09-04-2019,1034.24563,1035.515927,1035.515927
1,09-05-2019,1041.683686,1042.963119,1042.963119
1,09-06-2019,1038.809905,1040.322032,1040.322032
1,09-07-2019,1038.809905,1040.322032,1040.322032
1,09-08-2019,1038.809905,1040.322032,1040.322032
1,09-09-2019,1030.5722,1032.437687,1032.437687
1,09-10-2019,1019.727186,1021.573041,1021.573041
1,09-11-2019,1007.74178,1009.56594,1009.56594
1,09-12-2019,1019.11488,1021.021533,1021.021533
1,09-13-2019,1027.08737,1029.008938,1029.008938
1,09-14-2019,1027.08737,1029.008938,1029.008938
1,09-15-2019,1027.08737,1029.008938,1029.008938
1,09-16-2019,1021.154123,1023.874637,1023.874637
1,09-17-2019,1014.241181,1016.943278,1016.943278
1,09-18-2019,1017.649906,1020.361085,1020.361085
1,09-19-2019,1017.510571,1020.221378,1020.221378
1,09-20-2019,1015.884101,1018.590575,1018.590575
1,09-21-2019,1015.884101,1018.590575,1018.590575
1,09-22-2019,1015.884101,1018.590575,1018.590575
1,09-23-2019,1000.952347,1003.619041,1003.619041
1,09-24-2019,1002.719299,1005.3907,1005.3907
1,09-25-2019,981.1855617,983.7995933,983.7995933
1,09-26-2019,977.4291307,980.0331545,980.0331545
1,09-27-2019,968.7680067,971.3489559,971.3489559
1,09-28-2019,968.7680067,971.3489559,971.3489559
1,09-29-2019,968.7680067,971.3489559,971.3489559
1,09-30-2019,966.625027,969.2002669,969.2002669
1,10-01-2019,965.8517607,968.4249406,968.4249406
1,10-02-2019,962.908653,965.473992,965.473992
1,10-03-2019,968.3846156,970.9645434,970.9645434
1,10-04-2019,970.3738189,972.9590463,972.9590463
1,10-05-2019,970.3738189,972.9590463,972.9590463
1,10-06-2019,970.3738189,972.9590463,972.9590463
1,10-07-2019,969.4012557,971.983892,971.983892
1,10-08-2019,977.6158391,980.2203603,980.2203603
1,10-09-2019,969.4358974,972.018626,972.018626
1,10-10-2019,988.0079709,990.6401784,990.6401784
1,10-11-2019,988.6498269,991.2837444,991.2837444
1,10-12-2019,988.6498269,991.2837444,991.2837444
1,10-13-2019,988.6498269,991.2837444,991.2837444
1,10-14-2019,1006.340991,1009.02204,1009.02204
1,10-15-2019,1006.451713,1010.079626,1010.079626
1,10-16-2019,1012.923458,1016.574699,1016.574699
1,10-17-2019,1020.076389,1023.86045,1023.86045
1,10-18-2019,1019.57378,1023.355976,1023.355976
1,10-19-2019,1019.57378,1023.355976,1023.355976
1,10-20-2019,1019.57378,1023.355976,1023.355976
1,10-21-2019,1012.498095,1016.254043,1016.254043
1,10-22-2019,1011.19124,1014.94234,1014.94234
1,10-23-2019,997.8059656,1001.507412,1001.507412
1,10-24-2019,1007.300571,1011.037239,1011.037239
1,10-25-2019,1024.479582,1028.279976,1028.279976
1,10-26-2019,1024.479582,1028.279976,1028.279976
1,10-27-2019,1024.479582,1028.279976,1028.279976
1,10-28-2019,1038.706642,1042.559812,1042.559812
1,10-29-2019,1043.094376,1046.963824,1046.963824
1,10-30-2019,1040.193837,1044.052524,1044.052524
1,10-31-2019,1048.57682,1052.466605,1052.466605
1,11-01-2019,1061.316114,1065.253157,1065.253157
1,11-02-2019,1061.316114,1065.253157,1065.253157
1,11-03-2019,1061.316114,1065.253157,1065.253157
1,11-04-2019,1085.346708,1089.372894,1089.372894
1,11-05-2019,1078.772957,1082.774757,1082.774757
1,11-06-2019,1078.862934,1082.865068,1082.865068
1,11-07-2019,1094.94871,1099.010515,1099.010515
1,11-08-2019,1098.358779,1102.433235,1102.433235
1,11-09-2019,1098.358779,1102.433235,1102.433235
1,11-10-2019,1098.358779,1102.433235,1102.433235
1,11-11-2019,1080.223639,1084.230821,1084.230821
1,11-12-2019,1081.10387,1085.114317,1085.114317
1,11-13-2019,1075.718156,1079.708625,1079.708625
1,11-14-2019,1066.308988,1070.264552,1070.264552
1,11-15-2019,1066.394698,1070.35058,1070.35058
1,11-16-2019,1066.394698,1070.35058,1070.35058
1,11-17-2019,1066.394698,1070.35058,1070.35058
1,11-18-2019,1065.17165,1069.122995,1069.122995
1,11-19-2019,1089.931703,1093.974898,1093.974898
