S.No,Date,"Index Value PR","Market CAP PR","Divisor PR","Index Value TR","Market CAP TR","Divisor TR","Index Value NTR","Market CAP NTR","Divisor NTR",ISIN,Currency,Country,TAX,"Share PR","Share TR","Share NTR","Local Price","USD PRICE","MCAP PR","MCAP TR","MCAP NTR","Currency Price","Price Date","Weight PR","Weight TR","Weight NTR",Dividend,"Special Dividend",Split,Spin
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,TH4263010001,THB,Thailand,"10%       ",328.95302118793,328.95302118793,328.95302118793,5.35,0.15316346979674,50.383586125262,50.383586125262,50.383586125262,34.93,2016-04-29,0.00052586155179953,0.00052586155179953,0.00052586155179953,"0.0799999982 THB ",,,0
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,GB00B39J2M42,GBP,"United Kingdom","0%        ",328.37771369722,328.37771369722,328.37771369722,9.395,13.762744638462,4519.378618577,4519.378618577,4519.378618577,0.68264,2016-04-29,0.04716947792533,0.04716947792533,0.04716947792533,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,US0304201033,USD,"United States","30%       ",89.875275128393,89.875275128393,89.875275128393,72.76,72.76,6539.3250183419,6539.3250183419,6539.3250183419,1,2016-04-29,0.068251981772742,0.068251981772742,0.068251981772742,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,US98419M1009,USD,"United States","30%       ",132.36088600756,132.36088600756,132.36088600756,41.78,41.78,5530.037817396,5530.037817396,5530.037817396,1,2016-04-29,0.057717889729724,0.057717889729724,0.057717889729724,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,GB00B18V8630,GBP,"United Kingdom","0%        ",371.62559440559,371.62559440559,371.62559440559,8.12,11.894995898277,4420.4849211494,4420.4849211494,4420.4849211494,0.68264,2016-04-29,0.04613730857829,0.04613730857829,0.04613730857829,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,HK0257001336,HKD,"Hong Kong","0%        ",2615.7462121212,2615.7462121212,2615.7462121212,8.72,1.1241169494147,2940.4046524129,2940.4046524129,2940.4046524129,7.7572,2016-04-29,0.030689473940822,0.030689473940822,0.030689473940822,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,US29670G1022,USD,"United States","30%       ",182.69947800149,182.69947800149,182.69947800149,31.66,31.66,5784.2654735272,5784.2654735272,5784.2654735272,1,2016-04-29,0.060371304463466,0.060371304463466,0.060371304463466,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,HK0270001396,HKD,"Hong Kong","0%        ",3279.847582038,3279.847582038,3279.847582038,11,1.4180374361883,4650.9466563216,4650.9466563216,4650.9466563216,7.7572,2016-04-29,0.048542674591474,0.048542674591474,0.048542674591474,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,US8318652091,USD,"United States","30%       ",76.682316118936,76.682316118936,76.682316118936,77.22,77.22,5921.4084507042,5921.4084507042,5921.4084507042,1,2016-04-29,0.061802687664682,0.061802687664682,0.061802687664682,,,,
1,2016-04-29,958.57869970716,95811.503907913,99.951630405708,977.16376836334,95811.503907913,98.050610358168,973.87902668082,95811.503907913,98.381319735839,BMG0957L1090,HKD,Bermuda,"0%        ",5660.3032786885,5660.3032786885,5660.3032786885,4.65,0.59944309802506,3393.0297331385,3393.0297331385,3393.0297331385,7.7572,2016-04-29,0.035413594346662,0.035413594346662,0.035413594346662,,,,
