id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1," 15,510.50 ",1,21314200000," 259,464,095,514.00 ",16728287,16728287,21000000,-1.09,-5.23,43.83,1512758653
ethereum,Ethereum,ETH,2, 462.06 ,0.0305163,2383110000," 44,457,648,341.00 ",96215348,96215348,,-0.55,7.45,-0.04,1512758656
bitcoin-cash,Bitcoin Cash,BCH,3," 1,489.69 ",0.0983842,2586090000," 25,093,362,522.00 ",16844688,16844688,21000000,0.12,10.68,3.03,1512758680
iota,IOTA,MIOTA,4, 4.50 ,0.00029719,924560000," 12,507,775,092.00 ",2779530283,2779530283,2779530283,2.94,22.94,219.07,1512758675
ripple,Ripple,XRP,5, 0.25 ,0.00001674,653627000," 9,818,087,650.00 ",38739145009,99993093880,1E+11,-0.02,11.67,-0.6,1512758641
litecoin,Litecoin,LTC,6, 122.06 ,0.00806115,1288310000," 6,615,995,487.00 ",54203258,54203258,84000000,-1.55,27.91,27.81,1512758642
dash,Dash,DASH,7, 753.62 ,0.0497714,288538000," 5,833,888,704.00 ",7741185,7741185,18900000,-0.37,10.44,-4.58,1512758644
bitcoin-gold,Bitcoin Gold,BTG,8, 261.19 ,0.0172497,186430000," 4,360,605,118.00 ",16695274,16795274,21000000,-0.09,-0.46,-15.38,1512758688
monero,Monero,XMR,9, 274.84 ,0.0181516,211695000," 4,246,128,691.00 ",15449232,15449232,,-2.55,1.49,45.66,1512758645
cardano,Cardano,ADA,10, 0.12 ,0.00000784,64448500," 3,077,595,127.00 ",25927070538,31112483745,45000000000,7.49,4.59,-6.49,1512758686
nem,NEM,XEM,11, 0.34 ,0.00002219,57444800," 3,024,423,000.00 ",8999999999,8999999999,,-1.16,36.81,43.36,1512758652
ethereum-classic,Ethereum Classic,ETC,12, 28.42 ,0.00187663,544422000," 2,790,425,475.00 ",98202205,98202205,,-0.34,2.58,-7.3,1512758661
stellar,Stellar Lumens,XLM,13, 0.14 ,0.00000918,191477000," 2,479,854,014.00 ",17836698389,1.03492E+11,,1.1,-0.02,63.5,1512758650
neo,NEO,NEO,14, 36.60 ,0.00241743,121627000," 2,379,240,500.00 ",65000000,100000000,,0.9,7.57,3.24,1512758664
eos,EOS,EOS,15, 4.24 ,0.00028011,154889000," 2,233,039,727.00 ",526492680,1000000000,,1.95,6.42,36.95,1512758675
bitconnect,BitConnect,BCC,16, 382.18 ,0.0252401,24156900," 1,217,491,764.00 ",3185692,8392580,28000000,-1.59,-6.85,23.4,1512758667
populous,Populous,PPT,17, 26.72 ,0.00176462,5925440," 1,102,227,011.00 ",41252246,53252246,53252246,-0.62,51.39,121.24,1512758676
lisk,Lisk,LSK,18, 8.45 ,0.0005582,40963800," 978,113,957.00 ",115724508,115724508,,-0.1,4.28,9.36,1512758658
qtum,Qtum,QTUM,19, 12.55 ,0.0008287,155758000," 924,726,784.00 ",73696328,100196328,,-1.41,-3.32,-3.8,1512758673
monacoin,MonaCoin,MONA,20, 16.38 ,0.00108177,31332900," 915,173,558.00 ",55872425,55872425,,-6.89,0.87,161.71,1512758643
zcash,Zcash,ZEC,21, 326.79 ,0.0215824,118888000," 912,202,355.00 ",2791394,2791394,,-0.02,5.74,0.19,1512758666
omisego,OmiseGO,OMG,22, 8.70 ,0.00057444,56518500," 887,563,054.00 ",102042552,140245398,,2.5,5.67,-0.99,1512758677
