Period,ISIN,Weights
1.0,US78464A4094,0.6
1.0,US78462F1030,0.2
1.0,US4642876480,0.1
1.0,US4642876142,0.1
1.0,US4642874576,0.0
2.0,US78464A4094,0.44999999999999996
2.0,US78462F1030,0.2
2.0,US4642876480,0.1
2.0,US4642876142,0.1
2.0,US4642874576,0.15
3.0,US78464A4094,0.44999999999999996
3.0,US78462F1030,0.2
3.0,US4642876480,0.1
3.0,US4642876142,0.1
3.0,US4642874576,0.15
4.0,US78464A4094,0.3
4.0,US78462F1030,0.2
4.0,US4642876480,0.1
4.0,US4642876142,0.1
4.0,US4642874576,0.3
5.0,US78464A4094,0.3
5.0,US78462F1030,0.15000000000000002
5.0,US4642876480,0.07500000000000001
5.0,US4642876142,0.07500000000000001
5.0,US4642874576,0.4
6.0,US78464A4094,0.44999999999999996
6.0,US78462F1030,0.2
6.0,US4642876480,0.1
6.0,US4642876142,0.1
6.0,US4642874576,0.15
7.0,US78464A4094,0.3
7.0,US78462F1030,0.2
7.0,US4642876480,0.1
7.0,US4642876142,0.1
7.0,US4642874576,0.3
8.0,US78464A4094,0.44999999999999996
8.0,US78462F1030,0.2
8.0,US4642876480,0.1
8.0,US4642876142,0.1
8.0,US4642874576,0.15
9.0,US78464A4094,0.6
9.0,US78462F1030,0.2
9.0,US4642876480,0.1
9.0,US4642876142,0.1
9.0,US4642874576,0.0
10.0,US78464A4094,0.6
10.0,US78462F1030,0.2
10.0,US4642876480,0.1
10.0,US4642876142,0.1
10.0,US4642874576,0.0
11.0,US78464A4094,0.6
11.0,US78462F1030,0.2
11.0,US4642876480,0.1
11.0,US4642876142,0.1
11.0,US4642874576,0.0
12.0,US78464A4094,0.6
12.0,US78462F1030,0.2
12.0,US4642876480,0.1
12.0,US4642876142,0.1
12.0,US4642874576,0.0
13.0,US78464A4094,0.6
13.0,US78462F1030,0.2
13.0,US4642876480,0.1
13.0,US4642876142,0.1
13.0,US4642874576,0.0
14.0,US78464A4094,0.6
14.0,US78462F1030,0.2
14.0,US4642876480,0.1
14.0,US4642876142,0.1
14.0,US4642874576,0.0
15.0,US78464A4094,0.6
15.0,US78462F1030,0.2
15.0,US4642876480,0.1
15.0,US4642876142,0.1
15.0,US4642874576,0.0
16.0,US78464A4094,0.6
16.0,US78462F1030,0.2
16.0,US4642876480,0.1
16.0,US4642876142,0.1
16.0,US4642874576,0.0
17.0,US78464A4094,0.6
17.0,US78462F1030,0.2
17.0,US4642876480,0.1
17.0,US4642876142,0.1
17.0,US4642874576,0.0
18.0,US78464A4094,0.44999999999999996
18.0,US78462F1030,0.2
18.0,US4642876480,0.1
18.0,US4642876142,0.07500000000000001
18.0,US4642874576,0.175
19.0,US78464A4094,0.3
19.0,US78462F1030,0.2
19.0,US4642876480,0.1
19.0,US4642876142,0.05
19.0,US4642874576,0.35
20.0,US78464A4094,0.44999999999999996
20.0,US78462F1030,0.2
20.0,US4642876480,0.07500000000000001
20.0,US4642876142,0.07500000000000001
20.0,US4642874576,0.19999999999999998
21.0,US78464A4094,0.3
21.0,US78462F1030,0.2
21.0,US4642876480,0.05
21.0,US4642876142,0.05
21.0,US4642874576,0.3999999999999999
22.0,US78464A4094,0.6
22.0,US78462F1030,0.2
22.0,US4642876480,0.05
22.0,US4642876142,0.1
22.0,US4642874576,0.04999999999999993
23.0,US78464A4094,0.6
23.0,US78462F1030,0.2
23.0,US4642876480,0.1
23.0,US4642876142,0.1
23.0,US4642874576,0.0
24.0,US78464A4094,0.6
24.0,US78462F1030,0.2
24.0,US4642876480,0.1
24.0,US4642876142,0.1
24.0,US4642874576,0.0
25.0,US78464A4094,0.6
25.0,US78462F1030,0.2
25.0,US4642876480,0.1
25.0,US4642876142,0.1
25.0,US4642874576,0.0
26.0,US78464A4094,0.6
26.0,US78462F1030,0.2
26.0,US4642876480,0.1
26.0,US4642876142,0.1
26.0,US4642874576,0.0
27.0,US78464A4094,0.6
27.0,US78462F1030,0.2
27.0,US4642876480,0.1
27.0,US4642876142,0.1
27.0,US4642874576,0.0
28.0,US78464A4094,0.6
28.0,US78462F1030,0.2
28.0,US4642876480,0.1
28.0,US4642876142,0.1
28.0,US4642874576,0.0
29.0,US78464A4094,0.6
29.0,US78462F1030,0.2
29.0,US4642876480,0.1
29.0,US4642876142,0.1
29.0,US4642874576,0.0
30.0,US78464A4094,0.6
30.0,US78462F1030,0.2
30.0,US4642876480,0.1
30.0,US4642876142,0.1
30.0,US4642874576,0.0
31.0,US78464A4094,0.6
31.0,US78462F1030,0.2
31.0,US4642876480,0.1
31.0,US4642876142,0.1
31.0,US4642874576,0.0
32.0,US78464A4094,0.6
32.0,US78462F1030,0.2
32.0,US4642876480,0.1
32.0,US4642876142,0.1
32.0,US4642874576,0.0
33.0,US78464A4094,0.6
33.0,US78462F1030,0.2
33.0,US4642876480,0.1
33.0,US4642876142,0.1
33.0,US4642874576,0.0
34.0,US78464A4094,0.6
34.0,US78462F1030,0.2
34.0,US4642876480,0.1
34.0,US4642876142,0.1
34.0,US4642874576,0.0
35.0,US78464A4094,0.6
35.0,US78462F1030,0.2
35.0,US4642876480,0.1
35.0,US4642876142,0.1
35.0,US4642874576,0.0
36.0,US78464A4094,0.6
36.0,US78462F1030,0.2
36.0,US4642876480,0.07500000000000001
36.0,US4642876142,0.1
36.0,US4642874576,0.025
37.0,US78464A4094,0.6
37.0,US78462F1030,0.15000000000000002
37.0,US4642876480,0.07500000000000001
37.0,US4642876142,0.1
37.0,US4642874576,0.07500000000000001
38.0,US78464A4094,0.44999999999999996
38.0,US78462F1030,0.15000000000000002
38.0,US4642876480,0.07500000000000001
38.0,US4642876142,0.07500000000000001
38.0,US4642874576,0.25
