Period,ISIN,Weights
1,US78464A4094,60
1,US78462F1030,20
1,US4642876480,10
1,US4642876142,10
1,US4642874576,0
2,US78464A4094,45
2,US78462F1030,20
2,US4642876480,10
2,US4642876142,10
2,US4642874576,15
3,US78464A4094,30
3,US78462F1030,20
3,US4642876480,10
3,US4642876142,10
3,US4642874576,30
4,US78464A4094,30
4,US78462F1030,15
4,US4642876480,7.5
4,US4642876142,7.5
4,US4642874576,40
5,US78464A4094,45
5,US78462F1030,20
5,US4642876480,10
5,US4642876142,10
5,US4642874576,15
6,US78464A4094,30
6,US78462F1030,20
6,US4642876480,10
6,US4642876142,10
6,US4642874576,30
7,US78464A4094,45
7,US78462F1030,20
7,US4642876480,10
7,US4642876142,10
7,US4642874576,15
8,US78464A4094,60
8,US78462F1030,20
8,US4642876480,10
8,US4642876142,10
8,US4642874576,0
9,US78464A4094,45
9,US78462F1030,20
9,US4642876480,10
9,US4642876142,7.5
9,US4642874576,17.5
10,US78464A4094,30
10,US78462F1030,20
10,US4642876480,10
10,US4642876142,5
10,US4642874576,35
11,US78464A4094,45
11,US78462F1030,20
11,US4642876480,7.5
11,US4642876142,7.5
11,US4642874576,20
12,US78464A4094,30
12,US78462F1030,20
12,US4642876480,5
12,US4642876142,5
12,US4642874576,40
13,US78464A4094,60
13,US78462F1030,20
13,US4642876480,5
13,US4642876142,10
13,US4642874576,5
14,US78464A4094,60
14,US78462F1030,20
14,US4642876480,10
14,US4642876142,10
14,US4642874576,0
15,US78464A4094,60
15,US78462F1030,20
15,US4642876480,7.5
15,US4642876142,10
15,US4642874576,2.5
16,US78464A4094,60
16,US78462F1030,15
16,US4642876480,7.5
16,US4642876142,10
16,US4642874576,7.5
17,US78464A4094,45
17,US78462F1030,15
17,US4642876480,7.5
17,US4642876142,7.5
17,US4642874576,25
18,US78464A4094,60
18,US78462F1030,15
18,US4642876480,10
18,US4642876142,10
18,US4642874576,5
19,US78464A4094,45
19,US78462F1030,15
19,US4642876480,7.5
19,US4642876142,7.5
19,US4642874576,25
20,US78464A4094,45
20,US78462F1030,10
20,US4642876480,10
20,US4642876142,7.5
20,US4642874576,27.5
21,US78464A4094,30
21,US78462F1030,10
21,US4642876480,7.5
21,US4642876142,5
21,US4642874576,47.5
22,US78464A4094,30
22,US78462F1030,10
22,US4642876480,5
22,US4642876142,5
22,US4642874576,50
23,US78464A4094,45
23,US78462F1030,10
23,US4642876480,7.5
23,US4642876142,7.5
23,US4642874576,30
24,US78464A4094,45
24,US78462F1030,15
24,US4642876480,7.5
24,US4642876142,7.5
24,US4642874576,25
25,US78464A4094,60
25,US78462F1030,15
25,US4642876480,10
25,US4642876142,10
25,US4642874576,5
26,US78464A4094,45
26,US78462F1030,10
26,US4642876480,10
26,US4642876142,7.5
26,US4642874576,27.5
27,US78464A4094,45
27,US78462F1030,10
27,US4642876480,7.5
27,US4642876142,7.5
27,US4642874576,30
28,US78464A4094,45
28,US78462F1030,10
28,US4642876480,10
28,US4642876142,7.5
28,US4642874576,27.5
29,US78464A4094,45
29,US78462F1030,10
29,US4642876480,7.5
29,US4642876142,7.5
29,US4642874576,30
30,US78464A4094,60
30,US78462F1030,15
30,US4642876480,10
30,US4642876142,10
30,US4642874576,5
31,US78464A4094,60
31,US78462F1030,20
31,US4642876480,10
31,US4642876142,10
31,US4642874576,0
32,US78464A4094,45
32,US78462F1030,15
32,US4642876480,7.5
32,US4642876142,7.5
32,US4642874576,25
33,US78464A4094,60
33,US78462F1030,15
33,US4642876480,7.5
33,US4642876142,7.5
33,US4642874576,10
34,US78464A4094,60
34,US78462F1030,20
34,US4642876480,10
34,US4642876142,10
34,US4642874576,0
35,US78464A4094,60
35,US78462F1030,20
35,US4642876480,7.5
35,US4642876142,10
35,US4642874576,2.5
36,US78464A4094,60
36,US78462F1030,20
36,US4642876480,10
36,US4642876142,10
36,US4642874576,0
37,US78464A4094,60
37,US78462F1030,20
37,US4642876480,7.5
37,US4642876142,10
37,US4642874576,2.5
38,US78464A4094,60
38,US78462F1030,20
38,US4642876480,10
38,US4642876142,10
38,US4642874576,0
39,US78464A4094,60
39,US78462F1030,20
39,US4642876480,7.5
39,US4642876142,10
39,US4642874576,2.5
40,US78464A4094,60
40,US78462F1030,20
40,US4642876480,10
40,US4642876142,10
40,US4642874576,0
41,US78464A4094,45
41,US78462F1030,15
41,US4642876480,7.5
41,US4642876142,7.5
41,US4642874576,25
42,US78464A4094,60
42,US78462F1030,20
42,US4642876480,7.5
42,US4642876142,10
42,US4642874576,2.5
43,US78464A4094,60
43,US78462F1030,15
43,US4642876480,7.5
43,US4642876142,7.5
43,US4642874576,10
44,US78464A4094,45
44,US78462F1030,15
44,US4642876480,7.5
44,US4642876142,7.5
44,US4642874576,25
45,US78464A4094,60
45,US78462F1030,20
45,US4642876480,7.5
45,US4642876142,10
45,US4642874576,2.5
46,US78464A4094,60
46,US78462F1030,20
46,US4642876480,10
46,US4642876142,10
46,US4642874576,0
47,US78464A4094,60
47,US78462F1030,20
47,US4642876480,10
47,US4642876142,10
47,US4642874576,0
