S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Share PR,Share TR,Share NTR,Local Price,USD PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Split,Spin
0,3/16/2005,981.5723751,98157.23751,100,981.5723751,98157.23751,100,981.5723751,98157.23751,100,US78464A4094,1057.082452,1057.082452,1057.082452,46.38,46.38,49027.48414,49027.48414,49027.48414,1,3/16/2005,0.499479054,0.499479054,0.499479054,,,
0,3/16/2005,981.5723751,98157.23751,100,981.5723751,98157.23751,100,981.5723751,98157.23751,100,US78462F1030,412.4391652,412.4391652,412.4391652,119.12,119.12,49129.75336,49129.75336,49129.75336,1,3/16/2005,0.500520946,0.500520946,0.500520946,,,
0,3/17/2005,982.8793538,98287.93538,100,982.8793538,98287.93538,100,982.8793538,98287.93538,100,US78464A4094,1057.082452,1057.082452,1057.082452,46.41,46.41,49059.19662,49059.19662,49059.19662,1,3/17/2005,0.499137523,0.499137523,0.499137523,,,
0,3/17/2005,982.8793538,98287.93538,100,982.8793538,98287.93538,100,982.8793538,98287.93538,100,US78462F1030,412.4391652,412.4391652,412.4391652,119.36,119.36,49228.73876,49228.73876,49228.73876,1,3/17/2005,0.500862477,0.500862477,0.500862477,,,
0,3/18/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78462F1030,412.4391652,412.4391652,412.4391652,118.54,118.54,48890.53865,48890.53865,48890.53865,1,3/18/2005,0.502547754,0.502547754,0.502547754,0.467090011,,0
0,3/18/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78464A4094,1057.082452,1057.082452,1057.082452,45.7815,45.7815,48394.8203,48394.8203,48394.8203,1,3/18/2005,0.497452246,0.497452246,0.497452246,0.093033999,,0
0,3/19/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78464A4094,1057.082452,1057.082452,1057.082452,45.7815,45.7815,48394.8203,48394.8203,48394.8203,1,3/18/2005,0.497452246,0.497452246,0.497452246,,,
0,3/19/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78462F1030,412.4391652,412.4391652,412.4391652,118.54,118.54,48890.53865,48890.53865,48890.53865,1,3/18/2005,0.502547754,0.502547754,0.502547754,,,
0,3/20/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78464A4094,1057.082452,1057.082452,1057.082452,45.7815,45.7815,48394.8203,48394.8203,48394.8203,1,3/18/2005,0.497452246,0.497452246,0.497452246,,,
0,3/20/2005,972.8535894,97285.35894,100,975.7423679,97285.35894,99.70394045,974.8739346,97285.35894,99.79275831,US78462F1030,412.4391652,412.4391652,412.4391652,118.54,118.54,48890.53865,48890.53865,48890.53865,1,3/18/2005,0.502547754,0.502547754,0.502547754,,,
0,3/21/2005,972.9257493,97292.57493,100,975.814742,97292.57493,99.70394045,974.9462443,97292.57493,99.79275831,US78464A4094,1057.082452,1057.082452,1057.082452,45.96,45.96,48583.50951,48583.50951,48583.50951,1,3/21/2005,0.499354751,0.499354751,0.499354751,,,
0,3/21/2005,972.9257493,97292.57493,100,975.814742,97292.57493,99.70394045,974.9462443,97292.57493,99.79275831,US78462F1030,412.4391652,412.4391652,412.4391652,118.1,118.1,48709.06541,48709.06541,48709.06541,1,3/21/2005,0.500645249,0.500645249,0.500645249,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.997039404,MCAP,,,,,,,,,,,,,,,,,,,,,
,,,,,3/17/2005,98287.93536,97996.94453,,,,,,,,,,,,,,,,,,,,
,,,,,3/18/2005,97285.35892,0.997039404,,,,,,,,,,,,,,,,,,,,
,,,,,,96994.3681,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.997008894,,,,,,,,,,,,,,,,,,,,,
