Period,ISIN,Weights
1,US0378331005,3.3333333333%
1,US0378331005,3.3333333333%
1,US0378331005,3.3333333333%
1,US0378331005,3.3333333333%
1,US4581401001,3.3333333333%
1,US4581401001,3.3333333333%
1,US17275R1023,3.3333333333%
1,US17275R1023,3.3333333333%
1,US0970231058,3.3333333333%
1,US0970231058,3.3333333333%
1,US11135F1012,3.3333333333%
1,US67066G1040,3.3333333333%
1,US67066G1040,3.3333333333%
1,US7475251036,3.3333333333%
1,US8825081040,3.3333333333%
1,US5398301094,3.3333333333%
1,US3695501086,3.3333333333%
1,US24703L1035,3.3333333333%
1,US0382221051,3.3333333333%
1,US7551115071,3.3333333333%
1,US6668071029,3.3333333333%
1,NL0009538784,3.3333333333%
1,NL0009538784,3.3333333333%
1,US5951121038,3.3333333333%
1,US5951121038,3.3333333333%
1,US40434L1052,3.3333333333%
1,US40434L1052,3.3333333333%
1,US0326541051,3.3333333333%
1,CH0102993182,3.3333333333%
1,US42824C1099,3.3333333333%
2,INE397D01024,3.3333333333%
2,INE018A01030,3.3333333333%
2,INE733E01010,3.3333333333%
2,INE481G01011,3.3333333333%
2,INE752E01010,3.3333333333%
2,INE121J01017,3.3333333333%
2,INE066A01013,3.3333333333%
2,INE129A01019,3.3333333333%
2,INE003A01024,3.3333333333%
2,INE047A01021,3.3333333333%
2,INE742F01042,3.3333333333%
2,INE079A01024,3.3333333333%
2,US92242Y1001,3.3333333333%
2,INE669E01016,3.3333333333%
2,INE584A01023,3.3333333333%
2,INE019A01038,3.3333333333%
2,INE081A01012,3.3333333333%
2,INE257A01026,3.3333333333%
2,INE208A01029,3.3333333333%
2,INE111A01025,3.3333333333%
2,INE271C01023,3.3333333333%
2,INE038A01020,3.3333333333%
2,INE298A01020,3.3333333333%
2,INE176B01034,3.3333333333%
2,INE347G01014,3.3333333333%
2,INE245A01021,3.3333333333%
2,INE114A01011,3.3333333333%
2,INE151A01013,3.3333333333%
2,INE330H01018,3.3333333333%
2,INE226A01021,3.3333333333%
