code,ticker,isin,name,curr,divcurr,sedol,cusip,countryname,sector,industry,subindustry,share,weight
IPJAR,EWC US Equity,US4642865095,iShares MSCI Canada ETF,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,IWS US Equity,US4642874733,iShares Russell Mid-Cap Value ETF,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,IWP US Equity,US4642874816,iShares Russell Mid-Cap Growth ETF,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,IWD US Equity,US4642875987,iShares Russell 1000 Value ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,IWF US Equity,US4642876142,iShares Russell 1000 Growth ETF,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,IWM US Equity,US4642876555,iShares Russell 2000 ETF,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,EFV US Equity,US4642888774,iShares MSCI EAFE Value ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,EFG US Equity,US4642888857,iShares MSCI EAFE Growth ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,QQQ US Equity,US73935A1043,PowerShares QQQ Trust,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAR,GLD US Equity,US78463V1070,SPDR Gold Trust,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,GWX US Equity,US78463X8719,SPDR S&P International Small Cap ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,DIA US Equity,US78467X1090,SPDR Dow Jones Industrial Average ETF Trust,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,VWO US Equity,US9220428588,Vanguard Emerging Markets Stock Index Fund,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAR,VNQ US Equity,US9229085538,Vanguard REIT Index Fund,USD,USD,,,United States,,,,,14.285714285714300000%
IPJAS,LQD US Equity,US4642872422,iShares iBoxx $ Investment Grade Corporate Bond ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAS,IEF US Equity,US4642874402,I-Shares 7-10 Year Treasury Bond ETF,USD,USD,,,United States,,,,,20.000000000000000000%
IPJAS,EMB US Equity,US4642882819,iShares JP Morgan USD Emerging Markets Bond ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAS,HYG US Equity,US4642885135,iShares iBoxx $ High Yield Corporate Bond ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAS,BND US Equity,US9219378356,Vanguard Total Bond Market Index Fund,USD,USD,,,United States,,,,,20.000000000000000000%
IPJAS,SRLN US Equity,US78467V6083,SPDR Blackstone/ GSO Senior Loan ETF,USD,USD,,,United States,,,,,0.000000000000000000%
IPJAS,MBB US Equity,US4642885887,iShares MBS ETF,USD,USD,,,United States,,,,,20.000000000000000000%
IPJAS,BIL US Equity,US78468R6633, SPDR Barclays 1-3 Month T-Bill(U.S.),USD,USD,,,United States,,,,,20.000000000000000000%
IPJAS,VTIP US Equity,US9220208055,Vanguard Short-term Inflation-Protected Securities ETF,USD,USD,,,United States,,,,,20.000000000000000000%
IPJAS,SHY US Equity,US4642874576,iShares 1-3 Year Treasury Bond ETF,USD,USD,,,United States,,,,,0.000000000000000000%
