Period,Indentifier,Weight
1,US1912161007,2%
1,US92343V1044,2%
1,US00206R1023,2%
1,US7134481081,2%
1,US7607591002,2%
1,US4781601046,2%
1,CH0012032048,2%
1,US5021751020,2%
1,US4219461047,2%
1,US63633D1046,2%
1,US22160K1051,2%
1,CA16141A1030,2%
1,CH0012005267,2%
1,US26138E1091,2%
1,US95040Q1040,2%
1,US81721M1099,2%
1,US5801351017,2%
1,JP3633400001,2%
1,US71943U1043,2%
1,US40414L1098,2%
1,US87612E1064,2%
1,US92276F1003,2%
1,US2544231069,2%
1,JP3463000004,2%
1,US6819361006,2%
1,US83001A1025,2%
1,US58933Y1055,2%
1,US5017971046,2%
1,US5246601075,2%
1,JP3673600007,2%
1,GB0009895292,2%
1,US8344373035,2%
1,US0012011021,2%
1,US1501851067,2%
1,US2371941053,2%
1,CA6665111002,2%
1,JP3672400003,2%
1,FR0000120578,2%
1,US9598021098,2%
1,US81282V1008,2%
1,US3142111034,2%
1,US30224P2002,2%
1,US1567001060,2%
1,US78573L1061,2%
1,US22410J1060,2%
1,US5324571083,2%
1,US2090341072,2%
1,US19239V3024,2%
1,US22282E1029,2%
1,US6556641008,2%
2,US1912161007,2%
2,US7134481081,2%
2,US92343V1044,2%
2,US7607591002,2%
2,US00206R1023,2%
2,US4781601046,2%
2,US26138E1091,2%
2,US22160K1051,2%
2,US5021751020,2%
2,CA16141A1030,2%
2,US4219461047,2%
2,US5801351017,2%
2,US63633D1046,2%
2,US2544231069,2%
2,US71943U1043,2%
2,US81721M1099,2%
2,US87612E1064,2%
2,US5246601075,2%
2,US83001A1025,2%
2,US95040Q1040,2%
2,US40414L1098,2%
2,US58933Y1055,2%
2,US92276F1003,2%
2,US6819361006,2%
2,US5017971046,2%
2,GB0009895292,2%
2,CA6665111002,2%
2,US1501851067,2%
2,JP3633400001,2%
2,CH0012032048,2%
2,US3142111034,2%
2,JP3463000004,2%
2,US2371941053,2%
2,JP3673600007,2%
2,US9598021098,2%
2,CH0012005267,2%
2,US8344373035,2%
2,US0012011021,2%
2,BRODPVACNOR4,2%
2,US22410J1060,2%
2,US1567001060,2%
2,US30224P2002,2%
2,US81282V1008,2%
2,US78573L1061,2%
2,US5324571083,2%
2,US22282E1029,2%
2,JP3672400003,2%
2,US6556641008,2%
2,ZAE000145892,2%
2,US19239V3024,2%
