Period,ISIN,Weights,Start Date,End Date,Country
1,US9311421039,13.887255745198%,4/30/2019,3/18/2020,United States
1,CH0038863350,28.952205940457%,4/30/2019,3/18/2020,Switzerland
1,US7134481081,17.599597721401%,4/30/2019,3/18/2020,United States
1,US49271V1008,0.580946292079%,4/30/2019,3/18/2020,United States
1,US8718291078,3.542555921490%,4/30/2019,3/18/2020,United States
1,US61174X1090,2.291611701375%,4/30/2019,3/18/2020,United States
1,GB0008847096,3.011885146096%,4/30/2019,3/18/2020,United Kingdom
1,JP3422950000,2.268100426173%,4/30/2019,3/18/2020,Japan
1,US9024941034,1.713891275628%,4/30/2019,3/18/2020,United States
1,US4278661081,1.286537372722%,4/30/2019,3/18/2020,United States
1,GB00BDCPN049,1.156121891542%,4/30/2019,3/18/2020,United Kingdom
1,TH0737010Y08,1.299844307070%,4/30/2019,3/18/2020,Thailand
1,US5797802064,1.847590550991%,4/30/2019,3/18/2020,United States
1,CA1380351009,1.015854915976%,4/30/2019,3/18/2020,Canada
1,KYG960071028,1.096640791266%,4/30/2019,3/18/2020,Cayman Islands
1,KYG210961051,0.978923564807%,4/30/2019,3/18/2020,Cayman Islands
1,TW0001216000,1.173408963783%,4/30/2019,3/18/2020,Taiwan
1,CA8029121057,0.745293879327%,4/30/2019,3/18/2020,Canada
1,PHY7510J1668,0.975572635378%,4/30/2019,3/18/2020,Philippines
1,NO0003054108,0.935247612487%,4/30/2019,3/18/2020,Norway
1,BMG2624N1535,0.231099229357%,4/30/2019,3/18/2020,Bermuda
1,MXP495211262,1.019199746037%,4/30/2019,3/18/2020,Mexico
1,PTJMT0AE0001,0.390179876196%,4/30/2019,3/18/2020,Portugal
1,US5132721045,0.999841401637%,4/30/2019,3/18/2020,United States
1,CH0009002962,0.314398249145%,4/30/2019,3/18/2020,Switzerland
1,MX01AC100006,0.215730393095%,4/30/2019,3/18/2020,Mexico
1,KYG9431R1039,0.427304679036%,4/30/2019,3/18/2020,Cayman Islands
1,KYG2743Y1061,0.143545067743%,4/30/2019,3/18/2020,Cayman Islands
1,TW0002912003,0.501151999957%,4/30/2019,3/18/2020,Taiwan
1,KYG8878S1030,0.296216322029%,4/30/2019,3/18/2020,Cayman Islands
1,CA59162N1096,0.903948340336%,4/30/2019,3/18/2020,Canada
1,CA05156X1087,0.871666224983%,4/30/2019,3/18/2020,Canada
1,JP3240400006,0.490229133940%,4/30/2019,3/18/2020,Japan
1,MYL4707OO005,0.157016959998%,4/30/2019,3/18/2020,Malaysia
1,NZATME0002S8,0.801928382294%,4/30/2019,3/18/2020,New Zealand
1,US98387E2054,0.808941799573%,4/30/2019,3/18/2020,Netherlands
1,ID1000116700,0.152226059857%,4/30/2019,3/18/2020,Indonesia
1,US9120081099,0.778084136290%,4/30/2019,3/18/2020,United States
1,US7374461041,0.774109733256%,4/30/2019,3/18/2020,United States
1,TH0101A10Z01,0.406293521486%,4/30/2019,3/18/2020,Thailand
1,SE0000652216,0.323851215459%,4/30/2019,3/18/2020,Sweden
1,JP3676800000,0.426415650498%,4/30/2019,3/18/2020,Japan
1,US72147K1088,0.140181533183%,4/30/2019,3/18/2020,United States
1,MYL4065OO008,0.176613488538%,4/30/2019,3/18/2020,Malaysia
1,US4571871023,0.614619378921%,4/30/2019,3/18/2020,United States
1,ID1000117708,0.265199171787%,4/30/2019,3/18/2020,Indonesia
1,HK0345001611,0.364987430003%,4/30/2019,3/18/2020,Hong Kong
1,US8115431079,0.111201096589%,4/30/2019,3/18/2020,United States
1,KYG984191075,0.191066452670%,4/30/2019,3/18/2020,Cayman Islands
1,JP3293200006,0.343666670860%,4/30/2019,3/18/2020,Japan
