Period,ISIN,Weights,Start Date,End Date,Country
1,US9311421039,21.5489487%,4/30/2015,4/29/2016,United States
1,US7134481081,24.5023297%,4/30/2015,4/29/2016,United States
1,US5010441013,5.5471701%,4/30/2015,4/29/2016,United States
1,US3703341046,5.7514022%,4/30/2015,4/29/2016,United States
1,US55953Q2021,2.7963114%,4/30/2015,4/29/2016,Russia
1,US61174X1090,3.3491644%,4/30/2015,4/29/2016,United States
1,US8718291078,3.8277345%,4/30/2015,4/29/2016,United States
1,US4278661081,1.8419122%,4/30/2015,4/29/2016,United States
1,US5828391061,3.3910859%,4/30/2015,4/29/2016,United States
1,US49271M1009,2.4966302%,4/30/2015,4/29/2016,United States
1,US9668371068,2.9890447%,4/30/2015,4/29/2016,United States
1,US9024941034,1.5502480%,4/30/2015,4/29/2016,United States
1,US2058871029,2.6872930%,4/30/2015,4/29/2016,United States
1,BRJBSSACNOR8,0.8824283%,4/30/2015,4/29/2016,Brazil
1,US4404521001,1.2758585%,4/30/2015,4/29/2016,United States
1,US49271V1008,2.4929887%,4/30/2015,4/29/2016,United States
1,US1344291091,1.3687352%,4/30/2015,4/29/2016,United States
1,CA8029121057,1.3242744%,4/30/2015,4/29/2016,Canada
1,TH0737010Y08,1.0660628%,4/30/2015,4/29/2016,Thailand
1,PHY9297P1004,0.8266807%,4/30/2015,4/29/2016,Philippines
1,GB00BDCPN049,1.6598445%,4/30/2015,4/29/2016,United Kingdom
1,KYG960071028,0.5031805%,4/30/2015,4/29/2016,Cayman Islands
1,KYG210961051,1.1898239%,4/30/2015,4/29/2016,Cayman Islands
1,HK0000083920,0.3730758%,4/30/2015,4/29/2016,Hong Kong
1,US5797802064,1.5208851%,4/30/2015,4/29/2016,United States
1,US20440T3005,0.9150032%,4/30/2015,4/29/2016,Brazil
1,US9662441057,1.3219283%,4/30/2015,4/29/2016,United States
1,CA2918434077,0.2436782%,4/30/2015,4/29/2016,Canada
1,CH0009002962,0.4803067%,4/30/2015,4/29/2016,Switzerland
1,US72147K1088,0.2759701%,4/30/2015,4/29/2016,United States
2,US5010441013,15.4670804%,4/29/2016,4/28/2017,United States
2,US61174X1090,9.2578977%,4/29/2016,4/28/2017,United States
2,US8718291078,11.9788710%,4/29/2016,4/28/2017,United States
2,US9024941034,7.0366475%,4/29/2016,4/28/2017,United States
2,US49271V1008,7.6644548%,4/29/2016,4/28/2017,United States
2,CA8029121057,3.7361593%,4/29/2016,4/28/2017,Canada
2,US5797802064,4.9763520%,4/29/2016,4/28/2017,United States
2,TH0737010Y08,2.9350551%,4/29/2016,4/28/2017,Thailand
2,PHY9297P1004,1.9828863%,4/29/2016,4/28/2017,Philippines
2,US9668371068,4.3207176%,4/29/2016,4/28/2017,United States
2,BMG2624N1535,0.9590252%,4/29/2016,4/28/2017,Bermuda
2,KYG2743Y1061,0.5892840%,4/29/2016,4/28/2017,Cayman Islands
2,HK0000083920,0.7167381%,4/29/2016,4/28/2017,Hong Kong
2,US9662441057,3.2200668%,4/29/2016,4/28/2017,United States
2,CH0009002962,2.7259016%,4/29/2016,4/28/2017,Switzerland
2,US69840W1080,2.0766856%,4/29/2016,4/28/2017,United States
2,US9181941017,2.2599364%,4/29/2016,4/28/2017,United States
2,KYG2117A1067,0.6300547%,4/29/2016,4/28/2017,Cayman Islands
2,US89469A1043,2.2542286%,4/29/2016,4/28/2017,United States
2,US72348P1049,2.2612404%,4/29/2016,4/28/2017,United States
