Period,ISIN,Weights,Start Date,End Date,Country
1,US0003611052,0.3946492100919370000%,09/30/2015,03/31/2016,United States
1,US0078001056,0.3380001693959400000%,09/30/2015,03/31/2016,United States
1,US05464C1018,2.9333969566911100000%,09/30/2015,03/31/2016,United States
1,US0683231049,0.5710009365928190000%,09/30/2015,03/31/2016,United States
1,US0995021062,1.0839021512620300000%,09/30/2015,03/31/2016,United States
1,US1271903049,0.4862441118302350000%,09/30/2015,03/31/2016,United States
1,IL0010824113,3.6485492000158200000%,09/30/2015,03/31/2016,Israel
1,US2296691064,0.2311400235796140000%,09/30/2015,03/31/2016,United States
1,US2315611010,0.6729132310436140000%,09/30/2015,03/31/2016,United States
1,IL0011334468,2.6369338505213500000%,09/30/2015,03/31/2016,Israel
1,US29286C1071,0.1030389857322560000%,09/30/2015,03/31/2016,United States
1,US2974251009,1.2430260379586300000%,09/30/2015,03/31/2016,United States
1,US31816Q1013,8.0000000000000000000%,09/30/2015,03/31/2016,United States
1,US3024451011,1.0429458691819200000%,09/30/2015,03/31/2016,United States
1,US34959E1091,2.6714990455938300000%,09/30/2015,03/31/2016,United States
1,US3695501086,8.0000000000000000000%,09/30/2015,03/31/2016,United States
1,US4282911084,1.3176853117475700000%,09/30/2015,03/31/2016,United States
1,US4464131063,1.7461902218030600000%,09/30/2015,03/31/2016,United States
1,US45321L1008,1.2321371055758100000%,09/30/2015,03/31/2016,United States
1,US4835481031,0.1707708569648450000%,09/30/2015,03/31/2016,United States
1,US5024131071,3.1163580641236100000%,09/30/2015,03/31/2016,United States
1,US5024311095,3.5633709919011500000%,09/30/2015,03/31/2016,United States
1,US53224V1008,0.9935760716103220000%,09/30/2015,03/31/2016,United States
1,US5398301094,8.0000000000000000000%,09/30/2015,03/31/2016,United States
1,US54142L1098,0.8051000294801950000%,09/30/2015,03/31/2016,United States
1,US5645631046,0.1277063837075890000%,09/30/2015,03/31/2016,United States
1,US6153942023,0.4543723918810730000%,09/30/2015,03/31/2016,United States
1,US6668071029,7.9601854744842900000%,09/30/2015,03/31/2016,United States
1,US68557N1037,1.4122519123320200000%,09/30/2015,03/31/2016,United States
1,US68287N1000,1.1965338924515400000%,09/30/2015,03/31/2016,United States
1,US6974351057,8.0000000000000000000%,09/30/2015,03/31/2016,United States
1,US7434241037,1.5923523052711600000%,09/30/2015,03/31/2016,United States
1,US74758T3032,1.0187810293935300000%,09/30/2015,03/31/2016,United States
1,IL0010834765,0.2938545124405450000%,09/30/2015,03/31/2016,Israel
1,US7551115071,8.0000000000000000000%,09/30/2015,03/31/2016,United States
1,US7743411016,3.3714199545531100000%,09/30/2015,03/31/2016,United States
1,US8086251076,0.5534821992687980000%,09/30/2015,03/31/2016,United States
1,US6687711084,4.7333883618589800000%,09/30/2015,03/31/2016,United States
1,US8936411003,3.6680921603471400000%,09/30/2015,03/31/2016,United States
1,US8968181011,1.4664269789502800000%,09/30/2015,03/31/2016,United States
1,US92343X1000,1.1487240103622700000%,09/30/2015,03/31/2016,United States
2,US0003611052,0.2254799198466140000%,03/31/2016,09/30/2016,United States
2,US0078001056,0.2217915716173740000%,03/31/2016,09/30/2016,United States
2,US05464C1018,1.3988158754426700000%,03/31/2016,09/30/2016,United States
2,US0683231049,0.2708029812955260000%,03/31/2016,09/30/2016,United States
2,US0995021062,1.2943406959845700000%,03/31/2016,09/30/2016,United States
2,US1271903049,0.8174972708950040000%,03/31/2016,09/30/2016,United States
2,IL0010824113,4.3441656441242100000%,03/31/2016,09/30/2016,Israel
2,US2296691064,0.3048158074411760000%,03/31/2016,09/30/2016,United States
2,US2315611010,0.9158922174255860000%,03/31/2016,09/30/2016,United States
2,IL0011334468,1.8070478224417900000%,03/31/2016,09/30/2016,Israel
2,US29286C1071,0.0948644910839566000%,03/31/2016,09/30/2016,United States
2,US2974251009,0.9226538521618810000%,03/31/2016,09/30/2016,United States
2,US31816Q1013,4.9655715919256000000%,03/31/2016,09/30/2016,United States
2,US3024451011,1.6159451591945700000%,03/31/2016,09/30/2016,United States
2,US34959E1091,3.0329886186321300000%,03/31/2016,09/30/2016,United States
2,US3695501086,8.0000000000000000000%,03/31/2016,09/30/2016,United States
2,US4282911084,1.3483595297638600000%,03/31/2016,09/30/2016,United States
2,US4464131063,1.8703260951272700000%,03/31/2016,09/30/2016,United States
2,US45321L1008,1.2452066990882000000%,03/31/2016,09/30/2016,United States
2,US4835481031,0.2547507783240130000%,03/31/2016,09/30/2016,United States
2,US5024131071,3.3143171370635400000%,03/31/2016,09/30/2016,United States
2,US5024311095,4.1285122516421000000%,03/31/2016,09/30/2016,United States
2,US53224V1008,0.7605873779895470000%,03/31/2016,09/30/2016,United States
2,US5398301094,8.0000000000000000000%,03/31/2016,09/30/2016,United States
2,US54142L1098,0.7201168998488510000%,03/31/2016,09/30/2016,United States
2,US5645631046,0.1412582032019000000%,03/31/2016,09/30/2016,United States
2,US6153942023,0.3908731082482620000%,03/31/2016,09/30/2016,United States
2,US6668071029,8.0000000000000000000%,03/31/2016,09/30/2016,United States
2,US68557N1037,2.0264293020705200000%,03/31/2016,09/30/2016,United States
2,US68287N1000,0.3336392522659270000%,03/31/2016,09/30/2016,United States
2,US6974351057,8.0000000000000000000%,03/31/2016,09/30/2016,United States
2,US7434241037,2.0179278058033100000%,03/31/2016,09/30/2016,United States
2,US74758T3032,0.4962770678817100000%,03/31/2016,09/30/2016,United States
2,IL0010834765,0.1920449777258580000%,03/31/2016,09/30/2016,Israel
2,US7551115071,8.0000000000000000000%,03/31/2016,09/30/2016,United States
2,US7743411016,3.2303494397637000000%,03/31/2016,09/30/2016,United States
2,US8086251076,0.6426069847970150000%,03/31/2016,09/30/2016,United States
2,US6687711084,6.5946667977821600000%,03/31/2016,09/30/2016,United States
2,US8936411003,5.6547501334138600000%,03/31/2016,09/30/2016,United States
2,US8968181011,1.3041335152365700000%,03/31/2016,09/30/2016,United States
2,US92343X1000,1.1001931234491600000%,03/31/2016,09/30/2016,United States
3,US0021211018,0.1376847426579400000%,09/30/2016,03/31/2017,United States
3,US0078001056,0.2257350342235970000%,09/30/2016,03/31/2017,United States
3,US05464C1018,1.0864617866746900000%,09/30/2016,03/31/2017,United States
