Period,ISIN,Weights,Start Date,End Date,Country
1,US5949181045,2.00%,12/31/2015,12/30/2016,United States
1,US00206R1023,2.00%,12/31/2015,12/30/2016,United States
1,US92343V1044,2.00%,12/31/2015,12/30/2016,United States
1,US20030N1019,2.00%,12/31/2015,12/30/2016,United States
1,US88732J2078,2.00%,12/31/2015,12/30/2016,United States
1,US79466L3024,2.00%,12/31/2015,12/30/2016,United States
1,US64110L1061,2.00%,12/31/2015,12/30/2016,United States
1,US00724F1012,2.00%,12/31/2015,12/30/2016,United States
1,AEE000401019,2.00%,12/31/2015,12/30/2016,United Arab Emirates
1,CNE1000002V2,2.00%,12/31/2015,12/30/2016,China
1,GB00B8W67B19,2.00%,12/31/2015,12/30/2016,United Kingdom
1,US53578A1088,2.00%,12/31/2015,12/30/2016,United States
1,US00507V1098,2.00%,12/31/2015,12/30/2016,United States
1,US25470M1099,2.00%,12/31/2015,12/30/2016,United States
1,US9285634021,2.00%,12/31/2015,12/30/2016,United States
1,ID1000129000,2.00%,12/31/2015,12/30/2016,Indonesia
1,US16119P1084,2.00%,12/31/2015,12/30/2016,United States
1,US7043261079,2.00%,12/31/2015,12/30/2016,United States
1,NL0011333752,2.00%,12/31/2015,12/30/2016,Netherlands
1,US98138H1014,2.00%,12/31/2015,12/30/2016,United States
1,US7565771026,2.00%,12/31/2015,12/30/2016,United States
1,IL0010824113,2.00%,12/31/2015,12/30/2016,Israel
1,KR7034730002,2.00%,12/31/2015,12/30/2016,South Korea
1,US81762P1021,2.00%,12/31/2015,12/30/2016,United States
1,US0527691069,2.00%,12/31/2015,12/30/2016,United States
1,US1773761002,2.00%,12/31/2015,12/30/2016,United States
1,CA21037X1006,2.00%,12/31/2015,12/30/2016,Canada
1,US12686C1099,2.00%,12/31/2015,12/30/2016,United States
1,US44970B1098,2.00%,12/31/2015,12/30/2016,United States
1,US03662Q1058,2.00%,12/31/2015,12/30/2016,United States
1,US64118Q1076,2.00%,12/31/2015,12/30/2016,United States
1,US22160N1090,2.00%,12/31/2015,12/30/2016,United States
1,US9022521051,2.00%,12/31/2015,12/30/2016,United States
1,US04685W1036,2.00%,12/31/2015,12/30/2016,United States
1,CA6837151068,2.00%,12/31/2015,12/30/2016,Canada
1,GB00BGDT3G23,2.00%,12/31/2015,12/30/2016,United Kingdom
1,US90385D1072,2.00%,12/31/2015,12/30/2016,United States
1,US5303073051,2.00%,12/31/2015,12/30/2016,United States
1,GB00BJ1F4N75,2.00%,12/31/2015,12/30/2016,United Kingdom
1,US3802371076,2.00%,12/31/2015,12/30/2016,United States
1,HK0008011667,2.00%,12/31/2015,12/30/2016,Hong Kong
1,US9224751084,2.00%,12/31/2015,12/30/2016,United States
1,US83421A1043,2.00%,12/31/2015,12/30/2016,United States
1,PLCFRPT00013,2.00%,12/31/2015,12/30/2016,Poland
1,US6983541078,2.00%,12/31/2015,12/30/2016,United States
1,US58471A1051,2.00%,12/31/2015,12/30/2016,United States
1,US7434241037,2.00%,12/31/2015,12/30/2016,United States
1,US9682232064,2.00%,12/31/2015,12/30/2016,United States
1,US45781D1019,2.00%,12/31/2015,12/30/2016,United States
1,US98936J1016,2.00%,12/31/2015,12/30/2016,United States
2,US00206R1023,2.00%,12/30/2016,12/29/2017,United States
2,US92343V1044,2.00%,12/30/2016,12/29/2017,United States
2,US20030N1019,2.00%,12/30/2016,12/29/2017,United States
2,DE0007164600,2.00%,12/30/2016,12/29/2017,Germany
2,US16119P1084,2.00%,12/30/2016,12/29/2017,United States
2,US64110L1061,2.00%,12/30/2016,12/29/2017,United States
2,US00724F1012,2.00%,12/30/2016,12/29/2017,United States
2,US79466L3024,2.00%,12/30/2016,12/29/2017,United States
2,AEE000401019,2.00%,12/30/2016,12/29/2017,United Arab Emirates
2,CNE1000002V2,2.00%,12/30/2016,12/29/2017,China
2,US9285634021,2.00%,12/30/2016,12/29/2017,United States
2,ID1000129000,2.00%,12/30/2016,12/29/2017,Indonesia
2,GB00B8W67B19,2.00%,12/30/2016,12/29/2017,United Kingdom
2,US25470M1099,2.00%,12/30/2016,12/29/2017,United States
2,US00507V1098,2.00%,12/30/2016,12/29/2017,United States
2,NL0011333752,2.00%,12/30/2016,12/29/2017,Netherlands
2,NO0010063308,2.00%,12/30/2016,12/29/2017,Norway
2,US7043261079,2.00%,12/30/2016,12/29/2017,United States
2,US0527691069,2.00%,12/30/2016,12/29/2017,United States
2,IL0010824113,2.00%,12/30/2016,12/29/2017,Israel
2,US1773761002,2.00%,12/30/2016,12/29/2017,United States
2,KR7034730002,2.00%,12/30/2016,12/29/2017,South Korea
2,US98138H1014,2.00%,12/30/2016,12/29/2017,United States
2,US7565771026,2.00%,12/30/2016,12/29/2017,United States
2,US81762P1021,2.00%,12/30/2016,12/29/2017,United States
2,NL0000395903,2.00%,12/30/2016,12/29/2017,Netherlands
2,CA21037X1006,2.00%,12/30/2016,12/29/2017,Canada
2,CA6837151068,2.00%,12/30/2016,12/29/2017,Canada
2,US03662Q1058,2.00%,12/30/2016,12/29/2017,United States
2,GB00BMJ6DW54,2.00%,12/30/2016,12/29/2017,United Kingdom
2,GB00BJ1F4N75,2.00%,12/30/2016,12/29/2017,United Kingdom
2,US22160N1090,2.00%,12/30/2016,12/29/2017,United States
2,US3802371076,2.00%,12/30/2016,12/29/2017,United States
2,US9224751084,2.00%,12/30/2016,12/29/2017,United States
