ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US1894641000,,97.20336017,,,,,,,,,,,,,9.0
US03152W1099,,41.23259229,,,,,,,,,,,,,5.0
US4529071080,,37.26684327,,,,,,,,,,,,,5.0
US29664W1053,,33.14409232,,,,,,,,,,,,,5.0
US0327241065,,25.42868317,,,,,,,,,,,,,5.0
US7504692077,,32.84252827,,,,,,,,,,,,,5.0
US0143391052,,15.19714085,,,,,,,,,,,,,5.0
US5488621013,,34.31991314,,,,,,,,,,,,,5.0
US69366J2006,,19.69712062,,,,,,,,,,,,,5.0
US40637H1095,,22.84228926,,,,,,,,,,,,,5.0
US62857M1053,,22.97200924,,,,,,,,,,,,,5.0
JE00BYSS4X48,,18.49696615,,,,,,,,,,,,,5.0
US5588681057,,10.96570679,,,,,,,,,,,,,5.0
US24983L1044,,13.44544096,,,,,,,,,,,,,5.0
US0044491043,,12.26947947,,,,,,,,,,,,,5.0
US00900T1079,,13.61951801,,,,,,,,,,,,,5.0
US88322Q1085,,12.48000864,,,,,,,,,,,,,5.0
US19459J1043,,9.99536888,,,,,,,,,,,,,5.0
US5034596040,,11.64405378,,,,,,,,,,,,,5.0
US7613301099,,11.10471291,,,,,,,,,,,,,5.0
US60468T1051,,11.86361266,,,,,,,,,,,,,5.0
US56854Q1013,,10.06145877,,,,,,,,,,,,,5.0
US6515111077,,21.37847342,,,,,,,,,,,,,5.0
BMG0750W2037,,13.62061151,,,,,,,,,,,,,5.0
KYG8807B1068,,6.350171697,,,,,,,,,,,,,5.0
US05070R1041,,8.501029563,,,,,,,,,,,,,5.0
US4622601007,,5.876375229,,,,,,,,,,,,,5.0
VGG111961055,,8.221772911,,,,,,,,,,,,,5.0
US2060221056,,6.545486502,,,,,,,,,,,,,5.0
US38000Q1022,,8.672918916,,,,,,,,,,,,,5.0
US29251M1062,,9.191280716,,,,,,,,,,,,,5.0
US23257D1037,,6.079508222,,,,,,,,,,,,,5.0
US04351P1012,,6.587732732,,,,,,,,,,,,,5.0
US4831191030,,4.53562952,,,,,,,,,,,,,5.0
US23284F1057,,7.116038102999999,,,,,,,,,,,,,5.0
US05463X1063,,6.148914465,,,,,,,,,,,,,5.0
NL0010696654,,8.585224541,,,,,,,,,,,,,5.0
US09058V1035,,7.091462344,,,,,,,,,,,,,5.0
US00461U1051,,8.09170118,,,,,,,,,,,,,5.0
IL0011407140,,3.7311702139999996,,,,,,,,,,,,,5.0
US29428V1044,,8.51269933,,,,,,,,,,,,,5.0
US0453961080,,4.473740043,,,,,,,,,,,,,5.0
US50127T1097,,7.276509722,,,,,,,,,,,,,5.0
US4811161011,,3.336156807,,,,,,,,,,,,,5.0
US48283N1063,,2.092117642,,,,,,,,,,,,,5.0
CA05156V1022,,6.521447062000001,,,,,,,,,,,,,5.0
US92915B1061,,7.183072331,,,,,,,,,,,,,5.0
US00972L1070,,7.407077564,,,,,,,,,,,,,5.0
US7612991064,,6.1320156720000005,,,,,,,,,,,,,5.0
SG9999014716,,4.534835035,,,,,,,,,,,,,5.0
US24344T1016,,5.363039698,,,,,,,,,,,,,5.0
US00448Q2012,,8.151242886,,,,,,,,,,,,,5.0
US5560991094,,4.8511987130000005,,,,,,,,,,,,,5.0
US98419J2069,,4.634884193,,,,,,,,,,,,,5.0
US00653A1079,,2.771389662,,,,,,,,,,,,,5.0
US00972D1054,,5.903346922999999,,,,,,,,,,,,,5.0
US67022C1062,,2.219463858,,,,,,,,,,,,,5.0
US2530311081,,2.069856464,,,,,,,,,,,,,5.0
US7207951036,,2.7091851080000002,,,,,,,,,,,,,5.0
US87164F1057,,2.02326829,,,,,,,,,,,,,5.0
US00739L1017,,4.409257543,,,,,,,,,,,,,5.0
US13089P1012,,7.266347825,,,,,,,,,,,,,5.0
US87184Q1076,,3.313127187,,,,,,,,,,,,,5.0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,5.0
US74366E1029,,1.845119033,,,,,,,,,,,,,5.0
US8162121045,,2.533361176,,,,,,,,,,,,,5.0
US21887L1070,,1.9041692940000001,,,,,,,,,,,,,5.0
US01345P1066,,1.033761126,,,,,,,,,,,,,5.0
US16383L1061,,1.177436379,,,,,,,,,,,,,5.0
US8051111016,,1.634797298,,,,,,,,,,,,,5.0
US03753U1060,,2.938756587,,,,,,,,,,,,,5.0
US58549G2093,,2.498082381,,,,,,,,,,,,,5.0
US76243J1051,,7.246113445,,,,,,,,,,,,,5.0
US14888U1016,,3.042221422,,,,,,,,,,,,,5.0
US0396971071,,4.1609360010000005,,,,,,,,,,,,,5.0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,5.0
IL0011327454,,1.722708234,,,,,,,,,,,,,5.0
NL0012661870,,1.755935437,,,,,,,,,,,,,5.0
US98887Q1040,,5.394921049,,,,,,,,,,,,,5.0
US81750R1023,,2.256234199,,,,,,,,,,,,,5.0
US6085501095,,1.115194478,,,,,,,,,,,,,5.0
US59045L1061,,1.056127561,,,,,,,,,,,,,5.0
US68404V1008,,3.8068612269999997,,,,,,,,,,,,,5.0
IE00BYQMW233,,4.510021576000001,,,,,,,,,,,,,5.0
US14757U1097,,1.793175086,,,,,,,,,,,,,5.0
