ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US74340W1036,," 45,996.95 ",,,,,,Pure-Play,,,,1,,
US74460D1090,," 37,376.42 ",,,,,,Pure-Play,,,,1,,
US98980A1051,," 15,167.31 ",,,,,,Pure-Play,,,,1,,
US30225T1025,," 12,638.41 ",,,,,,Pure-Play,,,,1,,
US2644115055,," 10,680.32 ",,,,,,Pure-Play,,,,1,,
US5311721048,," 7,064.76 ",,,,,,Pure-Play,,,,1,,
US2296631094,," 5,745.97 ",,,,,,Pure-Play,,,,1,,
US03064D1081,," 4,676.50 ",,,,,,Pure-Play,,,,1,,
US32054K1034,," 4,357.65 ",,,,,,Pure-Play,,,,1,,
US53223X1072,," 4,295.37 ",,,,,,Pure-Play,,,,1,,
US2772761019,," 4,022.51 ",,,,,,Pure-Play,,,,1,,
US76169C1009,," 3,729.37 ",,,,,,Pure-Play,,,,1,,
US85254J1025,," 3,577.23 ",,,,,,Pure-Play,,,,1,,
US88146M1018,," 2,658.88 ",,,,,,Pure-Play,,,,1,,
US6378701063,," 1,559.87 ",,,,,,Pure-Play,,,,1,,
US08653C1062,," 1,421.84 ",,,,,,Pure-Play,,,,1,,
US4562371066,," 1,272.87 ",,,,,,Pure-Play,,,,1,,
US6097201072,," 1,213.50 ",,,,,,Pure-Play,,,,1,,
US0231351067,," 9,28,656.55 ",,,,,,Marginal,,,,1,,
US01609W1027,," 4,80,539.07 ",,,,,,Marginal,,,,1,,
US9311421039,," 2,93,769.55 ",,,,,,Marginal,,,,1,,
US9113121068,," 79,150.76 ",,,,,,Marginal,,,,1,,
US31428X1063,," 51,067.49 ",,,,,,Marginal,,,,1,,
US87612E1064,," 42,349.63 ",,,,,,Marginal,,,,1,,
US47215P1066,," 36,334.49 ",,,,,,Marginal,,,,1,,
US92936U1097,," 12,966.10 ",,,,,,Marginal,,,,3,,
US94419L1017,," 9,410.85 ",,,,,,Marginal,,,,3,,
US4456581077,," 10,723.84 ",,,,,,Marginal,,,,3,,
US9837931008,," 7,271.30 ",,,,,,Marginal,,,,3,,
US92763W1036,," 4,523.73 ",,,,,,Marginal,,,,3,,
US0025353006,," 3,520.39 ",,,,,,Marginal,,,,3,,
US7835491082,," 3,501.77 ",,,,,,Marginal,,,,3,,
US69360J1079,," 3,992.66 ",,,,,,Marginal,,,,3,,
US05550J1016,," 3,777.95 ",,,,,,Marginal,,,,3,,
US19626G1085,," 2,477.43 ",,,,,,Marginal,,,,3,,
US11282X1037,," 2,146.30 ",,,,,,Marginal,,,,3,,
US5290431015,," 2,086.96 ",,,,,,Marginal,,,,3,,
US63845R1077,," 2,232.87 ",,,,,,Marginal,,,,3,,
US3498531017,," 1,936.18 ",,,,,,Marginal,,,,3,,
US78709Y1055,," 1,772.19 ",,,,,,Marginal,,,,3,,
US9507551086,," 2,470.54 ",,,,,,Marginal,,,,3,,
US3793782018,," 1,533.45 ",,,,,,Marginal,,,,3,,
US0893021032,," 1,505.35 ",,,,,,Marginal,,,,3,,
US80689H1023,," 2,048.57 ",,,,,,Marginal,,,,3,,
US03937C1053,, 834.58 ,,,,,,Marginal,,,,3,,
US3765361080,, 625.55 ,,,,,,Marginal,,,,3,,
US13462K1097,, 500.33 ,,,,,,Marginal,,,,3,,
