ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification (BDC/CEF),Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
US1894641000,,97.20336017,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,4.0,0,1
US03152W1099,,41.23259229,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,4.0,0,1
US4529071080,,37.26684327,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,4.0,0,1
US29664W1053,,33.14409232,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,3.9252497142847935,0,0
US0327241065,,25.42868317,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,3.011515004966684,0,0
US7504692077,,32.84252827,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,3.88953553060245,0,0
US0143391052,,15.19714085,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.7997950344656855,0,0
US5488621013,,34.31991314,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,4.0,0,1
US69366J2006,,19.69712062,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,2.332726940880308,0,0
US40637H1095,,22.84228926,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,2.705208775239907,0,0
US62857M1053,,22.97200924,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,2.720571492357514,0,0
JE00BYSS4X48,,18.49696615,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,2.190592833088723,0,0
US5588681057,,10.96570679,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.2986669548468819,0,0
US24983L1044,,13.44544096,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.5923414881036355,0,0
US0044491043,,12.26947947,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.4530725511821962,0,0
US00900T1079,,13.61951801,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.612957406143536,0,0
US88322Q1085,,12.48000864,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.478005488141597,0,0
US19459J1043,,9.99536888,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.1837499866217822,0,0
US5034596040,,11.64405378,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.3790034836911707,0,0
US7613301099,,11.10471291,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.3151294280848225,0,0
US60468T1051,,11.86361266,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.4050058078057652,0,0
US56854Q1013,,10.06145877,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.1915770020468832,0,0
US6515111077,,21.37847342,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,2.5318492922813602,0,0
BMG0750W2037,,13.62061151,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.6130869091789832,0,0
KYG8807B1068,,6.350171697,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.7520498494468543,0,0
US05070R1041,,8.501029563,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.0067756130149574,0,0
US4622601007,,5.876375229,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.6959382072063479,0,0
VGG111961055,,8.221772911,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.9737032910188685,0,0
US2060221056,,6.545486502,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.7751809515183753,0,0
US38000Q1022,,8.672918916,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.0271324424383628,0,0
US29251M1062,,9.191280716,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,1.0885219500375303,0,0
US23257D1037,,6.079508222,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.7199952160704565,0,0
US04351P1012,,6.587732732,5G Infrastructure & Hardware,,10,,,BDC,,,4,,,,0.7801841659867663,0,0
US4831191030,,4.53562952,5G Infrastructure & Hardware,,10,,,BDC,,,5,,,,0.5371539007794338,0,0
US23284F1057,,7.116038102999999,5G Infrastructure & Hardware,,10,,,BDC,,,5,,,,0.8427512891576585,0,0
US05463X1063,,6.148914465,5G Infrastructure & Hardware,,10,,,BDC,,,5,,,,0.7282149866671287,0,0
NL0010696654,,8.585224541,5G Infrastructure & Hardware,,10,,,BDC,,,5,,,,1.0167468112046056,0,0
US09058V1035,,7.091462344,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.8398407858298945,0,0
US00461U1051,,8.09170118,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.9582989160848718,0,0
