ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
US1894641000,,97.20336017,,,,,,,,,,,,,2.0,1.0,0.0
US03152W1099,,41.23259229,,,,,,,,,,,,,0.952460207001633,0.0,0.0
US4529071080,,37.26684327,,,,,,,,,,,,,0.8608526237107375,0.0,0.0
US5488621013,,34.31991314,,,,,,,,,,,,,0.7927794435939519,0.0,0.0
US29664W1053,,33.14409232,,,,,,,,,,,,,0.7656183440992291,0.0,0.0
US7504692077,,32.84252827,,,,,,,,,,,,,0.7586523072450071,0.0,0.0
US0327241065,,25.42868317,,,,,,,,,,,,,0.5873947644507207,0.0,0.0
US62857M1053,,22.97200924,,,,,,,,,,,,,0.5306463518491971,0.0,0.0
US40637H1095,,22.84228926,,,,,,,,,,,,,0.5276498601871142,0.0,0.0
US6515111077,,21.37847342,,,,,,,,,,,,,0.49383616426005006,0.0,0.0
US69366J2006,,19.69712062,,,,,,,,,,,,,0.45499743142783944,0.0,0.0
JE00BYSS4X48,,18.49696615,,,,,,,,,,,,,0.4272742320982797,0.0,0.0
US0143391052,,15.19714085,,,,,,,,,,,,,0.3510492820344566,0.0,0.0
BMG0750W2037,,13.62061151,,,,,,,,,,,,,0.31463193890551844,0.0,0.0
US00900T1079,,13.61951801,,,,,,,,,,,,,0.3146066793916603,0.0,0.0
US24983L1044,,13.44544096,,,,,,,,,,,,,0.31058555304793906,0.0,0.0
US01345P1066,,1.033761126,,,,,,,,,,,,,0.3,1.0,0.0
US00972D1054,,5.903346922999999,,,,,,,,,,,,,0.3,1.0,0.0
US67022C1062,,2.219463858,,,,,,,,,,,,,0.3,1.0,0.0
US2530311081,,2.069856464,,,,,,,,,,,,,0.3,1.0,0.0
US00653A1079,,2.771389662,,,,,,,,,,,,,0.3,1.0,0.0
US7207951036,,2.7091851080000002,,,,,,,,,,,,,0.3,1.0,0.0
US87164F1057,,2.02326829,,,,,,,,,,,,,0.3,1.0,0.0
US98419J2069,,4.634884193,,,,,,,,,,,,,0.3,1.0,0.0
US00739L1017,,4.409257543,,,,,,,,,,,,,0.3,1.0,0.0
US13089P1012,,7.266347825,,,,,,,,,,,,,0.3,1.0,0.0
US87184Q1076,,3.313127187,,,,,,,,,,,,,0.3,1.0,0.0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,0.3,1.0,0.0
US74366E1029,,1.845119033,,,,,,,,,,,,,0.3,1.0,0.0
US8162121045,,2.533361176,,,,,,,,,,,,,0.3,1.0,0.0
US21887L1070,,1.9041692940000001,,,,,,,,,,,,,0.3,1.0,0.0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,0.3,1.0,0.0
US16383L1061,,1.177436379,,,,,,,,,,,,,0.3,1.0,0.0
NL0012661870,,1.755935437,,,,,,,,,,,,,0.3,1.0,0.0
IE00BYQMW233,,4.510021576000001,,,,,,,,,,,,,0.3,1.0,0.0
US68404V1008,,3.8068612269999997,,,,,,,,,,,,,0.3,1.0,0.0
US59045L1061,,1.056127561,,,,,,,,,,,,,0.3,1.0,0.0
US6085501095,,1.115194478,,,,,,,,,,,,,0.3,1.0,0.0
US81750R1023,,2.256234199,,,,,,,,,,,,,0.3,1.0,0.0
US98887Q1040,,5.394921049,,,,,,,,,,,,,0.3,1.0,0.0
IL0011327454,,1.722708234,,,,,,,,,,,,,0.3,1.0,0.0
US8051111016,,1.634797298,,,,,,,,,,,,,0.3,1.0,0.0
US24344T1016,,5.363039698,,,,,,,,,,,,,0.3,1.0,0.0
US0396971071,,4.1609360010000005,,,,,,,,,,,,,0.3,1.0,0.0
US14888U1016,,3.042221422,,,,,,,,,,,,,0.3,1.0,0.0
US76243J1051,,7.246113445,,,,,,,,,,,,,0.3,1.0,0.0
US58549G2093,,2.498082381,,,,,,,,,,,,,0.3,1.0,0.0
US03753U1060,,2.938756587,,,,,,,,,,,,,0.3,1.0,0.0
US5560991094,,4.8511987130000005,,,,,,,,,,,,,0.3,1.0,0.0
US50127T1097,,7.276509722,,,,,,,,,,,,,0.3,1.0,0.0
SG9999014716,,4.534835035,,,,,,,,,,,,,0.3,1.0,0.0
IL0011407140,,3.7311702139999996,,,,,,,,,,,,,0.3,1.0,0.0
KYG8807B1068,,6.350171697,,,,,,,,,,,,,0.3,1.0,0.0
US4622601007,,5.876375229,,,,,,,,,,,,,0.3,1.0,0.0
US2060221056,,6.545486502,,,,,,,,,,,,,0.3,1.0,0.0
US23257D1037,,6.079508222,,,,,,,,,,,,,0.3,1.0,0.0
US4831191030,,4.53562952,,,,,,,,,,,,,0.3,1.0,0.0
US23284F1057,,7.116038102999999,,,,,,,,,,,,,0.3,1.0,0.0
US05463X1063,,6.148914465,,,,,,,,,,,,,0.3,1.0,0.0
US09058V1035,,7.091462344,,,,,,,,,,,,,0.3,1.0,0.0
US04351P1012,,6.587732732,,,,,,,,,,,,,0.3,1.0,0.0
US00972L1070,,7.407077564,,,,,,,,,,,,,0.3,1.0,0.0
US48283N1063,,2.092117642,,,,,,,,,,,,,0.3,1.0,0.0
US7612991064,,6.1320156720000005,,,,,,,,,,,,,0.3,1.0,0.0
US92915B1061,,7.183072331,,,,,,,,,,,,,0.3,1.0,0.0
CA05156V1022,,6.521447062000001,,,,,,,,,,,,,0.3,1.0,0.0
US14757U1097,,1.793175086,,,,,,,,,,,,,0.3,1.0,0.0
US0453961080,,4.473740043,,,,,,,,,,,,,0.3,1.0,0.0
US4811161011,,3.336156807,,,,,,,,,,,,,0.3,1.0,0.0
US88322Q1085,,12.48000864,,,,,,,,,,,,,0.288284363229799,0.0,0.0
US0044491043,,12.26947947,,,,,,,,,,,,,0.28342120411945815,0.0,0.0
US60468T1051,,11.86361266,,,,,,,,,,,,,0.27404580557190084,0.0,0.0
US5034596040,,11.64405378,,,,,,,,,,,,,0.26897406293629245,0.0,0.0
US7613301099,,11.10471291,,,,,,,,,,,,,0.25651545463265624,0.0,0.0
US5588681057,,10.96570679,,,,,,,,,,,,,0.25330445599113255,0.0,0.0
US56854Q1013,,10.06145877,,,,,,,,,,,,,0.2324166046949409,0.0,0.0
US19459J1043,,9.99536888,,,,,,,,,,,,,0.23088994855197068,0.0,0.0
US29251M1062,,9.191280716,,,,,,,,,,,,,0.21231575914024298,0.0,0.0
US38000Q1022,,8.672918916,,,,,,,,,,,,,0.20034176090464142,0.0,0.0
NL0010696654,,8.585224541,,,,,,,,,,,,,0.19831604779938913,0.0,0.0
US29428V1044,,8.51269933,,,,,,,,,,,,,0.19664073771953633,0.0,0.0
US05070R1041,,8.501029563,,,,,,,,,,,,,0.19637116968912222,0.0,0.0
VGG111961055,,8.221772911,,,,,,,,,,,,,0.18992042687140692,0.0,0.0
US00448Q2012,,8.151242886,,,,,,,,,,,,,0.1882912049748341,0.0,0.0
US00461U1051,,8.09170118,,,,,,,,,,,,,0.18691580986935225,0.0,0.0
