ï»¿ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US88554D2053,,,3D Printing,,,,,,,,,,,
IL0011267213,,,3D Printing,,,,,,,,,,,
US3116421021,,,3D Printing,,,,,,,,,,,
US69370C1009,,,3D Printing,,,,,,,,,,,
US7437131094,,,3D Printing,,,,,,,,,,,
US0527691069,,,3D Printing,,,,,,,,,,,
US03662Q1058,,,3D Printing,,,,,,,,,,,
US0003752047,,,Clean Energy and Smart Grid,,,,,,,,,,,
US3364331070,,,Clean Energy and Smart Grid,,,,,,,,,,,
US83417M1045,,,Clean Energy and Smart Grid,,,,,,,,,,,
US8030542042,,,Cloud Computing,,,,,,,,,,,
US2538681030,,,Cloud Computing,,,,,,,,,,,
LU1778762911,,,Cloud Computing,,,,,,,,,,,
US9285634021,,,Cloud Computing,,,,,,,,,,,
US79466L3024,,,Cloud Computing,,,,,,,,,,,
US81762P1021,,,Cloud Computing,,,,,,,,,,,
US64110L1061,,,Cloud Computing,,,,,,,,,,,
US29444U7000,,,Cloud Computing,,,,,,,,,,,
US00724F1012,,,Cloud Computing,,,,,,,,,,,
US98138H1014,,,Cloud Computing,,,,,,,,,,,
US8715031089,,,Cybersecurity,,,,,,,,,,,
US98980G1022,,,Cybersecurity,,,,,,,,,,,
US34959E1091,,,Cybersecurity,,,,,,,,,,,
US6792951054,,,Cybersecurity,,,,,,,,,,,
IL0010824113,,,Cybersecurity,,,,,,,,,,,
US7434241037,,,Cybersecurity,,,,,,,,,,,
US6974351057,,,Cybersecurity,,,,,,,,,,,
IL0011334468,,,Cybersecurity,,,,,,,,,,,
US7595301083,,,Data and Analytics,,,,,,,,,,,
BMG475671050,,,Data and Analytics,,,,,,,,,,,
US8486371045,,,Data and Analytics,,,,,,,,,,,
US92345Y1064,,,Data and Analytics,,,,,,,,,,,
US6153691059,,,Data and Analytics,,,,,,,,,,,
US78409V1044,,,Data and Analytics,,,,,,,,,,,
US89400J1079,,,Data and Analytics,,,,,,,,,,,
US78467J1007,,,Fintech,,,,,,,,,,,
US09215C1053,,,Fintech,,,,,,,,,,,
US40171V1008,,,Fintech,,,,,,,,,,,
US4612021034,,,Fintech,,,,,,,,,,,
US52603B1070,,,Fintech,,,,,,,,,,,
US31620M1062,,,Fintech,,,,,,,,,,,
KYG851581069,,,Fintech,,,,,,,,,,,
US1011371077,,,Healthcare Innovation,,,,,,,,,,,
US83175M2052,,,Healthcare Innovation,,,,,,,,,,,
US24906P1093,,,Healthcare Innovation,,,,,,,,,,,
US2521311074,,,Healthcare Innovation,,,,,,,,,,,
US0162551016,,,Healthcare Innovation,,,,,,,,,,,
US0036541003,,,Healthcare Innovation,,,,,,,,,,,
US46120E6023,,,Healthcare Innovation,,,,,,,,,,,
US45784P1012,,,Healthcare Innovation,,,,,,,,,,,
US00090Q1031,,,IoT,,,,,,,,,,,
US0116421050,,,IoT,,,,,,,,,,,
GB00BFMBMT84,,,IoT,,,,,,,,,,,
US74736K1016,,,IoT,,,,,,,,,,,
US83088M1027,,,IoT,,,,,,,,,,,
US8269191024,,,IoT,,,,,,,,,,,
CH0114405324,,,IoT,,,,,,,,,,,
US4657411066,,,IoT,,,,,,,,,,,
US8522341036,,,Mobile Payments,,,,,,,,,,,
US3377381088,,,Mobile Payments,,,,,,,,,,,
US70450Y1038,,,Mobile Payments,,,,,,,,,,,
US0258161092,,,Mobile Payments,,,,,,,,,,,
US92826C8394,,,Mobile Payments,,,,,,,,,,,
US57636Q1040,,,Mobile Payments,,,,,,,,,,,
US3390411052,,,Mobile Payments,,,,,,,,,,,
US37940X1028,,,Mobile Payments,,,,,,,,,,,
US8919061098,,,Mobile Payments,,,,,,,,,,,
US1924221039,,,Robotics & Artificial Intelligence,,,,,,,,,,,
US0080731088,,,Robotics & Artificial Intelligence,,,,,,,,,,,
US4627261005,,,Robotics & Artificial Intelligence,,,,,,,,,,,
US1143401024,,,Robotics & Artificial Intelligence,,,,,,,,,,,
