ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US1894641000,,,,,,,,,,,,,,,0.0125
US03152W1099,,,,,,,,,,,,,,,0.0125
US4529071080,,,,,,,,,,,,,,,0.0125
US29664W1053,,,,,,,,,,,,,,,0.0125
US0327241065,,,,,,,,,,,,,,,0.0125
US7504692077,,,,,,,,,,,,,,,0.0125
US0143391052,,,,,,,,,,,,,,,0.0125
US5488621013,,,,,,,,,,,,,,,0.0125
US69366J2006,,,,,,,,,,,,,,,0.0125
US40637H1095,,,,,,,,,,,,,,,0.0125
US62857M1053,,,,,,,,,,,,,,,0.0125
JE00BYSS4X48,,,,,,,,,,,,,,,0.0125
US5588681057,,,,,,,,,,,,,,,0.0125
US24983L1044,,,,,,,,,,,,,,,0.0125
US0044491043,,,,,,,,,,,,,,,0.0125
US00900T1079,,,,,,,,,,,,,,,0.0125
US88322Q1085,,,,,,,,,,,,,,,0.0125
US19459J1043,,,,,,,,,,,,,,,0.0125
US5034596040,,,,,,,,,,,,,,,0.0125
US7613301099,,,,,,,,,,,,,,,0.0125
US60468T1051,,,,,,,,,,,,,,,0.0125
US56854Q1013,,,,,,,,,,,,,,,0.0125
US6515111077,,,,,,,,,,,,,,,0.0125
BMG0750W2037,,,,,,,,,,,,,,,0.0125
KYG8807B1068,,,,,,,,,,,,,,,0.0125
US05070R1041,,,,,,,,,,,,,,,0.0125
US4622601007,,,,,,,,,,,,,,,0.0125
VGG111961055,,,,,,,,,,,,,,,0.0125
US2060221056,,,,,,,,,,,,,,,0.0125
US38000Q1022,,,,,,,,,,,,,,,0.0125
US29251M1062,,,,,,,,,,,,,,,0.0125
US23257D1037,,,,,,,,,,,,,,,0.0125
US04351P1012,,,,,,,,,,,,,,,0.0125
US4831191030,,,,,,,,,,,,,,,0.0125
US23284F1057,,,,,,,,,,,,,,,0.0125
US05463X1063,,,,,,,,,,,,,,,0.0125
NL0010696654,,,,,,,,,,,,,,,0.0125
US09058V1035,,,,,,,,,,,,,,,0.0125
US00461U1051,,,,,,,,,,,,,,,0.0125
IL0011407140,,,,,,,,,,,,,,,0.0125
US29428V1044,,,,,,,,,,,,,,,0.0125
US0453961080,,,,,,,,,,,,,,,0.0125
US50127T1097,,,,,,,,,,,,,,,0.0125
US4811161011,,,,,,,,,,,,,,,0.0125
US48283N1063,,,,,,,,,,,,,,,0.0125
CA05156V1022,,,,,,,,,,,,,,,0.0125
US92915B1061,,,,,,,,,,,,,,,0.0125
US00972L1070,,,,,,,,,,,,,,,0.0125
US7612991064,,,,,,,,,,,,,,,0.0125
SG9999014716,,,,,,,,,,,,,,,0.0125
US24344T1016,,,,,,,,,,,,,,,0.0125
US00448Q2012,,,,,,,,,,,,,,,0.0125
US5560991094,,,,,,,,,,,,,,,0.0125
US98419J2069,,,,,,,,,,,,,,,0.0125
US00653A1079,,,,,,,,,,,,,,,0.0125
US00972D1054,,,,,,,,,,,,,,,0.0125
US67022C1062,,,,,,,,,,,,,,,0.0125
US2530311081,,,,,,,,,,,,,,,0.0125
US7207951036,,,,,,,,,,,,,,,0.0125
US87164F1057,,,,,,,,,,,,,,,0.0125
US00739L1017,,,,,,,,,,,,,,,0.0125
US13089P1012,,,,,,,,,,,,,,,0.0125
US87184Q1076,,,,,,,,,,,,,,,0.0125
IE00BYZ5XL97,,,,,,,,,,,,,,,0.0125
US74366E1029,,,,,,,,,,,,,,,0.0125
US8162121045,,,,,,,,,,,,,,,0.0125
US21887L1070,,,,,,,,,,,,,,,0.0125
US01345P1066,,,,,,,,,,,,,,,0.0125
US16383L1061,,,,,,,,,,,,,,,0.0125
US8051111016,,,,,,,,,,,,,,,0.0125
US03753U1060,,,,,,,,,,,,,,,0.0125
US58549G2093,,,,,,,,,,,,,,,0.0125
US76243J1051,,,,,,,,,,,,,,,0.0125
US14888U1016,,,,,,,,,,,,,,,0.0125
US0396971071,,,,,,,,,,,,,,,0.0125
US3621LQ1099,,,,,,,,,,,,,,,0.0125
IL0011327454,,,,,,,,,,,,,,,0.0125
NL0012661870,,,,,,,,,,,,,,,0.0125
US98887Q1040,,,,,,,,,,,,,,,0.0125
US81750R1023,,,,,,,,,,,,,,,0.0125
