ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US0378331005,,1039818.1259999999,,,,,,,,,,,,,3.0
US0231351067,,850936.9306,,,,,,,,,,,,,3.0
US30303M1027,,433102.3297,,,,,,,,,,,,,3.0
US02079K3059,,362274.968,,,,,,,,,,,,,3.0
US4370761029,,253648.3863,,,,,,,,,,,,,3.0
US2546871060,,232990.3599,,,,,,,,,,,,,3.0
US22160K1051,,130630.1725,,,,,,,,,,,,,3.0
US64110L1061,,122803.9608,,,,,,,,,,,,,3.0
US70450Y1038,,118302.9045,,,,,,,,,,,,,3.0
US6541061031,,115880.604,,,,,,,,,,,,,3.0
US8552441094,,102894.12,,,,,,,,,,,,,3.0
US5486611073,,83500.93381,,,,,,,,,,,,,3.0
US09857L1089,,83447.03362999999,,,,,,,,,,,,,3.0
US3377381088,,71447.03852,,,,,,,,,,,,,3.0
US4612021034,,69577.50091,,,,,,,,,,,,,3.0
US90353T1007,,49079.11548,,,,,,,,,,,,,3.0
US9182041080,,35286.445739999996,,,,,,,,,,,,,3.0
US29476L1070,,32694.3758,,,,,,,,,,,,,3.0
US2786421030,,31814.30335,,,,,,,,,,,,,3.0
US90184L1026,,30565.131719999998,,,,,,,,,,,,,3.0
US0534841012,,30540.19276,,,,,,,,,,,,,3.0
US5500211090,,24397.926330000002,,,,,,,,,,,,,2.1375761228770007
US1696561059,,22947.71325,,,,,,,,,,,,,2.010518568437212
US8522341036,,21253.52499,,,,,,,,,,,,,1.862085610518918
LU1778762911,,20224.457319999998,,,,,,,,,,,,,1.7719258792997985
US30212P3038,,19172.13674,,,,,,,,,,,,,1.6797288903018375
US44919P5089,,17670.020630000003,,,,,,,,,,,,,1.5481239544111705
US46187W1071,,16318.612280000001,,,,,,,,,,,,,1.4297229812241756
US83304A1060,,15541.208319999998,,,,,,,,,,,,,1.3616122688525791
US5380341090,,14435.343490000001,,,,,,,,,,,,,1.2647241061552936
US1431301027,,14372.8263,,,,,,,,,,,,,1.2592467860418606
US9026531049,,14214.567669999999,,,,,,,,,,,,,1.245381268778155
US1331311027,,11003.42028,,,,,,,,,,,,,0.964042933090886
US55087P1049,,10557.5457,,,,,,,,,,,,,0.9249785124874892
US1091941005,,8983.896340000001,,,,,,,,,,,,,0.7871063321956541
US29786A1060,,6958.9742,,,,,,,,,,,,,0.6096967786703318
US94419L1017,,6785.1078,,,,,,,,,,,,,0.5944638174676582
US0248351001,,6705.2176,,,,,,,,,,,,,0.587464395399485
US1985161066,,6565.889128,,,,,,,,,,,,,0.5752574065367502
US98986T1088,,5743.9735,,,,,,,,,,,,,0.5032468922959581
US57665R1068,,5401.90518,,,,,,,,,,,,,0.4732772521169254
US4001101025,,4896.5208,,,,,,,,,,,,,0.4289989979345342
US72703H1014,,4839.931320000001,,,,,,,,,,,,,0.42404102242391517
US8969452015,,4785.495,,,,,,,,,,,,,0.41927169177362095
US5017971046,,4654.44128,,,,,,,,,,,,,0.407789678962485
US05329W1027,,4297.86875,,,,,,,,,,,,,0.37654928107405344
VGG1890L1076,,4282.10675,,,,,,,,,,,,,0.37516832457828114
US1462291097,,4130.75187,,,,,,,,,,,,,0.361907665734046
US52603B1070,,4007.62606,,,,,,,,,,,,,0.3511202410977863
US1630921096,,3767.8099899999997,,,,,,,,,,,,,0.3301092298265591
US9043111072,,3695.14816,,,,,,,,,,,,,0.3237431071179434
US78442P1066,,3527.94065,,,,,,,,,,,,,0.3090935514095048
US1468691027,,3447.27798,,,,,,,,,,,,,0.30202645090811936
US86272C1036,,2989.70185,,,,,,,,,,,,,0.3
US3846371041,,2795.5175,,,,,,,,,,,,,0.3
US1417881091,,2606.40972,,,,,,,,,,,,,0.3
US2533931026,,2582.79392,,,,,,,,,,,,,0.3
US98262P1012,,2369.5625800000003,,,,,,,,,,,,,0.3
US9858171054,,2288.506694,,,,,,,,,,,,,0.3
US85208M1027,,2124.262305,,,,,,,,,,,,,0.3
US0537741052,,2029.45251,,,,,,,,,,,,,0.3
US50050N1037,,1957.2063899999998,,,,,,,,,,,,,0.3
US5186132032,,1811.7915,,,,,,,,,,,,,0.3
US64031N1081,,1705.03209,,,,,,,,,,,,,0.3
US98954M1018,,1678.5482,,,,,,,,,,,,,0.3
US72941B1061,,1581.283359,,,,,,,,,,,,,0.3
US3994731079,,1560.955,,,,,,,,,,,,,0.3
US45781U1034,,1557.839136,,,,,,,,,,,,,0.3
US0758961009,,1529.55011,,,,,,,,,,,,,0.3
US45378A1060,,1319.4797,,,,,,,,,,,,,0.3
US1689051076,,1149.7596859999999,,,,,,,,,,,,,0.3
US2505651081,,1091.1645,,,,,,,,,,,,,0.3
US48273U1025,,1018.1985,,,,,,,,,,,,,0.3
US0952291005,,1015.14456,,,,,,,,,,,,,0.3
US52603A2087,,1005.0585699999999,,,,,,,,,,,,,0.3
US90214J1016,,998.79295,,,,,,,,,,,,,0.3
US4617305093,,859.057201,,,,,,,,,,,,,0.3
US45174J5092,,845.6338,,,,,,,,,,,,,0.3
US33812L1026,,808.3982496,,,,,,,,,,,,,0.3
US14575E1055,,649.44372,,,,,,,,,,,,,0.3
US38268T1034,,423.25309780000003,,,,,,,,,,,,,0.3
US89785L1070,,327.580725,,,,,,,,,,,,,0.3
US89686D1054,,158.3232,,,,,,,,,,,,,0.3
