ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US03152W1099,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US4529071080,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US29664W1053,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US0327241065,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US7504692077,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US0143391052,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US5488621013,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US69366J2006,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US40637H1095,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US62857M1053,,,a,,,,,,,,,,,,17.0,0.011764705882352941
JE00BYSS4X48,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US5588681057,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US24983L1044,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US0044491043,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US00900T1079,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US88322Q1085,,,a,,,,,,,,,,,,17.0,0.011764705882352941
US19459J1043,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US5034596040,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US7613301099,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US60468T1051,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US56854Q1013,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US6515111077,,,b,,,,,,,,,,,,17.0,0.011764705882352941
BMG0750W2037,,,b,,,,,,,,,,,,17.0,0.011764705882352941
KYG8807B1068,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US05070R1041,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US4622601007,,,b,,,,,,,,,,,,17.0,0.011764705882352941
VGG111961055,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US2060221056,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US38000Q1022,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US29251M1062,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US23257D1037,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US04351P1012,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US4831191030,,,b,,,,,,,,,,,,17.0,0.011764705882352941
US23284F1057,,,c,,,,,,,,,,,,17.0,0.011764705882352941
US05463X1063,,,c,,,,,,,,,,,,17.0,0.011764705882352941
NL0010696654,,,c,,,,,,,,,,,,17.0,0.011764705882352941
US09058V1035,,,c,,,,,,,,,,,,17.0,0.011764705882352941
