ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,97.20336017,a,,,,,,,,,,,,2.0,0.023809523809523808
US03152W1099,,41.23259229,a,,,,,,,,,,,,2.0,0.023809523809523808
US4529071080,,37.26684327,b,,,,,,,,,,,,2.0,0.023809523809523808
US29664W1053,,33.14409232,b,,,,,,,,,,,,2.0,0.023809523809523808
US0327241065,,25.42868317,c,,,,,,,,,,,,2.0,0.023809523809523808
US7504692077,,32.84252827,c,,,,,,,,,,,,2.0,0.023809523809523808
US0143391052,,15.19714085,d,,,,,,,,,,,,4.0,0.011904761904761904
US5488621013,,34.31991314,d,,,,,,,,,,,,4.0,0.011904761904761904
US69366J2006,,19.69712062,d,,,,,,,,,,,,4.0,0.011904761904761904
US40637H1095,,22.84228926,d,,,,,,,,,,,,4.0,0.011904761904761904
US62857M1053,,22.97200924,e,,,,,,,,,,,,4.0,0.011904761904761904
JE00BYSS4X48,,18.49696615,e,,,,,,,,,,,,4.0,0.011904761904761904
US5588681057,,10.96570679,e,,,,,,,,,,,,4.0,0.011904761904761904
US24983L1044,,13.44544096,e,,,,,,,,,,,,4.0,0.011904761904761904
US0044491043,,12.26947947,f,,,,,,,,,,,,4.0,0.011904761904761904
US00900T1079,,13.61951801,f,,,,,,,,,,,,4.0,0.011904761904761904
US88322Q1085,,12.48000864,f,,,,,,,,,,,,4.0,0.011904761904761904
US19459J1043,,9.99536888,f,,,,,,,,,,,,4.0,0.011904761904761904
US5034596040,,11.64405378,g,,,,,,,,,,,,8.0,0.005952380952380952
US7613301099,,11.10471291,g,,,,,,,,,,,,8.0,0.005952380952380952
US60468T1051,,11.86361266,g,,,,,,,,,,,,8.0,0.005952380952380952
US56854Q1013,,10.06145877,g,,,,,,,,,,,,8.0,0.005952380952380952
US6515111077,,21.37847342,g,,,,,,,,,,,,8.0,0.005952380952380952
BMG0750W2037,,13.62061151,g,,,,,,,,,,,,8.0,0.005952380952380952
KYG8807B1068,,6.350171697,g,,,,,,,,,,,,8.0,0.005952380952380952
US05070R1041,,8.501029563,g,,,,,,,,,,,,8.0,0.005952380952380952
US4622601007,,5.876375229,h,,,,,,,,,,,,7.0,0.006802721088435374
VGG111961055,,8.221772911,h,,,,,,,,,,,,7.0,0.006802721088435374
US2060221056,,6.545486502,h,,,,,,,,,,,,7.0,0.006802721088435374
US38000Q1022,,8.672918916,h,,,,,,,,,,,,7.0,0.006802721088435374
US29251M1062,,9.191280716,h,,,,,,,,,,,,7.0,0.006802721088435374
US23257D1037,,6.079508222,h,,,,,,,,,,,,7.0,0.006802721088435374
US04351P1012,,6.587732732,h,,,,,,,,,,,,7.0,0.006802721088435374
US4831191030,,4.53562952,i,,,,,,,,,,,,7.0,0.006802721088435374
