ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US0231351067,,82373337.35,,,,,,,,,,,,,8.0,1.0
US30303M1027,,47826604.47,,,,,,,,,,,,,8.0,1.0
US02079K3059,,34305555.73,,,,,,,,,,,,,7.0,1.0
US70450Y1038,,13403000.5,,,,,,,,,,,,,6.5,1.0
US64110L1061,,13119325.37,,,,,,,,,,,,,6.0,1.0
US09857L1089,,8190431.255,,,,,,,,,,,,,5.5,1.0
US45866F1049,,5050746.2,,,,,,,,,,,,,5.0,0.0
US00507V1098,,3466391.291,,,,,,,,,,,,,3.4863894114665164,0.0
CA82509L1076,,3258731.193,,,,,,,,,,,,,3.277531291862125,0.0
US2786421030,,3250706.398,,,,,,,,,,,,,3.2694602006411686,0.0
US58733R1023,,2854041.599,,,,,,,,,,,,,2.870506984157596,0.0
US90184L1026,,2797612.4460000005,,,,,,,,,,,,,2.813752283086192,0.0
US87236Y1082,,2638268.48,,,,,,,,,,,,,2.6534890383434964,0.0
US8522341036,,2578257.1580000003,,,,,,,,,,,,,2.593131502213018,0.0
US2855121099,,2568783.232,,,,,,,,,,,,,2.5836029197424883,0.0
US37940X1028,,2562083.711,,,,,,,,,,,,,2.5768647482218814,0.0
US8919061098,,2306780.286,,,,,,,,,,,,,2.3200884402666535,0.0
US22160N1090,,2083295.67,,,,,,,,,,,,,2.095314508693774,0.0
US44919P5089,,1865624.6530000002,,,,,,,,,,,,,1.8763877156273683,0.0
US30212P3038,,1620675.0990000002,,,,,,,,,,,,,1.6300250116746122,0.0
US2172041061,,1583500.5,,,,,,,,,,,,,1.5926359469531493,0.0
LU1778762911,,1533560.471,,,,,,,,,,,,,1.542407806591158,0.0
US57060D1081,,1335752.959,,,,,,,,,,,,,1.3434591140024497,0.0
US8740541094,,1312942.475,,,,,,,,,,,,,1.3205170329700786,0.0
US2692464017,,1160482.753,,,,,,,,,,,,,1.1671777484421084,0.0
NL0009805522,,1105897.508,,,,,,,,,,,,,1.1122775931467703,0.0
US83304A1060,,1042229.998,,,,,,,,,,,,,1.0482427759307362,0.0
US94419L1017,,886694.2916,,,,,,,,,,,,,0.8918097611969922,0.0
US88339J1051,,883974.1458,,,,,,,,,,,,,0.8890739224763643,0.0
US2987361092,,823772.2499,,,,,,,,,,,,,0.8285247129970674,0.0
US29786A1060,,806619.9399,,,,,,,,,,,,,0.8112734488015183,0.0
KYG687071012,,752965.425,,,,,,,,,,,,,0.757309393124824,0.0
US4001101025,,663429.5913,,,,,,,,,,,,,0.6672570140500848,0.0
US78573M1045,,639195.7401,,,,,,,,,,,,,0.6428833542032873,0.0
US98954M2008,,586609.4866,,,,,,,,,,,,,0.589993722883505,0.0
US98986T1088,,538771.5258,,,,,,,,,,,,,0.5418797778616905,0.0
US74915M1009,,525501.3453,,,,,,,,,,,,,0.5285330397413953,0.0
US8969452015,,483392.5499,,,,,,,,,,,,,0.48618131251621577,0.0
US1630921096,,457885.5471,,,,,,,,,,,,,0.4605271560708502,0.0
US57665R1068,,414635.359,,,,,,,,,,,,,0.417027451283548,0.0
US0044981019,,362086.7621,,,,,,,,,,,,,0.3641756938102218,0.0
KY30744W1070,,274649.8126,,,,,,,,,,,,,0.2762343077066954,0.0
US1417881091,,262882.6341,,,,,,,,,,,,,0.26439924262568393,0.0
US9858171054,,251205.1885,,,,,,,,,,,,,0.25265442812695155,0.0
KYG814771047,,239771.0211,,,,,,,,,,,,,0.24115429533588528,0.0
US8926721064,,224429.6302,,,,,,,,,,,,,0.2257243976985938,0.0
US5381461012,,190363.7869,,,,,,,,,,,,,0.19146202354534717,0.0
US1013881065,,177680.9143,,,,,,,,,,,,,0.1787059815905848,0.0
US3994731079,,162943.436,,,,,,,,,,,,,0.1638834806137793,0.0
MU0295S00016,,155174.7816,,,,,,,,,,,,,0.15607000770556376,0.0
