ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US00183L1026,,,,,,,,Pure-Play,,,,,,,1.75
US03783C1009,,,,,,,,Pure-Play,,,,,,,1.75
US10316T1043,,,,,,,,Pure-Play,,,,,,,1.75
US1417881091,,,,,,,,Pure-Play,,,,,,,1.75
US14575E1055,,,,,,,,Pure-Play,,,,,,,1.75
US1630921096,,,,,,,,Pure-Play,,,,,,,1.75
US2172041061,,,,,,,,Pure-Play,,,,,,,1.75
US1416331072,,,,,,,,Pure-Play,,,,,,,1.75
US21925Y1038,,,,,,,,Pure-Play,,,,,,,1.75
US26210C1045,,,,,,,,Pure-Play,,,,,,,1.75
US2786421030,,,,,,,,Pure-Play,,,,,,,1.75
US2829141009,,,,,,,,Pure-Play,,,,,,,1.75
US29786A1060,,,,,,,,Pure-Play,,,,,,,1.75
US30303M1027,,,,,,,,Pure-Play,,,,,,,1.75
US3994731079,,,,,,,,Pure-Play,,,,,,,1.75
US4001101025,,,,,,,,Pure-Play,,,,,,,1.75
US4612021034,,,,,,,,Pure-Play,,,,,,,1.75
US46267X1081,,,,,,,,Pure-Play,,,,,,,1.75
US48238T1097,,,,,,,,Pure-Play,,,,,,,1.75
US52603A2087,,,,,,,,Pure-Play,,,,,,,1.75
US53567X1019,,,,,,,,Pure-Play,,,,,,,1.75
US58733R1023,,,,,,,,Pure-Play,,,,,,,1.75
US5949181045,,,,,,,,Pure-Play,,,,,,,1.75
US57665R1068,,,,,,,,Pure-Play,,,,,,,1.75
US64110L1061,,,,,,,,Pure-Play,,,,,,,1.75
US70450Y1038,,,,,,,,Pure-Play,,,,,,,1.75
CA7677441056,,,,,,,,Pure-Play,,,,,,,1.75
US75606N1090,,,,,,,,Pure-Play,,,,,,,1.75
US83304A1060,,,,,,,,Pure-Play,,,,,,,1.75
LU1778762911,,,,,,,,Pure-Play,,,,,,,1.75
US8522341036,,,,,,,,Pure-Play,,,,,,,1.75
US8256901005,,,,,,,,Pure-Play,,,,,,,1.75
US88034P1093,,,,,,,,Pure-Play,,,,,,,1.75
US8969452015,,,,,,,,Pure-Play,,,,,,,1.75
US90214J1016,,,,,,,,Pure-Play,,,,,,,1.75
US90184L1026,,,,,,,,Pure-Play,,,,,,,1.75
US92826C8394,,,,,,,,Pure-Play,,,,,,,1.75
US9307521008,,,,,,,,Pure-Play,,,,,,,1.75
US9858171054,,,,,,,,Pure-Play,,,,,,,1.75
US98954M2008,,,,,,,,Pure-Play,,,,,,,1.75
US48138M1053,,,,,,,,,,,,,,,1.6666666666666667
US90353T1007,,,,,,,,,,,,,,,1.6666666666666667
US55087P1049,,,,,,,,,,,,,,,1.6666666666666667
US83356Q1085,,,,,,,,,,,,,,,1.6666666666666667
US72352L1061,,,,,,,,,,,,,,,1.6666666666666667
US98980L1017,,,,,,,,,,,,,,,1.6666666666666667
US09857L1089,,,,,,,,,,,,,,,1.6666666666666667
US0537741052,,,,,,,,,,,,,,,1.6666666666666667
US0231351067,,,,,,,,,,,,,,,1.6666666666666667
US01609W1027,,,,,,,,,,,,,,,1.6666666666666667
US30212P3038,,,,,,,,,,,,,,,1.6666666666666667
US3453708600,,,,,,,,,,,,,,,1.6666666666666667
US37045V1008,,,,,,,,,,,,,,,1.6666666666666667
US02079K3059,,,,,,,,,,,,,,,1.6666666666666667
US42806J1060,,,,,,,,,,,,,,,1.6666666666666667
US7495271071,,,,,,,,,,,,,,,1.6666666666666667
US8851601018,,,,,,,,,,,,,,,1.6666666666666667
NL0009805522,,,,,,,,,,,,,,,1.6666666666666667
