ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,,,,,,,,,,,,,,,
US03152W1099,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US4529071080,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US29664W1053,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US0327241065,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US7504692077,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US0143391052,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US5488621013,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US69366J2006,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US40637H1095,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US62857M1053,,,a,,,,,,,,,,,,16.0,0.020833333333333332
JE00BYSS4X48,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US5588681057,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US24983L1044,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US0044491043,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US00900T1079,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US88322Q1085,,,a,,,,,,,,,,,,16.0,0.020833333333333332
US19459J1043,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US5034596040,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US7613301099,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US60468T1051,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US56854Q1013,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US6515111077,,,b,,,,,,,,,,,,21.0,0.015873015873015872
BMG0750W2037,,,b,,,,,,,,,,,,21.0,0.015873015873015872
KYG8807B1068,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US05070R1041,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US4622601007,,,b,,,,,,,,,,,,21.0,0.015873015873015872
VGG111961055,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US2060221056,,,b,,,,,,,,,,,,21.0,0.015873015873015872
US38000Q1022,,,b,,,,,,,,,,,,21.0,0.015873015873015872
