ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
US1894641000,,97.20336017,Public Cloud,,,,,,,,,,,,2.2858802903635707,10,0
US03152W1099,,41.23259229,Public Cloud,,,,,,,,,,,,0.9696451837824149,10,0
US4529071080,,37.26684327,Public Cloud,,,,,,,,,,,,0.8763847501359615,10,0
US29664W1053,,33.14409232,Public Cloud,,,,,,,,,,,,0.7794321846875989,10,0
US0327241065,,25.42868317,Public Cloud,,,,,,,,,,,,0.5979929661540924,10,0
US7504692077,,32.84252827,Public Cloud,,,,,,,,,,,,0.7723404615519829,10,0
US0143391052,,15.19714085,Public Cloud,,,,,,,,,,,,0.357383167393997,10,0
US5488621013,,34.31991314,Public Cloud,,,,,,,,,,,,0.8070833444081724,10,0
US69366J2006,,19.69712062,Public Cloud,,,,,,,,,,,,0.4632068245730058,10,0
US40637H1095,,22.84228926,Public Cloud,,,,,,,,,,,,0.5371701010633643,10,0
US62857M1053,,22.97200924,Public Cloud,,,,,,,,,,,,0.5402206575979303,10,0
JE00BYSS4X48,,18.49696615,Public Cloud,,,,,,,,,,,,0.4349834232053292,10,0
US5588681057,,10.96570679,Public Cloud,,,,,,,,,,,,0.3,10,1
US24983L1044,,13.44544096,Public Cloud,,,,,,,,,,,,0.31618936250721025,10,0
US0044491043,,12.26947947,Data Centre Reits,,,,,,,,,,,,2.715301368409299,1,0
US00900T1079,,13.61951801,Data Centre Reits,,,,,,,,,,,,3.014072111213051,1,0
US88322Q1085,,12.48000864,Data Centre Reits,,,,,,,,,,,,2.7618925986883673,1,0
US19459J1043,,9.99536888,Data Centre Reits,,,,,,,,,,,,2.2120285431815243,1,0
US5034596040,,11.64405378,Data Centre Reits,,,,,,,,,,,,2.576891321263645,1,0
US7613301099,,11.10471291,Data Centre Reits,,,,,,,,,,,,2.4575323047763664,1,0
US60468T1051,,11.86361266,Data Centre Reits,,,,,,,,,,,,2.625480874615774,1,0
US56854Q1013,,10.06145877,Data Centre Reits,,,,,,,,,,,,2.2266545889884224,1,0
US6515111077,,21.37847342,Data Centre Reits,,,,,,,,,,,,4.0,1,1
BMG0750W2037,,13.62061151,Data Centre Reits,,,,,,,,,,,,3.0143141086061442,1,0
KYG8807B1068,,6.350171697,Data Centre Reits,,,,,,,,,,,,1.4053269285512813,1,0
US05070R1041,,8.501029563,Data Centre Reits,,,,,,,,,,,,1.8813232673595892,1,0
US4622601007,,5.876375229,Data Centre Reits,,,,,,,,,,,,1.3004732384616968,1,0
VGG111961055,,8.221772911,Data Centre Reits,,,,,,,,,,,,1.8195222780701066,1,0
US2060221056,,6.545486502,Data Centre Reits,,,,,,,,,,,,1.4485511385582193,1,0
US38000Q1022,,8.672918916,Data Centre Reits,,,,,,,,,,,,1.9193632996655312,1,0
US29251M1062,,9.191280716,Data Centre Reits,,,,,,,,,,,,2.0340795358606027,1,0
US23257D1037,,6.079508222,Data Centre Reits,,,,,,,,,,,,1.3454276552493538,1,0
US04351P1012,,6.587732732,Data Centre Reits,,,,,,,,,,,,1.4579004549990358,1,0
US4831191030,,4.53562952,Data Centre Reits,,,,,,,,,,,,1.003759048814286,1,0
US23284F1057,,7.116038102999999,Data Centre Reits,,,,,,,,,,,,1.574817256589664,1,0
US05463X1063,,6.148914465,Data Centre Reits,,,,,,,,,,,,1.3607876276960127,1,0
NL0010696654,,8.585224541,Data Centre Reits,,,,,,,,,,,,1.8999560658850345,1,0
US09058V1035,,7.091462344,Data Centre Reits,,,,,,,,,,,,1.5693785098029274,1,0
US00461U1051,,8.09170118,Data Centre Reits,,,,,,,,,,,,1.7907367089643238,1,0
IL0011407140,,3.7311702139999996,Data Centre Reits,,,,,,,,,,,,0.8257279057855756,1,0
US29428V1044,,8.51269933,Data Centre Reits,,,,,,,,,,,,1.883905849153837,1,0
US0453961080,,4.473740043,Data Centre Reits,,,,,,,,,,,,0.9900625768491037,1,0
US50127T1097,,7.276509722,Data Centre Reits,,,,,,,,,,,,1.6103304833509913,1,0
US4811161011,,3.336156807,Data Centre Reits,,,,,,,,,,,,0.738309328070875,1,0
US48283N1063,,2.092117642,Data Centre Reits,,,,,,,,,,,,0.46299681335999127,1,0
CA05156V1022,,6.521447062000001,Data Centre Reits,,,,,,,,,,,,1.4432310820319911,1,0
US92915B1061,,7.183072331,Data Centre Reits,,,,,,,,,,,,1.5896522894420126,1,0
US00972L1070,,7.407077564,Data Centre Reits,,,,,,,,,,,,1.6392258444720325,1,0
US7612991064,,6.1320156720000005,Data Centre Reits,,,,,,,,,,,,1.3570478345067778,1,0
SG9999014716,,4.534835035,Data Centre Reits,,,,,,,,,,,,1.0035832250384729,1,0
US24344T1016,,5.363039698,Data Centre Reits,,,,,,,,,,,,1.1868693424540848,1,0
US00448Q2012,,8.151242886,Data Centre Reits,,,,,,,,,,,,1.803913606661943,1,0
US5560991094,,4.8511987130000005,Data Centre Reits,,,,,,,,,,,,1.0735961974623467,1,0
US98419J2069,,4.634884193,Data Centre Reits,,,,,,,,,,,,1.0257246383143857,1,0
US00653A1079,,2.771389662,Data Centre Reits,,,,,,,,,,,,0.6133233410613452,1,0
US00972D1054,,5.903346922999999,Data Centre Reits,,,,,,,,,,,,1.3064422184665605,1,0
US67022C1062,,2.219463858,Data Centre Reits,,,,,,,,,,,,0.49117921143254345,1,0
US2530311081,,2.069856464,Data Centre Reits,,,,,,,,,,,,0.4580702957164679,1,0
US7207951036,,2.7091851080000002,Data Centre Reits,,,,,,,,,,,,0.5995571408724558,1,0
US87164F1057,,2.02326829,Data Centre Reits,,,,,,,,,,,,0.44776008386736726,1,0
US00739L1017,,4.409257543,Data Centre Reits,,,,,,,,,,,,0.975792255038259,1,0
US13089P1012,,7.266347825,Data Centre Reits,,,,,,,,,,,,1.6080816012450148,1,0
US87184Q1076,,3.313127187,Data Centre Reits,,,,,,,,,,,,0.7332127501065985,1,0
IE00BYZ5XL97,,1.186770013,Data Centre Reits,,,,,,,,,,,,0.2626385453568082,1,0
US74366E1029,,1.845119033,Data Centre Reits,,,,,,,,,,,,0.40833470135656386,1,0
US8162121045,,2.533361176,Data Centre Reits,,,,,,,,,,,,0.5606463652094762,1,0
US21887L1070,,1.9041692940000001,Data Centre Reits,,,,,,,,,,,,0.421402839649657,1,0
US01345P1066,,1.033761126,Data Centre Reits,,,,,,,,,,,,0.22877686106402828,1,0
US16383L1061,,1.177436379,Data Centre Reits,,,,,,,,,,,,0.2605729622785366,1,0
US8051111016,,1.634797298,Data Centre Reits,,,,,,,,,,,,0.3617893775514198,1,0
US03753U1060,,2.938756587,Data Centre Reits,,,,,,,,,,,,0.6503625358853907,1,0
