ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US1894641000,,97.20336017,,,,,,,,United States,,,,
US03152W1099,,41.23259229,,,,,,,,United States,,,,
US4529071080,,37.26684327,,,,,,,,United States,,,,
US29664W1053,,33.14409232,,,,,,,,United States,,,,
US0327241065,,25.42868317,,,,,,,,United States,,,,
US7504692077,,32.84252827,,,,,,,,United States,,,,
US0143391052,,15.19714085,,,,,,,,United States,,,,
US5488621013,,34.31991314,,,,,,,,United States,,,,
US69366J2006,,19.69712062,,,,,,,,United States,,,,
US40637H1095,,22.84228926,,,,,,,,United States,,,,
US62857M1053,,22.97200924,,,,,,,,United States,,,,
JE00BYSS4X48,,18.49696615,,,,,,,,United States,,,,
US5588681057,,10.96570679,,,,,,,,United States,,,,
US24983L1044,,13.44544096,,,,,,,,United States,,,,
US0044491043,,12.26947947,,,,,,,,United States,,,,
US00900T1079,,13.61951801,,,,,,,,United States,,,,
US88322Q1085,,12.48000864,,,,,,,,United States,,,,
US19459J1043,,9.99536888,,,,,,,,United States,,,,
US5034596040,,11.64405378,,,,,,,,United States,,,,
US7613301099,,11.10471291,,,,,,,,United States,,,,
US60468T1051,,11.86361266,,,,,,,,United States,,,,
US56854Q1013,,10.06145877,,,,,,,,United States,,,,
US6515111077,,21.37847342,,,,,,,,United States,,,,
BMG0750W2037,,13.62061151,,,,,,,,United States,,,,
KYG8807B1068,,6.350171697,,,,,,,,United States,,,,
US05070R1041,,8.501029563,,,,,,,,United States,,,,
US4622601007,,5.876375229,,,,,,,,United States,,,,
VGG111961055,,8.221772911,,,,,,,,United States,,,,
US2060221056,,6.545486502,,,,,,,,United States,,,,
US38000Q1022,,8.672918916,,,,,,,,United States,,,,
US29251M1062,,9.191280716,,,,,,,,United States,,,,
US23257D1037,,6.079508222,,,,,,,,United States,,,,
US04351P1012,,6.587732732,,,,,,,,United States,,,,
US4831191030,,4.53562952,,,,,,,,United States,,,,
US23284F1057,,7.116038103,,,,,,,,United States,,,,
US05463X1063,,6.148914465,,,,,,,,United States,,,,
NL0010696654,,8.585224541,,,,,,,,United States,,,,
US09058V1035,,7.091462344,,,,,,,,United States,,,,
US00461U1051,,8.09170118,,,,,,,,United States,,,,
IL0011407140,,3.731170214,,,,,,,,United States,,,,
US29428V1044,,8.51269933,,,,,,,,United States,,,,
US0453961080,,4.473740043,,,,,,,,United States,,,,
US50127T1097,,7.276509722,,,,,,,,United States,,,,
US4811161011,,3.336156807,,,,,,,,United States,,,,
US48283N1063,,2.092117642,,,,,,,,United States,,,,
CA05156V1022,,6.521447062,,,,,,,,United States,,,,
US92915B1061,,7.183072331,,,,,,,,United States,,,,
US00972L1070,,7.407077564,,,,,,,,United States,,,,
US7612991064,,6.132015672,,,,,,,,United States,,,,
