ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
INE154A01025,,3180096.1536211893,,,,,,,,,,,,,4.9
INE030A01027,,1714146.43590177,,,,,,,,,,,,,4.9
INE585B01010,,1315273.20709582,,,,,,,,,,,,,4.9
INE101A01026,,942656.324597854,,,,,,,,,,,,,4.9
INE917I01010,,535315.580293451,,,,,,,,,,,,,4.9
INE280A01028,,528751.832508247,,,,,,,,,,,,,4.9
INE216A01030,,516510.467625063,,,,,,,,,,,,,4.9
INE158A01026,,507911.033310915,,,,,,,,,,,,,4.9
INE239A01016,,500730.998384616,,,,,,,,,,,,,4.9
INE155A01022,,468054.64812845795,,,,,,,,,,,,,4.9
INE066A01013,,404600.68616698304,,,,,,,,,,,,,4.9
INE102D01028,,348811.180281714,,,,,,,,,,,,,4.479871432966328
INE016A01026,,343298.395977178,,,,,,,,,,,,,4.409069330516373
INE775A01035,,274371.876697224,,,,,,,,,,,,,3.523828368782622
INE196A01026,,247980.96947272698,,,,,,,,,,,,,3.184883179956957
INE259A01022,,237884.15558620897,,,,,,,,,,,,,3.055207210116604
INE323A01026,,236131.048168255,,,,,,,,,,,,,3.0326916020037262
INE854D01024,,223514.23192367802,,,,,,,,,,,,,2.870650595682149
INE192R01011,,207490.69951199897,,,,,,,,,,,,,2.6648562600524364
INE883A01011,,202762.671254758,,,,,,,,,,,,,2.6041329807505376
INE465A01025,,170834.31235093198,,,,,,,,,,,,,2.194068880055069
INE179A01014,,140511.264329526,,,,,,,,,,,,,1.8046221986675908
INE761H01022,,137450.4968607,,,,,,,,,,,,,1.765311977202006
INE797F01012,,136023.204632925,,,,,,,,,,,,,1.7469808971244118
INE302A01020,,135026.50210005,,,,,,,,,,,,,1.7341799909132476
INE686F01025,,127339.678488125,,,,,,,,,,,,,1.6354561441560937
INE264A01014,,116004.77145310599,,,,,,,,,,,,,1.489879026529017
INE343B01030,,113041.83665851301,,,,,,,,,,,,,1.4518252951855466
INE752P01024,,104751.24300350099,,,,,,,,,,,,,1.3453470749420786
INE647O01011,,86203.8035827705,,,,,,,,,,,,,1.1071375543971895
