ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US74340W1036,," 45,70,459.437944400000000 ",,,,,,Pure-Play,,,,,,
US74460D1090,," 31,87,980.958219510000000 ",,,,,,Pure-Play,,,,,,
US98980A1051,," 14,40,454.582814640000000 ",,,,,,Pure-Play,,,,,,
US30225T1025,," 12,24,089.649226660000000 ",,,,,,Pure-Play,,,,,,
US2644115055,," 10,65,621.862846120000000 ",,,,,,Pure-Play,,,,,,
US5311721048,," 7,01,001.095769325000000 ",,,,,,Pure-Play,,,,,,
US2296631094,," 5,71,057.033264320000000 ",,,,,,Pure-Play,,,,,,
US03064D1081,," 4,52,156.024861632000000 ",,,,,,Pure-Play,,,,,,
US32054K1034,," 4,30,751.464365300000000 ",,,,,,Pure-Play,,,,,,
US53223X1072,," 4,22,674.286869512000000 ",,,,,,Pure-Play,,,,,,
US2772761019,," 3,92,951.007453840000000 ",,,,,,Pure-Play,,,,,,
US76169C1009,," 3,68,313.497552385000000 ",,,,,,Pure-Play,,,,,,
US85254J1025,," 3,57,027.290065368000000 ",,,,,,Pure-Play,,,,,,
US88146M1018,," 2,59,190.715574800000000 ",,,,,,Pure-Play,,,,,,
US6378701063,," 1,54,909.954382988000000 ",,,,,,Pure-Play,,,,,,
US08653C1062,," 16,300.986713702000000 ",,,,,,Pure-Play,,,,,,
US4562371066,," 1,27,218.219755400000000 ",,,,,,Pure-Play,,,,,,
US6097201072,," 1,13,883.167739403000000 ",,,,,,Pure-Play,,,,,,
US0231351067,," 7,78,69,615.949445600000000 ",,,,,,Marginal,,,,,,
US01609W1027,," 4,78,17,433.715692400000000 ",,,,,,Marginal,,,,,,
US9311421039,," 1,43,84,279.183856700000000 ",,,,,,Marginal,,,,,,
US9113121068,," 79,13,944.118135720000000 ",,,,,,Marginal,,,,,,
US31428X1063,," 47,11,547.769996200000000 ",,,,,,Marginal,,,,,,
US87612E1064,," 42,21,513.022667180000000 ",,,,,,Marginal,,,,,,
US47215P1066,," 35,84,182.939237770000000 ",,,,,,Marginal,,,,,,
US92936U1097,," 12,79,418.323989060000000 ",,,,,,Marginal,,,,,,
US94419L1017,," 8,97,477.507577346000000 ",,,,,,Marginal,,,,,,
US4456581077,," 8,49,035.381419086000000 ",,,,,,Marginal,,,,,,
US9837931008,," 7,12,951.206782005000000 ",,,,,,Marginal,,,,,,
US92763W1036,," 4,46,376.422451520000000 ",,,,,,Marginal,,,,,,
US0025353006,," 3,47,359.630515856000000 ",,,,,,Marginal,,,,,,
US7835491082,," 3,46,655.549538375000000 ",,,,,,Marginal,,,,,,
US69360J1079,," 2,89,450.103416320000000 ",,,,,,Marginal,,,,,,
US05550J1016,," 2,58,890.667133628000000 ",,,,,,Marginal,,,,,,
US19626G1085,," 2,30,779.083923752000000 ",,,,,,Marginal,,,,,,
US11282X1037,," 2,09,655.265104138000000 ",,,,,,Marginal,,,,,,
US5290431015,," 2,02,855.245460273000000 ",,,,,,Marginal,,,,,,
US63845R1077,," 1,93,521.685409720000000 ",,,,,,Marginal,,,,,,
US3498531017,," 1,91,064.097080300000000 ",,,,,,Marginal,,,,,,
US78709Y1055,," 1,75,276.665732435000000 ",,,,,,Marginal,,,,,,
US9507551086,," 1,58,659.612500480000000 ",,,,,,Marginal,,,,,,
US3793782018,," 1,53,013.810046571000000 ",,,,,,Marginal,,,,,,
US0893021032,," 1,48,340.050384372000000 ",,,,,,Marginal,,,,,,
US80689H1023,," 1,08,930.054722940000000 ",,,,,,Marginal,,,,,,
US03937C1053,," 81,001.008146672000000 ",,,,,,Marginal,,,,,,
US3765361080,," 61,307.740555488000000 ",,,,,,Marginal,,,,,,
US13462K1097,," 42,425.690133800000000 ",,,,,,Marginal,,,,,,
