ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US9078181081,113708.80070000002,,,,,,,,,,,,,,
US1264081035,54954.8536,,,,,,,,,,,,,,
US6558441084,44722.10087,,,,,,,,,,,,,,
US2910111044,39072.3216,,,,,,,,,,,,,,
IE00B8KQN827,30403.01,,,,,,,,,,,,,,
US34959J1088,23758.12782,,,,,,,,,,,,,,
US7739031091,19527.87804,,,,,,,,,,,,,,
US6703461052,17982.08224,,,,,,,,,,,,,,
US3119001044,16839.6278,,,,,,,,,,,,,,
US9291601097,13134.81456,,,,,,,,,,,,,,
US5732841060,10966.44744,,,,,,,,,,,,,,
US4851703029,10902.935369999997,,,,,,,,,,,,,,
US9113631090,9409.57006,,,,,,,,,,,,,,
US9604131022,9364.4625,,,,,,,,,,,,,,
US8962391004,8963.43643,,,,,,,,,,,,,,
US4698141078,8782.0695,,,,,,,,,,,,,,
US03965L1008,8722.5181,,,,,,,,,,,,,,
US8581191009,7993.00064,,,,,,,,,,,,,,
US7496851038,7301.0317,,,,,,,,,,,,,,
US40416M1053,7110.23104,,,,,,,,,,,,,,
IE00BLS09M33,6985.70424,,,,,,,,,,,,,,
US9297401088,6787.20375,,,,,,,,,,,,,,
US98919V1052,6474.72931,,,,,,,,,,,,,,
US92240G1013,5987.64767,,,,,,,,,,,,,,
US4435106079,5684.60437,,,,,,,,,,,,,,
US7595091023,5391.5696,,,,,,,,,,,,,,
US0138721065,5277.7802,,,,,,,,,,,,,,
US5339001068,5270.39388,,,,,,,,,,,,,,
US3434121022,5132.97532,,,,,,,,,,,,,,
US5526901096,4937.89494,,,,,,,,,,,,,,
US74762E1029,4852.61013,,,,,,,,,,,,,,
US00766T1007,4623.32864,,,,,,,,,,,,,,
US2243991054,4610.26995,,,,,,,,,,,,,,
US00508Y1029,4609.5206,,,,,,,,,,,,,,
US3715591059,4459.32067,,,,,,,,,,,,,,
US9129091081,3657.05947,,,,,,,,,,,,,,
US29084Q1004,3648.1528,,,,,,,,,,,,,,
US5763231090,3400.50638,,,,,,,,,,,,,,
US01741R1023,3323.08496,,,,,,,,,,,,,,
US75524B1044,3287.58937,,,,,,,,,,,,,,
US8965221091,3227.35594,,,,,,,,,,,,,,
US26969P1084,3021.99605,,,,,,,,,,,,,,
US88162G1031,2911.22845,,,,,,,,,,,,,,
US9202531011,2710.1976,,,,,,,,,,,,,,
US30214U1025,2643.24984,,,,,,,,,,,,,,
US1858991011,2598.71696,,,,,,,,,,,,,,
US76169B1026,2550.61294,,,,,,,,,,,,,,
US95082P1057,2414.85852,,,,,,,,,,,,,,
US8807791038,2086.447,,,,,,,,,,,,,,
US3873281071,1998.75014,,,,,,,,,,,,,,
US0352901054,1987.49152,,,,,,,,,,,,,,
US2017231034,1933.98516,,,,,,,,,,,,,,
US6031581068,1880.82174,,,,,,,,,,,,,,
US02208R1068,1820.45825,,,,,,,,,,,,,,
US2674751019,1719.77015,,,,,,,,,,,,,,
US86614U1007,1588.86488,,,,,,,,,,,,,,
US0565251081,1508.0534,,,,,,,,,,,,,,
US6247581084,1477.90775,,,,,,,,,,,,,,
US6247561029,1426.1791,,,,,,,,,,,,,,
US00790R1041,1407.28431,,,,,,,,,,,,,,
US67011P1003,1397.54669,,,,,,,,,,,,,,
US55345K1034,1364.81075,,,,,,,,,,,,,,
US3936571013,1296.9115,,,,,,,,,,,,,,
US7846351044,1249.25568,,,,,,,,,,,,,,
US3746891072,1136.3836,,,,,,,,,,,,,,
US74164F1030,1027.68435,,,,,,,,,,,,,,
US0476491081,1015.015,,,,,,,,,,,,,,
US42704L1044,941.28894,,,,,,,,,,,,,,
US4040301081,886.91788,,,,,,,,,,,,,,
US3830821043,870.21844,,,,,,,,,,,,,,
US9011091082,855.94486,,,,,,,,,,,,,,
US0015471081,826.72004,,,,,,,,,,,,,,
US0462241011,820.04406,,,,,,,,,,,,,,
US9295661071,818.78445,,,,,,,,,,,,,,
US1564311082,794.82224,,,,,,,,,,,,,,
US1264021064,787.67818,,,,,,,,,,,,,,
US1993331057,787.22712,,,,,,,,,,,,,,
US04010E1091,634.51825,,,,,,,,,,,,,,
US37953G1031,630.22961,,,,,,,,,,,,,,
US00770F1049,588.76108,,,,,,,,,,,,,,
US90333L2016,580.4582,,,,,,,,,,,,,,
US13100M5094,560.5215,,,,,,,,,,,,,,
US5768531056,541.16928,,,,,,,,,,,,,,
US5635714059,519.91146,,,,,,,,,,,,,,
US8873991033,518.52355,,,,,,,,,,,,,,
US55405W1045,505.72945,,,,,,,,,,,,,,
US8781551002,451.69646,,,,,,,,,,,,,,
US88830R1014,404.3676,,,,,,,,,,,,,,
US45774W1080,390.80359,,,,,,,,,,,,,,
US4208772016,384.498,,,,,,,,,,,,,,
US96924N1000,368.2908,,,,,,,,,,,,,,
US8592411016,355.9442,,,,,,,,,,,,,,
US7391281067,322.67832,,,,,,,,,,,,,,
US34960W1062,291.49524,,,,,,,,,,,,,,
