ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US9078181081,,113708.8007,,,,,,,,,,,,,3.0
US1264081035,,54954.8536,,,,,,,,,,,,,3.0
US6558441084,,44722.10087,,,,,,,,,,,,,3.0
US2910111044,,39072.3216,,,,,,,,,,,,,3.0
IE00B8KQN827,,30403.01,,,,,,,,,,,,,3.0
US34959J1088,,23758.12782,,,,,,,,,,,,,3.0
US7739031091,,19527.87804,,,,,,,,,,,,,3.0
US6703461052,,17982.08224,,,,,,,,,,,,,3.0
US3119001044,,16839.6278,,,,,,,,,,,,,3.0
US9291601097,,13134.81456,,,,,,,,,,,,,3.0
US5732841060,,10966.44744,,,,,,,,,,,,,3.0
US4851703029,,10902.93537,,,,,,,,,,,,,2.808363200372751
US9113631090,,9409.57006,,,,,,,,,,,,,2.4237042035986334
US9604131022,,9364.4625,,,,,,,,,,,,,2.4120854599058874
US8962391004,,8963.43643,,,,,,,,,,,,,2.308789712553575
US4698141078,,8782.0695,,,,,,,,,,,,,2.2620734664518074
US03965L1008,,8722.5181,,,,,,,,,,,,,2.246734298180587
US8581191009,,7993.00064,,,,,,,,,,,,,2.0588261872758262
US7496851038,,7301.0317,,,,,,,,,,,,,1.880589772865443
US40416M1053,,7110.23104,,,,,,,,,,,,,1.831443599475732
IE00BLS09M33,,6985.70424,,,,,,,,,,,,,1.7993681564218882
US9297401088,,6787.20375,,,,,,,,,,,,,1.748238671337913
US98919V1052,,6474.72931,,,,,,,,,,,,,1.6677519318890406
US92240G1013,,5987.64767,,,,,,,,,,,,,1.5422901083587404
US4435106079,,5684.60437,,,,,,,,,,,,,1.46423262906915
US7595091023,,5391.5696,,,,,,,,,,,,,1.3887531332663885
US0138721065,,5277.7802,,,,,,,,,,,,,1.359443415038416
US5339001068,,5270.39388,,,,,,,,,,,,,1.3575408568217313
US3434121022,,5132.97532,,,,,,,,,,,,,1.3221447718358383
US5526901096,,4937.89494,,,,,,,,,,,,,1.2718962340141629
US74762E1029,,4852.61013,,,,,,,,,,,,,1.2499286891442003
US00766T1007,,4623.32864,,,,,,,,,,,,,1.1908706761237453
US2243991054,,4610.26995,,,,,,,,,,,,,1.187507036590305
US00508Y1029,,4609.5206,,,,,,,,,,,,,1.1873140200408365
US3715591059,,4459.32067,,,,,,,,,,,,,1.1486257272283145
US9129091081,,3657.05947,,,,,,,,,,,,,0.9419803831344435
US29084Q1004,,3648.1528,,,,,,,,,,,,,0.9396862152413926
US5763231090,,3400.50638,,,,,,,,,,,,,0.8758977886360486
US01741R1023,,3323.08496,,,,,,,,,,,,,0.8559556850217444
US75524B1044,,3287.58937,,,,,,,,,,,,,0.8468127794326856
US8965221091,,3227.35594,,,,,,,,,,,,,0.8312979348056438
US26969P1084,,3021.99605,,,,,,,,,,,,,0.7784016148388682
US88162G1031,,2911.22845,,,,,,,,,,,,,0.7498702477274432
US9202531011,,2710.1976,,,,,,,,,,,,,0.6980889959708667
US30214U1025,,2643.24984,,,,,,,,,,,,,0.6808446833934743
US1858991011,,2598.71696,,,,,,,,,,,,,0.6693739649901774
US76169B1026,,2550.61294,,,,,,,,,,,,,0.6569833972234721
US95082P1057,,2414.85852,,,,,,,,,,,,,0.6220159591457438
US8807791038,,2086.447,,,,,,,,,,,,,0.5374241683988012
US3873281071,,1998.75014,,,,,,,,,,,,,0.5148353309844378
US0352901054,,1987.49152,,,,,,,,,,,,,0.5119353510228964
US2017231034,,1933.98516,,,,,,,,,,,,,0.49815325589800374
US6031581068,,1880.82174,,,,,,,,,,,,,0.48445949478989225
US02208R1068,,1820.45825,,,,,,,,,,,,,0.4689111494856983
US2674751019,,1719.77015,,,,,,,,,,,,,0.44297604621676545
US86614U1007,,1588.86488,,,,,,,,,,,,,0.40925764557262234
US0565251081,,1508.0534,,,,,,,,,,,,,0.38844233493397373
US6247581084,,1477.90775,,,,,,,,,,,,,0.38067745958267496
US6247561029,,1426.1791,,,,,,,,,,,,,0.3673532645714225
US00790R1041,,1407.28431,,,,,,,,,,,,,0.3624863703714643
US67011P1003,,1397.54669,,,,,,,,,,,,,0.3599781675124013
US55345K1034,,1364.81075,,,,,,,,,,,,,0.35154608880095883
US3936571013,,1296.9115,,,,,,,,,,,,,0.334056692728999
US7846351044,,1249.25568,,,,,,,,,,,,,0.3217815717061007
US3746891072,,1136.3836,,,,,,,,,,,,,0.3
US74164F1030,,1027.68435,,,,,,,,,,,,,0.3
US0476491081,,1015.015,,,,,,,,,,,,,0.3
US42704L1044,,941.28894,,,,,,,,,,,,,0.3
US4040301081,,886.91788,,,,,,,,,,,,,0.3
US3830821043,,870.21844,,,,,,,,,,,,,0.3
US9011091082,,855.94486,,,,,,,,,,,,,0.3
US0015471081,,826.72004,,,,,,,,,,,,,0.3
