ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US6668071029,,4531165.64074006,,,,,,Pure-Play,,,,,,,4.5
FR0000073272,,4372565.70477659,,,,,,Pure-Play,,,,,,,4.5
US49338L1035,,1582162.92430856,,,,,,Pure-Play,,,,,,,4.5
US4282911084,,564848.5366832879,,,,,,Pure-Play,,,,,,,4.5
US9807451037,,527816.1070728,,,,,,Pure-Play,,,,,,,4.5
TH0201A10Y01,,454968.556630367,,,,,,Pure-Play,,,,,,,4.5
US1271903049,,441568.725108093,,,,,,Pure-Play,,,,,,,4.5
US92552V1008,,430290.26490848,,,,,,Pure-Play,,,,,,,4.5
FR0010221234,,340790.903327072,,,,,,Pure-Play,,,,,,,4.5
US0078001056,,255428.25843204994,,,,,,Pure-Play,,,,,,,4.5
US46269C1027,,252864.95811192004,,,,,,Pure-Play,,,,,,,4.5
KR7047810007,,227976.48344708997,,,,,,Pure-Play,,,,,,,4.5
US2787681061,,168253.28579272196,,,,,,Pure-Play,,,,,,,3.989799867957256
CNE1000001Y8,,157432.493040075,,,,,,Pure-Play,,,,,,,3.733205785456603
US4835481031,,157402.62518306,,,,,,Pure-Play,,,,,,,3.732497527240943
US5438811060,,78316.00876197,,,,,,Pure-Play,,,,,,,1.85711203169242
US0464331083,,72526.331179896,,,,,,Pure-Play,,,,,,,1.7198210733397172
US68555P1003,,49617.359475684,,,,,,Pure-Play,,,,,,,1.1765793063224381
US2058262096,,49384.474488252,,,,,,Pure-Play,,,,,,,1.1710568911866646
US38046C1099,,26142.875609696996,,,,,,Pure-Play,,,,,,,0.6199275168039773
US0970231058,,20399481.451231003,,,,,,Quasi-Play,,,,,,,1.0
US8485741099,,936496.86553932,,,,,,Quasi-Play,,,,,,,1.0
FR0000121329,,1181089.2142333102,,,,,,Quasi-Play,,,,,,,1.0
US4138751056,,1871123.02200296,,,,,,Quasi-Play,,,,,,,1.0
US7551115071,,5068874.197644371,,,,,,Quasi-Play,,,,,,,1.0
US5398301094,,8306523.169992001,,,,,,Quasi-Play,,,,,,,1.0
US4385161066,,11307581.097828697,,,,,,Quasi-Play,,,,,,,1.0
US3695501086,,4755754.4323527,,,,,,Quasi-Play,,,,,,,1.0
JP3906000009,,520595.41638019,,,,,,Quasi-Play,,,,,,,1.0
GB0005758098,,514329.13692490297,,,,,,Quasi-Play,,,,,,,1.0
IT0003856405,,457177.810421998,,,,,,Quasi-Play,,,,,,,1.0
US05605H1005,,454043.594247696,,,,,,Quasi-Play,,,,,,,1.0
SG1F60858221,,421604.411850584,,,,,,Quasi-Play,,,,,,,1.0
US4228061093,,372734.54445849505,,,,,,Quasi-Play,,,,,,,1.0
FR0000121725,,346703.36397201504,,,,,,Quasi-Play,,,,,,,1.0
GB00B07KD360,,342918.860402158,,,,,,Quasi-Play,,,,,,,1.0
BREMBRACNOR4,,333245.11421435204,,,,,,Quasi-Play,,,,,,,1.0
JP3134800006,,318548.66502002,,,,,,Quasi-Play,,,,,,,1.0
GB00B09LSH68,,296795.231940839,,,,,,Quasi-Play,,,,,,,1.0
US6153942023,,266765.106410775,,,,,,Quasi-Play,,,,,,,1.0
US0123481089,,199924.77646099997,,,,,,Quasi-Play,,,,,,,1.0
US2963151046,,172991.16656330402,,,,,,Quasi-Play,,,,,,,1.0
NO0003043309,,170438.298975931,,,,,,Quasi-Play,,,,,,,1.0
US50077B2079,,137974.69362161998,,,,,,Quasi-Play,,,,,,,1.0
US8968181011,,94340.45850692401,,,,,,Quasi-Play,,,,,,,1.0
US8542311076,,87095.09719211199,,,,,,Quasi-Play,,,,,,,1.0
US17273K1097,,60027.894021969005,,,,,,Quasi-Play,,,,,,,1.0
JP3396350005,,53649.519630785,,,,,,Quasi-Play,,,,,,,1.0
