ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US73688F1021,76.612416000000000,,,,0.21890864320232600000000,,,BDC,,,91.20351236097560000000%,,,
US58503F1066,106.769456000000000,,,,0.32285404346046500000000,,,BDC,,,72.95918294387760000000%,,,
US3665541039,90.197360000000000,,,,0.21109518252170500000000,,,BDC,,,56.22775843416370000000%,,,
US46090R1041,96.056472000000000,,,,0.21012269868837200000000,,,BDC,,,43.99432611347520000000%,,,
US8724381061,204.125408000000000,,,,0.53236959945736400000000,,,BDC,,,45.40059462908010000000%,,,
US14054R1068,138.301008000000000,,,,1.07886326736434000000000,,,BDC,,,39.56140347953220000000%,,,
US6103351010,226.730208000000000,,,,1.14492145542636000000000,,,BDC,,,37.87195606853020000000%,,,
US67103B1008,159.521408000000000,,,,0.47041573888759700000000,,,BDC,,,37.30092273260690000000%,,,
US01374T1025,116.137608000000000,,,,0.37382079877829400000000,,,BDC,,,33.81374802660750000000%,,,
US44045A1025,183.890080000000000,,,,0.86285969965116300000000,,,BDC,,,28.52614925515060000000%,,,
US67402D1046,238.975488000000000,,,,0.31604990131782900000000,,,BDC,,,23.36621460049320000000%,,,
US69181V1070,248.508368000000000,,,,1.02278007356589000000000,,,BDC,,,50.50000062692310000000%,,,
US80349A2087,244.519104000000000,,,,1.93602485759690000000000,,,BDC,,,24.15304890793140000000%,,,
US06759L1035,509.609280000000000,,,,1.23963060767442000000000,,,BDC,,,45.48947755609280000000%,,,
US0925331086,337.986016000000000,,,,1.87254122031008000000000,,,BDC,,,43.78818867617110000000%,,,
US3026351078,3054.436096000000000,,,,10.94789264875970000000000,,,BDC,,,41.68333266000000000000%,,,
US74348T1025,2366.229504000000000,,,,9.98672040658915000000000,,,BDC,,,37.16304379192550000000%,,,
US7080621045,396.907008000000000,,,,1.83460146926357000000000,,,BDC,,,38.17567699324320000000%,,,
US03761U5020,1103.328384000000000,,,,5.56351470670543000000000,,,BDC,,,32.56936125452350000000%,,,
US96524V1061,294.219168000000000,,,,1.07425782108527000000000,,,BDC,,,31.11033422486030000000%,,,
US3165001070,376.976672000000000,,,,1.42781938589147000000000,,,BDC,,,31.14860353666450000000%,,,
