ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US73688F1021,76.612416,,,,0.218908643,,,,,,91.20%,,,
US58503F1066,106.769456,,,,0.322854043,,,,,,72.96%,,,
US3665541039,90.19736,,,,0.211095183,,,,,,56.23%,,,
US46090R1041,96.056472,,,,0.210122699,,,,,,43.99%,,,
US8724381061,204.125408,,,,0.532369599,,,,,,45.40%,,,
US14054R1068,138.301008,,,,1.078863267,,,,,,39.56%,,,
US6103351010,226.730208,,,,1.144921455,,,,,,37.87%,,,
US67103B1008,159.521408,,,,0.470415739,,,,,,37.30%,,,
US01374T1025,116.137608,,,,0.373820799,,,,,,33.81%,,,
US44045A1025,183.89008,,,,0.8628597,,,,,,28.53%,,,
US67402D1046,238.975488,,,,0.316049901,,,,,,23.37%,,,
US69181V1070,248.508368,,,,1.022780074,,,,,,50.50%,,,
US80349A2087,244.519104,,,,1.936024858,,,,,,24.15%,,,
US06759L1035,509.60928,,,,1.239630608,,,,,,45.49%,,,
US0925331086,337.986016,,,,1.87254122,,,,,,43.79%,,,
US3026351078,3054.436096,,,,10.94789265,,,,,,41.68%,,,
US74348T1025,2366.229504,,,,9.986720407,,,,,,37.16%,,,
US7080621045,396.907008,,,,1.834601469,,,,,,38.18%,,,
US03761U5020,1103.328384,,,,5.563514707,,,,,,32.57%,,,
US96524V1061,294.219168,,,,1.074257821,,,,,,31.11%,,,
US3165001070,376.976672,,,,1.427819386,,,,,,31.15%,,,
US6475511001,1305.409664,,,,7.643903,,,,,,30.24%,,,
US09259E1082,828.603648,,,,3.54781842,,,,,,30.64%,,,
US4270965084,1487.884928,,,,6.757658362,,,,,,26.93%,,,
US8722801029,789.010176,,,,4.850176421,,,,,,30.67%,,,
US70806A1060,460.999968,,,,1.632446216,,,,,,28.76%,,,
US89677Y1001,372.923616,,,,3.441663312,,,,,,29.51%,,,
US8585681088,268.275552,,,,1.373012071,,,,,,28.74%,,,
US38147U1079,821.06624,,,,2.421208369,,,,,,26.55%,,,
US04010L1035,7992.792064,,,,29.72355515,,,,,,25.12%,,,
US3765351008,317.418368,,,,1.18369457,,,,,,24.09%,,,
US87265K1025,1451.270912,,,,4.238688012,,,,,,24.10%,,,
US38173M1027,2390.225408,,,,5.189554649,,,,,,23.78%,,,
US83416M1053,285.925792,,,,0.607577291,,,,,,24.40%,,,
US83413U1007,868.459968,,,,1.749615958,,,,,,23.70%,,,
US1405011073,378.44592,,,,1.546851561,,,,,,23.07%,,,
US67401P1084,737.224192,,,,1.76012006,,,,,,21.51%,,,
US3765461070,460.17088,,,,1.503944304,,,,,,19.53%,,,
US56035L1044,2708.87296,,,,10.09200202,,,,,,20.07%,,,
US05684B1070,976.69792,,,,2.973457383,,,,,,8.67%,,,
US67073D1028,987.23352,,,,4.951600125,,,,,,31.32%,,,
US48249T1060,310.9986,,,,1.400693837,,,,,,30.35%,,,
US09257R1014,629.31576,,,,2.238834554,,,,,,28.23%,,,
US09257D1028,197.13504,,,,0.977375599,,,,,,27.49%,,,
US67074X1072,146.69488,,,,0.521965353,,,,,,26.00%,,,
US6706EN1001,384.73409,,,,1.365440367,,,,,,24.65%,,,
US67072T1088,539.58264,,,,1.765884627,,,,,,24.11%,,,
US09256U1051,250.71698,,,,0.823265911,,,,,,22.88%,,,
US67067Y1047,217.76604,,,,0.722286441,,,,,,23.98%,,,
US09255R2022,541.85908,,,,1.595086903,,,,,,22.82%,,,
US46132R1041,823.92528,,,,2.37094655,,,,,,22.87%,,,
US27828Q1058,476.81312,,,,1.528390526,,,,,,21.48%,,,
US72369J1025,262.2228,,,,0.810609667,,,,,,21.16%,,,
US06759X1072,339.2232,,,,0.276826367,,,,,,21.35%,,,
US2782791048,530.58984,,,,1.409231152,,,,,,19.92%,,,
US09249W1018,575.968,,,,1.465810485,,,,,,19.97%,,,
US33733U1088,321.69885,,,,0.949868522,,,,,,19.37%,,,
US92913A1007,846.00348,,,,1.880328503,,,,,,18.72%,,,
US46131H1077,754.35084,,,,1.929184882,,,,,,18.82%,,,
US27826S1033,236.66875,,,,0.607052048,,,,,,18.42%,,,
US0919411043,289.5984,,,,0.832544045,,,,,,18.53%,,,
US33740K1016,326.42952,,,,0.822611823,,,,,,14.14%,,,
US05588N1081,132.70407,,,,0.260941123,,,,,,14.61%,,,
