ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0970231058,,20017880.124824500000000,,,,,,,United States,,,,,
US5398301094,,10633153.192120600000000,,,,,,,United States,,,,,
NL0000235190,,7607729.238918530000000,,,,,,,Netherlands,,,,,
US3696041033,,6944299.935841000000000,,,,,,,United States,,,,,
US6668071029,,6090551.917935620000000,,,,,,,United States,,,,,
US3695501086,,4994134.821595830000000,,,,,,,United States,,,,,
US7551115071,,5019583.158961000000000,,,,,,,United States,,,,,
US5024311095,,4601528.858582100000000,,,,,,,United States,,,,,
FR0000073272,,4457753.395169740000000,,,,,,,France,,,,,
US6200763075,,2887959.225390030000000,,,,,,,United States,,,,,
US8936411003,,2632840.101373090000000,,,,,,,United States,,,,,
GB0002634946,,2119466.001932830000000,,,,,,,United Kingdom,,,,,
GB00B63H8491,,1754958.456740480000000,,,,,,,United Kingdom,,,,,
DE000A0D9PT0,,1416030.540857800000000,,,,,,,Germany,,,,,
FR0000121329,,1167582.779304890000000,,,,,,,France,,,,,
US8793601050,,1084686.559328720000000,,,,,,,United States,,,,,
US4464131063,,829948.297154700000000,,,,,,,United States,,,,,
US8485741099,,772792.594053097000000,,,,,,,United States,,,,,
US4282911084,,677092.163992388000000,,,,,,,United States,,,,,
CA1247651088,,668667.540456383000000,,,,,,,Canada,,,,,
US3024451011,,632259.710762209000000,,,,,,,United States,,,,,
GB0005758098,,580387.504813310000000,,,,,,,United Kingdom,,,,,
US4228061093,,576739.122493921000000,,,,,,,United States,,,,,
US05605H1005,,531626.377401660000000,,,,,,,United States,,,,,
US2315611010,,511675.018108374000000,,,,,,,United States,,,,,
GB00B07KD360,,473073.152310304000000,,,,,,,United Kingdom,,,,,
IT0003856405,,446898.880388288000000,,,,,,,Italy,,,,,
IL0010811243,,386258.868064616000000,,,,,,,Israel,,,,,
US0078001056,,380867.065422474000000,,,,,,,United States,,,,,
US05464C1018,,344355.533609653000000,,,,,,,United States,,,,,
SE0000112385,,328026.103675368000000,,,,,,,Sweden,,,,,
FR0000121725,,323768.291382002000000,,,,,,,France,,,,,
US6153942023,,256858.430246143000000,,,,,,,United States,,,,,
CA0977512007,,249078.214627314000000,,,,,,,Canada,,,,,
US2296691064,,211751.198392412000000,,,,,,,United States,,,,,
US50077B2079,,199128.511806846000000,,,,,,,United States,,,,,
GB00B0WMWD03,,197068.503557406000000,,,,,,,United Kingdom,,,,,
GB0009123323,,186203.472277558000000,,,,,,,United Kingdom,,,,,
US2963151046,,186620.763830146000000,,,,,,,United States,,,,,
US4835481031,,154210.474142170000000,,,,,,,United States,,,,,
US0003611052,,135443.993856826000000,,,,,,,United States,,,,,
NO0003043309,,82977.780166916300000,,,,,,,Norway,,,,,
US5645631046,,120782.035011204000000,,,,,,,United States,,,,,
CNE1000001Y8,,122119.141263138000000,,,,,,,China,,,,,
US0080731088,,108759.964388822000000,,,,,,,United States,,,,,
US8968181011,,104552.583969485000000,,,,,,,United States,,,,,
GB0007958233,,102624.684958172000000,,,,,,,United Kingdom,,,,,
US0464331083,,66567.875052341400000,,,,,,,United States,,,,,
JP3705600009,,49445.274059794300000,,,,,,,Japan,,,,,
US2641471097,,43447.051213357600000,,,,,,,United States,,,,,
