ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0231351067,,893818.89936000000000000,,,,,,,,UNITED STATES,,,,
US02079K3059,,342956.02824000000000000,,,,,,,,UNITED STATES,,,,
US30303M1027,,434547.95241000000000000,,,,,,,,UNITED STATES,,,,
US01609W1027,,404380.70400000000000000,,,,,,,,CHINA,,,,
KYG875721634,,395416.45083353400000000,,,,,,,,HONG KONG,,,,
US64110L1061,,153993.25620000000000000,,,,,,,,UNITED STATES,,,,
US70450Y1038,,129125.13670000000000000,,,,,,,,UNITED STATES,,,,
US09857L1089,,74327.61663000000000000,,,,,,,,UNITED STATES,,,,
US0567521085,,31466.65602000000000000,,,,,,,,CHINA,,,,
US45866F1049,,45814.03125000000000000,,,,,,,,UNITED STATES,,,,
US47215P1066,,32723.54670000000000000,,,,,,,,CHINA,,,,
US00507V1098,,32317.83533000000000000,,,,,,,,UNITED STATES,,,,
US64110W1027,,33291.54052240000000000,,,,,,,,CHINA,,,,
US88034P1093,,4169.65752000000000000,,,,,,,,CHINA,,,,
US22943F1003,,20180.46416000000000000,,,,,,,,CHINA,,,,
DE0007472060,,21121.00280661000000000,,,,,,,,GERMANY,,,,
JP3967200001,,14237.22738806600000000,,,,,,,,JAPAN,,,,
US46267X1081,,5946.34567230000000000,,,,,,,,CHINA,,,,
US9485961018,,5594.58984000000000000,,,,,,,,CHINA,,,,
JP3933800009,,14319.22778314560000000,,,,,,,,JAPAN,,,,
US05278C1071,,10612.03140000000000000,,,,,,,,CHINA,,,,
JP3758190007,,13617.29197227100000000,,,,,,,,JAPAN,,,,
GB00B3MBS747,,10671.46612965850000000,,,,,,,,UNITED KINGDOM,,,,
JP3435750009,,13454.26024972390000000,,,,,,,,JAPAN,,,,
DE000ZAL1111,,10144.52112832800000000,,,,,,,,GERMANY,,,,
FR0011981968,,10202.80690905000000000,,,,,,,,FRANCE,,,,
US81141R1005,,8956.50728000000000000,,,,,,,,CHINA,,,,
US31680Q1040,,7042.22791500000000000,,,,,,,,CHINA,,,,
FR0000054470,,8712.25224318456000000,,,,,,,,FRANCE,,,,
DE000A2E4K43,,8373.14112570750000000,,,,,,,,GERMANY,,,,
JP3966750006,,7315.60688262140000000,,,,,,,,JAPAN,,,,
US60879B1070,,4453.32888000000000000,,,,,,,,CHINA,,,,
CNE1000004J3,,2022.14300767560000000,,,,,,,,CHINA,,,,
GB00BVYVFW23,,6842.02020523420000000,,,,,,,,UNITED KINGDOM,,,,
US98426T1060,,4063.81964800000000000,,,,,,,,CHINA,,,,
GB00BGDT3G23,,6352.43543025104000000,,,,,,,,UNITED KINGDOM,,,,
GB00BKX5CN86,,5330.62352453834000000,,,,,,,,UNITED KINGDOM,,,,
US3168271043,,4243.80558000000000000,,,,,,,,CHINA,,,,
JP3922950005,,5114.49158266720000000,,,,,,,,JAPAN,,,,
DE000A12DM80,,5398.83000000000000000,,,,,,,,GERMANY,,,,
JP3399310006,,5180.34415077740000000,,,,,,,,JAPAN,,,,
US92763W1036,,4372.16250000000000000,,,,,,,,CHINA,,,,
JP3311400000,,5236.57050940283000000,,,,,,,,JAPAN,,,,
KYG8918W1069,,3740.58598506500000000,,,,,,,,HONG KONG,,,,
US44852D1081,,1290.67198000000000000,,,,,,,,CHINA,,,,
JP3921290007,,3877.85203633244000000,,,,,,,,JAPAN,,,,
GB0030927254,,3647.83023491040000000,,,,,,,,UNITED KINGDOM,,,,
JP3206000006,,4423.79486466037000000,,,,,,,,JAPAN,,,,
AU000000APT1,,4125.73131211409000000,,,,,,,,AUSTRALIA,,,,
DE000A12UKK6,,3761.58481123440000000,,,,,,,,GERMANY,,,,
