ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,cap,weight
ES0144580Y14,66637.5588317388,,,,,174.51492912134,,Active Users,,,,,,,0.0,0.746268656716418
IT0005239360,23612.908471915005,,,,,225.49303558923003,,Active Users,,,,,,,0.0,0.746268656716418
DE0006231004,21130.6981438223,,,,,150.82854053022,,Active Users,,,,,,,0.0,0.746268656716418
CNE1000001Z5,138716.336928265,,,,,113.61092146937,,Active Users,,,,,,,0.0,0.746268656716418
INE467B01029,114034.53519130898,,,,,86.62483601545999,,Active Enablers,,,,,,,0.0,1.5151515151515151
JP3732000009,67609.19333087839,,,,,115.49375999286,,Active Enablers,,,,,,,0.0,1.5151515151515151
CNE100000205,53900.110196117195,,,,,15.92767097051,,Active Users,,,,,,,0.0,0.746268656716418
INE237A01028,40174.76078754,,,,,57.780783881409995,,Active Users,,,,,,,0.0,0.746268656716418
FI4000297767,24880.037976856198,,,,,61.27908057199,,Active Enablers,,,,,,,0.0,1.5151515151515151
INE238A01034,24844.295096937003,,,,,109.41390377871998,,Active Users,,,,,,,0.0,0.746268656716418
CH0024608827,21474.5468774805,,,,,52.55824864089,,Active Users,,,,,,,0.0,0.746268656716418
CH0002497458,18261.3141823818,,,,,57.929860005,,Active Enablers,,,,,,,0.0,1.5151515151515151
US8245961003,15714.97472,,,,,3.21479101563,,Active Users,,,,,,,0.0,0.746268656716418
US0453271035,9376.355328,,,,,50.144943281249994,,Active Enablers,,,,,,,0.0,1.5151515151515151
US5949181045,1039408.300032,,,,,3270.3877500000003,,Active Enablers,,,,,,,0.0,1.5151515151515151
US0231351067,886705.553408,,,,,6913.333359375,,Active Enablers,,,,,,,0.0,1.5151515151515151
US01609W1027,454583.484416,,,,,3430.100296875001,,Active Enablers,,,,,,,0.0,1.5151515151515151
US92826C8394,353593.131008,,,,,1209.0684328125,,Active Users,,,,,,,0.0,0.746268656716418
US46625H1005,344433.098752,,,,,1278.4972875,,Active Users,,,,,,,0.0,0.746268656716418
US9311421039,322555.052032,,,,,645.1669281249999,,Active Users,,,,,,,0.0,0.746268656716418
US57636Q1040,278354.526208,,,,,938.8136249999999,,Active Users,,,,,,,0.0,0.746268656716418
US00206R1023,255525.797888,,,,,961.8020624999999,,Active Enablers,,,,,,,0.0,1.5151515151515151
KR7005930003,217063.226544507,,,,,383.52392184023,,Active Users,,,,,,,0.0,0.746268656716418
US8740391003,215429.595136,,,,,323.7831625,,Active Enablers,,,,,,,0.0,1.5151515151515151
US4581401001,205994.999808,,,,,1067.8891890625,,Active Enablers,,,,,,,0.0,1.5151515151515151
US17275R1023,201023.225856,,,,,1185.7449703125,,Active Users,,,,,,,0.0,0.746268656716418
US68389X1054,178766.544896,,,,,802.943203125,,Active Enablers,,,,,,,0.0,1.5151515151515151
DE0007164600,146308.03728505102,,,,,307.81784599551,,Active Enablers,,,,,,,0.0,1.5151515151515151
GB0005405286,145868.072774547,,,,,140.1263462675,,Active Users,,,,,,,0.0,0.746268656716418
US1729674242,143404.908544,,,,,916.2663140625001,,Active Users,,,,,,,0.0,0.746268656716418
IE00B4BNMY34,130029.191168,,,,,333.1899484375,,Active Enablers,,,,,,,0.0,1.5151515151515151
US79466L3024,125939.695616,,,,,1072.69420625,,Active Users,,,,,,,0.0,0.746268656716418
US70450Y1038,124915.859456,,,,,727.1056124999999,,Active Enablers,,,,,,,0.0,1.5151515151515151
US4385161066,118740.410368,,,,,393.66871406249993,,Active Enablers,,,,,,,0.0,1.5151515151515151
US4592001014,118494.65856,,,,,519.867228125,,Active Enablers,,,,,,,0.0,1.5151515151515151
AU000000BHP4,117369.41722563599,,,,,207.03997877680996,,Active Users,,,,,,,0.0,0.746268656716418
HK0000069689,117145.34441813699,,,,,229.55347444333,,Active Users,,,,,,,0.0,0.746268656716418
US8825081040,114667.200512,,,,,576.55579375,,Active Enablers,,,,,,,0.0,1.5151515151515151
CA7800871021,107845.596839244,,,,,278.41806789453,,Active Users,,,,,,,0.0,0.746268656716418
NL0000235190,106183.81237625402,,,,,155.38537303944,,Active Users,,,,,,,0.0,0.746268656716418
US40415F1012,100712.28416,,,,,94.17317312500002,,Active Users,,,,,,,0.0,0.746268656716418
US16939P1066,100536.44288,,,,,4.6535903125,,Active Users,,,,,,,0.0,0.746268656716418
US67066G1040,97172.037632,,,,,1655.3025624999998,,Active Enablers,,,,,,,0.0,1.5151515151515151
DE0008404005,93586.76012441888,,,,,232.73763313075,,Active Users,,,,,,,0.0,0.746268656716418
US12572Q1058,76482.060288,,,,,267.870578125,,Active Users,,,,,,,0.0,0.746268656716418
US38141G1040,74615.97184,,,,,469.39038906249993,,Active Users,,,,,,,0.0,0.746268656716418
US8356993076,70871.506944,,,,,76.6017321875,,Active Users,,,,,,,0.0,0.746268656716418
AU000000WBC1,65885.1494257305,,,,,160.16857919918002,,Active Users,,,,,,,0.0,0.746268656716418
ES0113900J37,64579.270504826214,,,,,219.30634776825002,,Active Users,,,,,,,0.0,0.746268656716418
FR0000120628,57666.50071443701,,,,,148.56945922336,,Active Users,,,,,,,0.0,0.746268656716418
FR0000131104,56301.766211060996,,,,,213.18539176163998,,Active Users,,,,,,,0.0,0.746268656716418
JP3970300004,54446.8905447407,,,,,122.48103821121,,Active Users,,,,,,,0.0,0.746268656716418
DE0007100000,49090.771139077595,,,,,221.69412253881998,,Active Users,,,,,,,0.0,0.746268656716418
US4567881085,48324.640768,,,,,113.43954515624998,,Active Enablers,,,,,,,0.0,1.5151515151515151
US5951121038,48070.63552,,,,,1169.6530625,,Active Enablers,,,,,,,0.0,1.5151515151515151
US0268747849,47244.71808,,,,,221.84620625000002,,Active Users,,,,,,,0.0,0.746268656716418
US47215P1066,45494.710272,,,,,372.37439531250004,,Active Enablers,,,,,,,0.0,1.5151515151515151
CH0244767585,39970.197040919906,,,,,210.65530116695004,,Active Users,,,,,,,0.0,0.746268656716418
US0640581007,39902.88384,,,,,233.5055671875,,Active Users,,,,,,,0.0,0.746268656716418
US45104G1040,37727.240192,,,,,73.965048125,,Active Users,,,,,,,0.0,0.746268656716418
US4568371037,37055.389696,,,,,37.249257031249996,,Active Users,,,,,,,0.0,0.746268656716418
HK2388011192,35792.1754826655,,,,,43.078290723790005,,Active Users,,,,,,,0.0,0.746268656716418
US0079031078,33847.334912,,,,,2199.666159375,,Active Enablers,,,,,,,0.0,1.5151515151515151
US0567521085,33846.480896,,,,,499.66881875,,Active Enablers,,,,,,,0.0,1.5151515151515151
US1924461023,33811.259392,,,,,295.54089218750005,,Active Enablers,,,,,,,0.0,1.5151515151515151
ES0113211835,32290.235019872103,,,,,140.97309568478002,,Active Users,,,,,,,0.0,0.746268656716418
GB0031348658,29314.200944033204,,,,,68.39130802566001,,Active Users,,,,,,,0.0,0.746268656716418
US6549022043,29137.954816,,,,,111.17965359374999,,Active Users,,,,,,,0.0,0.746268656716418
GB00B0SWJX34,29127.721289062505,,,,,43.198656733449994,,Active Enablers,,,,,,,0.0,1.5151515151515151
CH0012138530,28849.7760414033,,,,,137.67488348321,,Active Users,,,,,,,0.0,0.746268656716418
SE0000108656,27767.8176978325,,,,,70.18497197769999,,Active Enablers,,,,,,,0.0,1.5151515151515151
ES0130670112,27541.4103185735,,,,,62.80644330629,,Active Users,,,,,,,0.0,0.746268656716418
DE0005810055,27188.9424314841,,,,,73.78428498947001,,Active Users,,,,,,,0.0,0.746268656716418
US9839191015,26639.695872,,,,,395.5032453125,,Active Enablers,,,,,,,0.0,1.5151515151515151
CH0008742519,25779.273683582996,,,,,66.7457376274,,Active Enablers,,,,,,,0.0,1.5151515151515151
IE00BDB6Q211,25095.872512,,,,,105.76137875,,Active Users,,,,,,,0.0,0.746268656716418
BE0003565737,24097.686423564195,,,,,48.0052135053,,Active Users,,,,,,,0.0,0.746268656716418
US87236Y1082,24091.154432,,,,,130.24042203125,,Active Users,,,,,,,0.0,0.746268656716418
US97651M1099,22934.366208,,,,,7.5256443125,,Active Users,,,,,,,0.0,0.746268656716418
CA12532H1047,20948.3924559885,,,,,56.16055177725,,Active Users,,,,,,,0.0,0.746268656716418
FR0000130809,20892.456423665797,,,,,134.97118940815,,Active Users,,,,,,,0.0,0.746268656716418
AT0000746409,20733.8860861575,,,,,9.21445424174,,Active Users,,,,,,,0.0,0.746268656716418
FR0000125338,19541.462047532,,,,,62.54156786867,,Active Users,,,,,,,0.0,0.746268656716418
DE0007472060,18998.0829530011,,,,,201.54010846922,,Active Enablers,,,,,,,0.0,1.5151515151515151
US6658591044,18695.49568,,,,,111.92630890625,,Active Users,,,,,,,0.0,0.746268656716418
JP3165700000,17933.7368243983,,,,,39.57445906878,,Active Users,,,,,,,0.0,0.746268656716418
US42824C1099,17141.102592,,,,,139.69418578124998,,Active Enablers,,,,,,,0.0,1.5151515151515151
JP3818000006,16724.921951106102,,,,,60.246023662169996,,Active Enablers,,,,,,,0.0,1.5151515151515151
US6311031081,16061.996032,,,,,69.74017046875001,,Active Users,,,,,,,0.0,0.746268656716418
CNE1000004Y2,15552.255768151499,,,,,33.75960156955,,Active Users,,,,,,,0.0,0.746268656716418
AT0000652011,14494.0258507451,,,,,26.412047852349996,,Active Users,,,,,,,0.0,0.746268656716418
KR7006400006,14381.0000614847,,,,,45.44059484137,,Active Users,,,,,,,0.0,0.746268656716418
FR0000120172,13822.036393574703,,,,,48.717442005040006,,Active Users,,,,,,,0.0,0.746268656716418
FR0011981968,12511.029922476202,,,,,29.79185376538,,Active Users,,,,,,,0.0,0.746268656716418
FR0000120685,12207.0080247017,,,,,32.72237536492,,Active Users,,,,,,,0.0,0.746268656716418
RU0009046510,11695.748143392302,,,,,12.003768779500001,,Active Users,,,,,,,0.0,0.746268656716418
KR7034730002,11247.2979311499,,,,,18.6421272391,,Active Users,,,,,,,0.0,0.746268656716418
AU000000ASX7,11139.174440855102,,,,,28.91589618538,,Active Users,,,,,,,0.0,0.746268656716418
TH0001010006,10682.8998784456,,,,,36.04717093286,,Active Users,,,,,,,0.0,0.746268656716418
FR0000051732,7993.616067064031,,,,,38.018930490689996,,Active Enablers,,,,,,,0.0,1.5151515151515151
