ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US0231351067,,801918.93938,,1400,,,,,,,,,,,1.0,1.0
US02079K3059,,324207.14211,,1400,,,,,,,,,,,1.0,1.0
DE0007236101,,95415.75550000001,,1200,,,,,,,,,,,1.0,1.0
US30303M1027,,346675.8438,,1200,,,,,,,,,,,1.0,1.0
US01609W1027,,394089.73351999995,,1200,,,,,,,,,,,1.0,1.0
US79466L3024,,114558.75,,1200,,,,,,,,,,,1.0,1.0
US0567521085,,45401.7897,,1200,,,,,,,,,,,1.0,1.0
US90184L1026,,23575.9125,,1000,,,,,,,,,,,1.0,1.0
GB00BWFY5505,,9048.51667,,1000,,,,,,,,,,,1.0,1.0
US81762P1021,,32984.028,,800,,,,,,,,,,,1.0,1.0
US00724F1012,,119661.16876,,800,,,,,,,,,,,1.0,1.0
US9858171054,,2946.98948,,800,,,,,,,,,,,1.0,1.0
US92345Y1064,,19229.2622,,800,,,,,,,,,,,1.0,1.0
US9892071054,,9316.33575,,800,,,,,,,,,,,1.0,1.0
US7055731035,,4258.51111,,800,,,,,,,,,,,1.0,1.0
US92343X1000,,2992.06848,,800,,,,,,,,,,,1.0,1.0
US2786421030,,31397.78847,,800,,,,,,,,,,,1.0,1.0
US8486371045,,17651.20152,,800,,,,,,,,,,,1.0,1.0
US83304A1060,,5868.9421,,800,,,,,,,,,,,1.0,1.0
US4435731009,,5965.2256,,800,,,,,,,,,,,1.0,1.0
BMG3922B1072,,5499.27477,,800,,,,,,,,,,,1.0,1.0
KYG875721634,,404337.14900314,,800,,,,,,,,,,,1.0,1.0
US23355L1061,,17372.67028,,600,,,,,,,,,,,1.0,1.0
IL0011301780,,4949.106,,600,,,,,,,,,,,1.0,1.0
US3032501047,,6234.0115,,600,,,,,,,,,,,1.0,1.0
CA6837151068,,9394.80765327,,600,,,,,,,,,,,1.0,1.0
US29404K1060,,2417.32214,,600,,,,,,,,,,,1.0,1.0
US88339J1051,,4851.83384,,600,,,,,,,,,,,1.0,1.0
US8715031089,,12637.20464,,600,,,,,,,,,,,1.0,1.0
US98936J1016,,6893.5048,,600,,,,,,,,,,,1.0,1.0
US7551115071,,47012.1204,,600,,,,,,,,,,,1.0,1.0
US98138H1014,,25920.66,,600,,,,,,,,,,,1.0,1.0
US90138F1021,,8098.9668,,600,,,,,,,,,,,1.0,1.0
CA82509L1076,,14940.5796,,600,,,,,,,,,,,1.0,1.0
US32008D1063,,13467.93136,,600,,,,,,,,,,,1.0,1.0
US69370C1009,,10044.652,,600,,,,,,,,,,,1.0,1.0
US04685W1036,,5524.0287,,600,,,,,,,,,,,1.0,1.0
US31816Q1013,,3319.70275,,600,,,,,,,,,,,1.0,1.0
GB00B19NLV48,,23179.245830678497,,600,,,,,,,,,,,1.0,1.0
US67020Y1001,,4377.54367,,600,,,,,,,,,,,1.0,1.0
US21925Y1038,,3180.28712,,600,,,,,,,,,,,1.0,1.0
NZXROE0001S2,,4232.9728896043,,600,,,,,,,,,,,1.0,1.0
JP3788600009,,29890.8942376914,,600,,,,,,,,,,,1.0,1.0
CA8849037095,,25652.0370651,,600,,,,,,,,,,,1.0,1.0
US48203R1041,,9660.86046,,400,,,,,,,,,,,1.0,1.0
US09227Q1004,,3312.89149,,400,,,,,,,,,,,1.0,1.0
US64110L1061,,140415.00915,,400,,,,,,,,,,,1.0,1.0
US54142L1098,,4547.27856,,400,,,,,,,,,,,1.0,1.0
KR7005930003,,222407.32219389602,,400,,,,,,,,,,,1.0,1.0
US1924461023,,38829.61768,,400,,,,,,,,,,,1.0,1.0
US34959E1091,,12178.0476,,400,,,,,,,,,,,1.0,1.0
US7153471005,,3199.32784,,400,,,,,,,,,,,1.0,1.0
GB00BDD85M81,,3561.78999186583,,400,,,,,,,,,,,1.0,1.0
DE000A2GS401,,2788.01438,,300,,,,,,,,,,,1.0,1.0
US88076W1036,,5152.338,,300,,,,,,,,,,,1.0,1.0
US6668071029,,46917.3326,,300,,,,,,,,,,,1.0,1.0
US5398301094,,80637.61526,,300,,,,,,,,,,,1.0,1.0
US9285634021,,16569.36498,,300,,,,,,,,,,,1.0,1.0
US87336U1051,,8667.80928,,300,,,,,,,,,,,1.0,1.0
US0378331005,,728011.27776,,300,,,,,,,,,,,1.0,1.0
US4592001014,,120769.63465999998,,1100,,,,,,,,,,,1.0,1.0
US42824C1099,,20196.91032,,1100,,,,,,,,,,,1.0,1.0
US5949181045,,819267.30552,,1000,,,,,,,,,,,1.0,1.0
US4581401001,,218798.16,,1000,,,,,,,,,,,1.0,1.0
US68389X1054,,176718.37156,,900,,,,,,,,,,,1.0,1.0
JP3592200004,,17798.878032,,800,,,,,,,,,,,1.0,1.0
US9839191015,,22660.00065,,700,,,,,,,,,,,1.0,1.0
US7475251036,,62753.67851000001,,600,,,,,,,,,,,1.0,1.0
US0079031078,,19788.2586,,600,,,,,,,,,,,1.0,1.0
US67066G1040,,91066.9,,500,,,,,,,,,,,1.0,1.0
US2328061096,,4611.243,,500,,,,,,,,,,,1.0,1.0
IE00B58JVZ52,,11093.15076,,500,,,,,,,,,,,1.0,1.0
US74624M1027,,3715.27728,,400,,,,,,,,,,,1.0,1.0
US8716071076,,13453.3597,,400,,,,,,,,,,,1.0,1.0
NL0000226223,,12946.394325267904,,400,,,,,,,,,,,1.0,1.0
US64110D1046,,15395.27232,,200,,,,,,,,,,,1.0,1.0
US5951121038,,38384.64928,,100,,,,,,,,,,,1.0,1.0
KR7000660001,,43137.0542096,,100,,,,,,,,,,,1.0,1.0
TW0003443008,,882.7130672294,,100,,,,,,,,,,,1.0,1.0
TW0002344009,,1797.08690330587,,100,,,,,,,,,,,1.0,1.0
TW0008299009,,1546.866540284,,100,,,,,,,,,,,1.0,1.0
