ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
US64110L1061,,165732.6132,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US79466L3024,,125381.51459,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US98138H1014,,31982.65,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
CA82509L1076,,25347.52368,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US90138F1021,,14537.28114,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US00971T1016,,13164.28,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US70432V1026,,11573.84709,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US98980G1022,,8152.73349,Software as a Service(SaaS),,,,,,,,,,,,3.3216519229478076,0,0
US7434241037,,6825.85815,Software as a Service(SaaS),,,,,,,,,,,,2.7810457532466786,0,0
US22266L1061,,6290.0048,Platform as a Service(PaaS),,,,,,,,,,,,2.562724093078497,0,0
US75606N1090,,5976.38574,Software as a Service(SaaS),,,,,,,,,,,,2.434946905832054,0,0
US26210C1045,,5725.90566,Infrastructure as a Service(IaaS),,,,,,,,,,,,2.3328943071039525,0,0
NZXROE0001S2,,5426.876390154001,Software as a Service(SaaS),,,,,,,,,,,,2.211061408920788,0,0
US70438V1061,,5076.76104,Software as a Service(SaaS),,,,,,,,,,,,2.068414611068381,0,0
US03272L1089,,4912.8755,Software as a Service(SaaS),,,,,,,,,,,,2.0016430528232774,0,0
US54142L1098,,4050.11167,Software as a Service(SaaS),,,,,,,,,,,,1.6501289087040742,0,0
US74758T3032,,3592.97904,Software as a Service(SaaS),,,,,,,,,,,,1.4638802742621195,0,0
US90214J1016,,3539.1891,Software as a Service(SaaS),,,,,,,,,,,,1.4419647464387948,0,0
US21925Y1038,,3203.6075,Software as a Service(SaaS),,,,,,,,,,,,1.3052394053843919,0,0
GB00BYT5JK65,,3160.67482,Software as a Service(SaaS),,,,,,,,,,,,1.2877474293184235,0,0
US10316T1043,,2935.71288,Software as a Service(SaaS),,,,,,,,,,,,1.1960916354049307,0,0
US29978A1043,,2396.952,Software as a Service(SaaS),,,,,,,,,,,,0.9765853660958558,0,0
US98139A1051,,1887.11254,Software as a Service(SaaS),,,,,,,,,,,,0.7688624931746568,0,0
US78463M1071,,1879.35774,Software as a Service(SaaS),,,,,,,,,,,,0.7657029704987751,0,0
US08180D1063,,1147.0078,Software as a Service(SaaS),,,,,,,,,,,,0.46732309711575465,0,0
US90138A1034,,642.123495,Cloud Computing Infrastructure,,,,,,,,,,,,0.26161909309962217,0,0
US2538681030,,25861.3344,Data Centre REITs,,,,,,,,,,,,4.0,0,1
US23283R1005,,6286.3899,Data Centre REITs,,,,,,,,,,,,2.561251281591283,0,0
US21870Q1058,,4099.73678,Data Centre REITs,,,,,,,,,,,,1.6703475681586222,0,0
US74736A1034,,2454.39636,Data Centre REITs,,,,,,,,,,,,0.9999898069610639,0,0
US5949181045,,967124.25978,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US0231351067,,935834.51224,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US01609W1027,,493525.91176,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US02079K3059,,349295.08836,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US4592001014,,123766.49637,Public Cloud Company,,,,,,,,,,,,4.0,0,1
KYG5264Y1089,,3605.2599693275,Public Cloud Company,,,,,,,,,,,,1.4688838687701837,0,0
