ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0231351067,,801918.9400000000,,82.35%,,,,,,,,,,
US02079K3059,,324207.1400000000,,82.35%,,,,,,,,,,
DE0007236101,,95415.7600000000,,70.59%,,,,,,,,,,
US30303M1027,,346675.8400000000,,70.59%,,,,,,,,,,
US01609W1027,,394089.7300000000,,70.59%,,,,,,,,,,
US79466L3024,,114558.7500000000,,70.59%,,,,,,,,,,
US0567521085,,45401.7900000000,,70.59%,,,,,,,,,,
US90184L1026,,23575.9100000000,,58.82%,,,,,,,,,,
GB00BWFY5505,,9048.5200000000,,58.82%,,,,,,,,,,
US81762P1021,,32984.0300000000,,47.06%,,,,,,,,,,
US00724F1012,,119661.1700000000,,47.06%,,,,,,,,,,
US9858171054,,2946.9900000000,,47.06%,,,,,,,,,,
US92345Y1064,,19229.2600000000,,47.06%,,,,,,,,,,
US9892071054,,9316.3400000000,,47.06%,,,,,,,,,,
US7055731035,,4258.5100000000,,47.06%,,,,,,,,,,
US92343X1000,,2992.0700000000,,47.06%,,,,,,,,,,
US2786421030,,31397.7900000000,,47.06%,,,,,,,,,,
US8486371045,,17651.2000000000,,47.06%,,,,,,,,,,
US83304A1060,,5868.9400000000,,47.06%,,,,,,,,,,
US4435731009,,5965.2300000000,,47.06%,,,,,,,,,,
BMG3922B1072,,5499.2700000000,,47.06%,,,,,,,,,,
KYG875721634,,404337.1500000000,,47.06%,,,,,,,,,,
US23355L1061,,17372.6700000000,,35.29%,,,,,,,,,,
IL0011301780,,4949.1100000000,,35.29%,,,,,,,,,,
US3032501047,,6234.0100000000,,35.29%,,,,,,,,,,
CA6837151068,,9394.8100000000,,35.29%,,,,,,,,,,
US29404K1060,,2417.3200000000,,35.29%,,,,,,,,,,
US88339J1051,,4851.8300000000,,35.29%,,,,,,,,,,
US8715031089,,12637.2000000000,,35.29%,,,,,,,,,,
US98936J1016,,6893.5000000000,,35.29%,,,,,,,,,,
US7551115071,,47012.1200000000,,35.29%,,,,,,,,,,
US98138H1014,,25920.6600000000,,35.29%,,,,,,,,,,
US90138F1021,,8098.9700000000,,35.29%,,,,,,,,,,
CA82509L1076,,14940.5800000000,,35.29%,,,,,,,,,,
US32008D1063,,13467.9300000000,,35.29%,,,,,,,,,,
US69370C1009,,10044.6500000000,,35.29%,,,,,,,,,,
US04685W1036,,5524.0300000000,,35.29%,,,,,,,,,,
US31816Q1013,,3319.7000000000,,35.29%,,,,,,,,,,
GB00B19NLV48,,23179.2500000000,,35.29%,,,,,,,,,,
US67020Y1001,,4377.5400000000,,35.29%,,,,,,,,,,
US21925Y1038,,3180.2900000000,,35.29%,,,,,,,,,,
NZXROE0001S2,,4232.9700000000,,35.29%,,,,,,,,,,
JP3788600009,,29890.8900000000,,35.29%,,,,,,,,,,
CA8849037095,,25652.0400000000,,35.29%,,,,,,,,,,
US48203R1041,,9660.8600000000,,23.53%,,,,,,,,,,
US09227Q1004,,3312.8900000000,,23.53%,,,,,,,,,,
US64110L1061,,140415.0100000000,,23.53%,,,,,,,,,,
US54142L1098,,4547.2800000000,,23.53%,,,,,,,,,,
KR7005930003,,222407.3200000000,,23.53%,,,,,,,,,,
US1924461023,,38829.6200000000,,23.53%,,,,,,,,,,
US34959E1091,,12178.0500000000,,23.53%,,,,,,,,,,
US7153471005,,3199.3300000000,,23.53%,,,,,,,,,,
GB00BDD85M81,,3561.7900000000,,23.53%,,,,,,,,,,
DE000A2GS401,,2788.0100000000,,17.65%,,,,,,,,,,
US88076W1036,,5152.3400000000,,17.65%,,,,,,,,,,
US6668071029,,46917.3300000000,,17.65%,,,,,,,,,,
US5398301094,,80637.6200000000,,17.65%,,,,,,,,,,
US9285634021,,16569.3600000000,,17.65%,,,,,,,,,,
US87336U1051,,8667.8100000000,,17.65%,,,,,,,,,,
US0378331005,,728011.2800000000,,17.65%,,,,,,,,,,
US4592001014,,120769.6300000000,,91.67%,,,,,,,,,,
US42824C1099,,20196.9100000000,,91.67%,,,,,,,,,,
US5949181045,,819267.3100000000,,83.33%,,,,,,,,,,
US4581401001,,218798.1600000000,,83.33%,,,,,,,,,,
US68389X1054,,176718.3700000000,,75.00%,,,,,,,,,,
JP3592200004,,17798.8800000000,,66.67%,,,,,,,,,,
US9839191015,,22660.0000000000,,58.33%,,,,,,,,,,
US7475251036,,62753.6800000000,,50.00%,,,,,,,,,,
US0079031078,,19788.2600000000,,50.00%,,,,,,,,,,
US67066G1040,,91066.9000000000,,41.67%,,,,,,,,,,
US2328061096,,4611.2400000000,,41.67%,,,,,,,,,,
IE00B58JVZ52,,11093.1500000000,,41.67%,,,,,,,,,,
US74624M1027,,3715.2800000000,,33.33%,,,,,,,,,,
US8716071076,,13453.3600000000,,33.33%,,,,,,,,,,
NL0000226223,,12946.3900000000,,33.33%,,,,,,,,,,
US64110D1046,,15395.2700000000,,16.67%,,,,,,,,,,
US5951121038,,38384.6500000000,,8.33%,,,,,,,,,,
KR7000660001,,43137.0500000000,,8.33%,,,,,,,,,,
TW0003443008,,882.7100000000,,8.33%,,,,,,,,,,
TW0002344009,,1797.0900000000,,8.33%,,,,,,,,,,
TW0008299009,,1546.8700000000,,8.33%,,,,,,,,,,
