ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
US64110L1061,,165732.6132,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US79466L3024,,125381.5146,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US98138H1014,,31982.65,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
CA82509L1076,,25347.523680000002,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US90138F1021,,14537.281140000001,Platform as a Service(PaaS),,,,,,,,,,,,4.0,0,1
US00971T1016,,13164.28,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US70432V1026,,11573.847090000001,Software as a Service(SaaS),,,,,,,,,,,,4.0,0,1
US98980G1022,,8152.7334900000005,Software as a Service(SaaS),,,,,,,,,,,,3.321651922964958,0,0
US7434241037,,6825.85815,Software as a Service(SaaS),,,,,,,,,,,,2.7810457532610364,0,0
US22266L1061,,6290.0048,Platform as a Service(PaaS),,,,,,,,,,,,2.5627240930917283,0,0
US75606N1090,,5976.38574,Software as a Service(SaaS),,,,,,,,,,,,2.434946905844625,0,0
US26210C1045,,5725.90566,Infrastructure as a Service(IaaS),,,,,,,,,,,,2.332894307115997,0,0
NZXROE0001S2,,5426.876389999999,Software as a Service(SaaS),,,,,,,,,,,,2.211061408869459,0,0
US70438V1061,,5076.761039999999,Software as a Service(SaaS),,,,,,,,,,,,2.06841461107906,0,0
US03272L1089,,4912.8755,Software as a Service(SaaS),,,,,,,,,,,,2.001643052833612,0,0
US54142L1098,,4050.1116700000002,Software as a Service(SaaS),,,,,,,,,,,,1.6501289087125934,0,0
US74758T3032,,3592.9790399999997,Software as a Service(SaaS),,,,,,,,,,,,1.463880274269678,0,0
US90214J1016,,3539.1891,Software as a Service(SaaS),,,,,,,,,,,,1.4419647464462397,0,0
US21925Y1038,,3203.6075,Software as a Service(SaaS),,,,,,,,,,,,1.3052394053911307,0,0
GB00BYT5JK65,,3160.6748199999997,Software as a Service(SaaS),,,,,,,,,,,,1.287747429325072,0,0
US10316T1043,,2935.71288,Software as a Service(SaaS),,,,,,,,,,,,1.196091635411106,0,0
US29978A1043,,2396.952,Software as a Service(SaaS),,,,,,,,,,,,0.9765853661008979,0,0
US98139A1051,,1887.1125399999999,Software as a Service(SaaS),,,,,,,,,,,,0.7688624931786266,0,0
US78463M1071,,1879.35774,Software as a Service(SaaS),,,,,,,,,,,,0.7657029705027285,0,0
US08180D1063,,1147.0078,Software as a Service(SaaS),,,,,,,,,,,,0.46732309711816733,0,0
US90138A1034,,642.123495,Cloud Computing Infrastructure,,,,,,,,,,,,0.26161909310097287,0,0
US2538681030,,25861.3344,Data Centre REITs,,,,,,,,,,,,4.0,0,1
US23283R1005,,6286.3899,Data Centre REITs,,,,,,,,,,,,2.5612512816045077,0,0
US21870Q1058,,4099.736779999999,Data Centre REITs,,,,,,,,,,,,1.6703475681672455,0,0
US74736A1034,,2454.39636,Data Centre REITs,,,,,,,,,,,,0.9999898069662271,0,0
US5949181045,,967124.2598,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US0231351067,,935834.5122,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US01609W1027,,493525.9118,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US02079K3059,,349295.0884,Public Cloud Company,,,,,,,,,,,,4.0,0,1
US4592001014,,123766.4964,Public Cloud Company,,,,,,,,,,,,4.0,0,1
KYG5264Y1089,,3605.2599689999997,Public Cloud Company,,,,,,,,,,,,1.4688838686443355,0,0
