ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US17275R1023,241219.29295542496,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
KR7005930003,228439.050264979,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US4581401001,200972.52726745603,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US8740391003,200066.669083282,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US4592001014,119093.89497541299,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US11135F1012,114751.805144839,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US7475251036,99079.4664306641,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US03027X1000,89478.714728225,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
JP3435000009,68199.6725716791,,5g Infrastructure & Hardware,,,,,,,,,,,,
US22822V1017,52903.041908264095,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US2538681030,49138.3344190456,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US29444U7000,41217.83934775391,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US5951121038,39907.135162381506,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
SE0000108656,31382.279670851498,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
NL0009538784,31269.515765891403,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
KYG9830T1067,31053.988833701198,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US0079031078,29744.026184082,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
JP3902400005,28105.446401433903,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US6549022043,27950.354771886003,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US9839191015,26600.6595506104,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US78410G1040,23780.444380794102,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
DE0006231004,22814.3380342237,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
INE860A01027,20500.8458528082,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US42824C1099,19678.5198459625,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
NL0000226223,15836.529660356799,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US49338L1035,15388.779524834597,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
TW0002454006,14759.309832408799,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
JP3818000006,13985.210616611,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US83088M1027,12159.385189614299,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
INE669C01036,10798.861942869,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
KR7066570003,10120.2830331195,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
HK0992009065,9642.62882102604,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
JP3733000008,9284.42983501217,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US48203R1041,8670.103912452701,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US3156161024,8370.432930078121,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
GB0022569080,8337.56449498673,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US74736K1016,7617.259633911131,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US23283R1005,7211.383476468499,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US1717793095,5397.53352658264,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US21870Q1058,4317.434919559019,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US20337X1090,3638.25109136658,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US55024U1097,3538.84804736328,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US8168501018,2978.36480845566,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US9255501051,2927.1809029933897,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US74736A1034,2550.52636769623,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
TW0003105003,2234.0239467300103,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
JP3128800004,2035.87182839249,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US64115T1043,2018.9621405658,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US00401C1080,1990.16295071365,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
IL0010823792,1840.03345203307,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
CH0030380734,1543.7836901779199,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
HU0000073507,1512.9927657112,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
HK1883037637,1414.08228710254,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
GB0004726096,1238.64602789022,,5G Infrastructure & Hardware,,,,,,,,,,,,1.509433962264151
US00206R1023,232076.39443206802,,,,,,,,,,,,,,
HK0941009539,189238.80603233402,,,,,,,,,,,,,,
US9285634021,83546.77128157529,,,,,,,,,,,,,,
DE0005557508,80819.0889749517,,,,,,,,,,,,,,
JP3165650007,74529.0287839996,,,,,,,,,,,,,,
US8725901040,64388.817837135895,,,,,,,,,,,,,,
JP3732000009,60636.442719950704,,,,,,,,,,,,,,
US02364W1053,47780.7366958642,,,,,,,,,,,,,,
GB00BH4HKS39,42339.513557921906,,,,,,,,,,,,,,
ES0178430E18,41578.886293614705,,,,,,,,,,,,,,
FR0000133308,41039.3739634258,,,,,,,,,,,,,,
CA05534B7604,40445.7487766796,,,,,,,,,,,,,,
CNE1000002V2,39796.8042830772,,,,,,,,,,,,,,
SG1T75931496,37235.7026817374,,,,,,,,,,,,,,
