ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US01374T1025,107.9008849,,,,0.271517366,,,BDC,,,0.363122172,,,
US14054R1068,152.9120064,,,,0.84334218,,,BDC,,,0.480502646,,,
US12574Q1031,99.5622,,,,0.337893124,,,BDC,,,0.44182069,,,
US3665541039,113.30594,,,,0.248173002,,,BDC,,,0.461322082,,,
US44045A1025,164.3756,,,,1.160160887,,,BDC,,,0.304003336,,,
US58503F1066,126.92442,,,,0.394582631,,,BDC,,,0.554263566,,,
US6103351010,233.0729887,,,,1.23794915,,,BDC,,,0.408163265,,,
US67402D1046,243.10275,,,,0.416624385,,,BDC,,,0.236177885,,,
US67103B1008,148.8415453,,,,0.618386691,,,BDC,,,0.388646292,,,
US73688F1021,85.92253658,,,,0.509643296,,,BDC,,,0.89076,,,
US80349A2087,204.4589911,,,,1.112390277,,,BDC,,,0.241267262,,,
US8724381061,211.1934006,,,,0.815035148,,,BDC,,,0.475409836,,,
US03761U5020,1124.48336,,,,5.226520401,,,BDC,,,0.331085235,,,
US04010L1035,7770.58917,,,,30.07722378,,,BDC,,,0.246691373,,,
US06759L1035,501.8408994,,,,1.834838887,,,BDC,,,0.50591443,,,
US0925331086,414.3927099,,,,1.81082525,,,BDC,,,0.422053232,,,
US09259E1082,828.5765455,,,,3.366096619,,,BDC,,,0.3183493,,,
US1405011073,361.395632,,,,1.521824252,,,BDC,,,0.201257861,,,
US3165001070,396.5922333,,,,1.544652302,,,BDC,,,0.321715814,,,
US3026351078,3115.01199,,,,10.46607731,,,BDC,,,0.438365052,,,
US3765351008,278.247465,,,,1.125494325,,,BDC,,,0.268656716,,,
US3765461070,370.5603629,,,,1.619305446,,,BDC,,,0.232627485,,,
US38147U1079,814.5236215,,,,2.390890104,,,BDC,,,0.271493213,,,
US38173M1027,1108.066993,,,,3.276271429,,,BDC,,,0.246260683,,,
US4270965084,1353.463526,,,,9.031391144,,,BDC,,,0.28975535,,,
US56035L1044,2628.637129,,,,9.115235079,,,BDC,,,0.19513873,,,
US6475511001,2253.533571,,,,5.773049445,,,BDC,,,0.300220751,,,
US67401P1084,744.2741018,,,,2.080965383,,,BDC,,,0.233140655,,,
US69181V1070,319.2616975,,,,1.042056175,,,BDC,,,0.430269414,,,
US70806A1060,454.7955347,,,,1.81687059,,,BDC,,,0.295592049,,,
US7080621045,447.8605763,,,,2.04294656,,,BDC,,,0.36875,,,
US74348T1025,2458.685443,,,,10.40271486,,,BDC,,,0.368755998,,,
US83413U1007,882.1799645,,,,2.044804345,,,BDC,,,0.23661149,,,
US83416M1053,268.0952358,,,,0.613195811,,,BDC,,,0.244650087,,,
US8585681088,274.5151306,,,,1.724100205,,,BDC,,,0.307833962,,,
US8722801029,922.5298604,,,,5.147634394,,,BDC,,,0.261204482,,,
US87265K1025,1304.77254,,,,4.784820973,,,BDC,,,0.249760766,,,
US89677Y1001,365.8468,,,,2.705554665,,,BDC,,,0.269020085,,,
US96524V1061,286.6166895,,,,0.959665048,,,BDC,,,0.325937261,,,
US05684B1070,930.2165393,,,,3.020861027,,,BDC,,,0.067993367,,,
US06759X1072,325.5416,,,,0.367678637,,,CEF,,,0.219512195,,,
US09255R2022,544.35843,,,,1.826198256,,,CEF,,,0.228598131,,,
US0919411043,288.43815,,,,0.966617548,,,CEF,,,0.18448332,,,
US09249W1018,548.24954,,,,1.277574004,,,CEF,,,0.207772698,,,
US09257D1028,203.48604,,,,1.011986288,,,CEF,,,0.268614046,,,
US09256U1051,257.28265,,,,1.089768028,,,CEF,,,0.230547204,,,
US09257R1014,665.94024,,,,2.307044638,,,CEF,,,0.283228949,,,
US2782791048,532.98168,,,,1.511106069,,,CEF,,,0.200911854,,,
US27828Q1058,481.23488,,,,1.548568886,,,CEF,,,0.215438324,,,
US27826S1033,237.80476,,,,0.809606249,,,CEF,,,0.187377049,,,
US33740K1016,320.1159216,,,,0.74155963,,,CEF,,,0.135757919,,,
US33733U1088,321.69885,,,,0.932433605,,,CEF,,,0.195506542,,,
US46132R1041,820.96152,,,,2.368929853,,,CEF,,,0.233853211,,,
US46131H1077,763.35264,,,,2.725816637,,,CEF,,,0.189423077,,,
US48249T1060,319.1346,,,,1.595521851,,,CEF,,,0.30332719,,,
US67073D1028,1040.12103,,,,4.842150362,,,CEF,,,0.285100672,,,
US67072T1088,552.67378,,,,1.551721356,,,CEF,,,0.23915537,,,
US6706EN1001,392.43688,,,,1.365274893,,,CEF,,,0.246963351,,,
US67067Y1047,226.26046,,,,0.740935113,,,CEF,,,0.236975524,,,
US67074X1072,153.76208,,,,0.552737894,,,CEF,,,0.249368005,,,
US72369J1025,259.99638,,,,0.849874726,,,CEF,,,0.215158807,,,
US92913A1007,833.74256,,,,1.692930502,,,CEF,,,0.194625268,,,
US05588N1081,137.34198,,,,0.319709601,,,CEF,,,0.121935484,,,
