ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US9130171096,,89004.93,,,,,,,United States,,,,,,0.14093854070445047
US0970231058,,80572.49783,,,,,,,United States,,,,,,0.12758585693031502
US5398301094,,73539.8859,,,,,,,United States,,,,,,0.11644977645977356
US3695501086,,46140.98305,,,,,,,United States,,,,,,0.07306384958379031
NL0000235190,,33039.9706,,,,,,,France,,,,,,0.05231850911271935
US7551115071,,41246.835889999995,,,,,,,United States,,,,,,0.06531400967353779
US6668071029,,37603.489669999995,,,,,,,United States,,,,,,0.05954480228774606
FR0000073272,,21358.264740000002,,,,,,,France,,,,,,0.03382062841277354
GB0002634946,,22179.27369,,,,,,,United Kingdom,,,,,,0.035120689019734225
GB00B63H8491,,18228.80583,,,,,,,United Kingdom,,,,,,0.02886515716000203
FR0000121329,,8480.825362,,,,,,,France,,,,,,0.013429313977209723
US8936411003,,14576.76099,,,,,,,United States,,,,,,0.023082175584298096
US0138721065,,12946.6226,,,,,,,United States,,,,,,0.02050086547223012
US5024131071,,11385.7936,,,,,,,United States,,,,,,0.018029306182770686
US8832031012,,10970.75094,,,,,,,United States,,,,,,0.01737208970239714
US7743411016,,10840.542440000001,,,,,,,United States,,,,,,0.01716590566318364
FR0000121725,,2413.248492,,,,,,,France,,,,,,0.003821358219367127
US4464131063,,7570.036859999999,,,,,,,United States,,,,,,0.01198708822227376
FR0000125684,,5617.616275,,,,,,,France,,,,,,0.008895447027890153
IT0003856405,,4483.170335,,,,,,,Italy,,,,,,0.007099061644612073
US8485741099,,5844.4912030000005,,,,,,,United States,,,,,,0.009254701523958487
DE000A0D9PT0,,5190.054413,,,,,,,Germany,,,,,,0.008218406498886223
US0733021010,,5107.1017329999995,,,,,,,United States,,,,,,0.008087051643972868
GB0005758098,,4694.937593,,,,,,,United Kingdom,,,,,,0.007434393275247622
US68557N1037,,4367.489036,,,,,,,United States,,,,,,0.006915881303165198
CNE1000001Y8,,1519.9856539999998,,,,,,,Hong Kong,,,,,,0.0024068842025543953
IL0010811243,,2060.554469,,,,,,,Israel,,,,,,0.0032628702691288435
US4282911084,,4114.697286,,,,,,,United States,,,,,,0.006515587742492499
US4228061093,,1389.3648699999999,,,,,,,United States,,,,,,0.0022000473151748846
US05605H1005,,3984.486175,,,,,,,United States,,,,,,0.006309399568782962
US2315611010,,3615.706717,,,,,,,United States,,,,,,0.005725440470648755
CA1247651088,,3824.2367759999997,,,,,,,Canada,,,,,,0.0060556460245261975
CA0977512007,,3137.845435,,,,,,,Canada,,,,,,0.004968751242937011
US8793601050,,3423.3989560000005,,,,,,,United States,,,,,,0.005420922786049934
SE0000112385,,2070.063005,,,,,,,Sweden,,,,,,0.003277926954057147
GB00B07KD360,,3567.6224729999994,,,,,,,United Kingdom,,,,,,0.0056492994840737784
US29082A1079,,1354.487344,,,,,,,Brazil,,,,,,0.002144819052899733
CA5542821031,,2392.018462,,,,,,,Canada,,,,,,0.0037877406495615924
US2974251009,,2250.7301850000003,,,,,,,United States,,,,,,0.0035640118788179253
BMG5326A1062,,526.8999278,,,,,,,Hong Kong,,,,,,0.0008343415013237169
US6153942023,,1843.043033,,,,,,,United States,,,,,,0.0029184427820630205
US4825391034,,1937.09197,,,,,,,United States,,,,,,0.003067368464444713
GB00B0WMWD03,,1715.011661,,,,,,,United Kingdom,,,,,,0.002715706206301783
US25389M8771,,1663.767135,,,,,,,United States,,,,,,0.0026345609403762744
US8968181011,,1538.671415,,,,,,,United States,,,,,,0.002436472944293669
GB0009123323,,1543.6532710000001,,,,,,,United Kingdom,,,,,,0.0024443616703972654
US05464C1018,,1387.110374,,,,,,,United States,,,,,,0.002196477340160422
US9508141036,,797.3067639,,,,,,,United States,,,,,,0.0012625283992454557
GB0007958233,,1288.522117,,,,,,,United Kingdom,,,,,,0.002040363683622797
US2296691064,,1165.249869,,,,,,,United States,,,,,,0.0018451631397599223
