ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US00287Y1091,,128953191.200000,,,657.02270330,,,,,,,,,
US8835561023,,123236564.030000,,,413.46559800,,,,,,,,,
US00846U1016,,24299402.233600,,,165.80376130,,,,,,,,,
US5926881054,,17479009.340000,,,135.18534110,,,,,,,,,
US9418481035,,14028008.869800,,,118.82912660,,,,,,,,,
US7140461093,,10056862.520000,,,66.71201205,,,,,,,,,
CA1380351009,,6158121.864058,,,54.72683342,,,,,,,,,
US1488061029,,7549544.400000,,,37.40101235,,,,,,,,,
US8101861065,,5701761.780000,,,47.26935407,,,,,,,,,
US1167941087,,7673421.360000,,,33.88896887,,,,,,,,,
US88688T1007,,1753953.720000,,,55.97884449,,,,,,,,,
CA05156X1087,,2765418.547156,,,28.35206873,,,,,,,,,
US0400476075,,2320455.170000,,,24.03785841,,,,,,,,,
US45781V1017,,948303.040000,,,49.50964919,,,,,,,,,
CA22717L1013,,2357948.014381,,,10.61569233,,,,,,,,,
US1407551092,,1052611.450000,,,15.82946999,,,,,,,,,
CA03765K1049,,1133297.548111,,,13.96819083,,,,,,,,,
CA4283041099,,489047.706033,,,8.59504058,,,,,,,,,
CA92707Y1088,,348462.095120,,,6.11944061,,,,,,,,,
US98986X1090,,151946.965500,,,13.50030512,,,,,,,,,
CA68620P1018,,385288.372513,,,4.65723116,,,,,,,,,
US21833P1030,,294262.150000,,,3.76064272,,,,,,,,,
CA3932102088,,184664.959415,,,3.62493272,,,,,,,,,
