ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US1894641000,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US03152W1099,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US4529071080,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US29664W1053,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US0327241065,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US7504692077,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US0143391052,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US5488621013,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US69366J2006,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US40637H1095,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US62857M1053,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
JE00BYSS4X48,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US5588681057,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US24983L1044,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US0044491043,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00900T1079,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US88322Q1085,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US19459J1043,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US5034596040,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US7613301099,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US60468T1051,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US56854Q1013,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US6515111077,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
BMG0750W2037,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
KYG8807B1068,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US05070R1041,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US4622601007,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
VGG111961055,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US2060221056,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US38000Q1022,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US29251M1062,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US23257D1037,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US04351P1012,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US4831191030,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US23284F1057,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US05463X1063,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
NL0010696654,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US09058V1035,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00461U1051,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
IL0011407140,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US29428V1044,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US0453961080,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US50127T1097,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US4811161011,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US48283N1063,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
CA05156V1022,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US92915B1061,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00972L1070,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US7612991064,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
SG9999014716,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US24344T1016,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00448Q2012,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US5560991094,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US98419J2069,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00653A1079,,,,,,,,Pure-Play,,,,,,,,0.35294117647058826
US00972D1054,,,,,,,,,,,,,,,,0.35294117647058826
US67022C1062,,,,,,,,,,,,,,,,0.35294117647058826
US2530311081,,,,,,,,,,,,,,,,0.35294117647058826
US7207951036,,,,,,,,,,,,,,,,0.35294117647058826
US87164F1057,,,,,,,,,,,,,,,,0.35294117647058826
US00739L1017,,,,,,,,,,,,,,,,0.35294117647058826
US13089P1012,,,,,,,,,,,,,,,,0.35294117647058826
US87184Q1076,,,,,,,,,,,,,,,,0.35294117647058826
IE00BYZ5XL97,,,,,,,,,,,,,,,,0.35294117647058826
US74366E1029,,,,,,,,,,,,,,,,0.35294117647058826
