ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,97.20336017,,,,,,,,,,,,,,,
US03152W1099,,41.23259229,a,,,,,,,,,,,,,13.0,0.019230769230769232
US4529071080,,37.26684327,,,,,,,,,,,,,,,
US29664W1053,,33.14409232,a,,,,,,,,,,,,,13.0,0.019230769230769232
US0327241065,,25.42868317,a,,,,,,,,,,,,,13.0,0.019230769230769232
US7504692077,,32.84252827,a,,,,,,,,,,,,,13.0,0.019230769230769232
US0143391052,,15.19714085,a,,,,,,,,,,,,,13.0,0.019230769230769232
US5488621013,,34.31991314,a,,,,,,,,,,,,,13.0,0.019230769230769232
US69366J2006,,19.69712062,a,,,,,,,,,,,,,13.0,0.019230769230769232
US40637H1095,,22.84228926,a,,,,,,,,,,,,,13.0,0.019230769230769232
US62857M1053,,22.97200924,a,,,,,,,,,,,,,13.0,0.019230769230769232
JE00BYSS4X48,,18.49696615,a,,,,,,,,,,,,,13.0,0.019230769230769232
US5588681057,,10.96570679,a,,,,,,,,,,,,,13.0,0.019230769230769232
US24983L1044,,13.44544096,a,,,,,,,,,,,,,13.0,0.019230769230769232
US0044491043,,12.26947947,a,,,,,,,,,,,,,13.0,0.019230769230769232
US00900T1079,,13.61951801,b,,,,,,,,,,,,,28.0,0.008928571428571428
US88322Q1085,,12.48000864,b,,,,,,,,,,,,,28.0,0.008928571428571428
US19459J1043,,9.99536888,b,,,,,,,,,,,,,28.0,0.008928571428571428
US5034596040,,11.64405378,b,,,,,,,,,,,,,28.0,0.008928571428571428
US7613301099,,11.10471291,b,,,,,,,,,,,,,28.0,0.008928571428571428
US60468T1051,,11.86361266,b,,,,,,,,,,,,,28.0,0.008928571428571428
US56854Q1013,,10.06145877,b,,,,,,,,,,,,,28.0,0.008928571428571428
US6515111077,,21.37847342,b,,,,,,,,,,,,,28.0,0.008928571428571428
BMG0750W2037,,13.62061151,b,,,,,,,,,,,,,28.0,0.008928571428571428
KYG8807B1068,,6.350171697,b,,,,,,,,,,,,,28.0,0.008928571428571428
US05070R1041,,8.501029563,b,,,,,,,,,,,,,28.0,0.008928571428571428
US4622601007,,5.876375229,b,,,,,,,,,,,,,28.0,0.008928571428571428
VGG111961055,,8.221772911,b,,,,,,,,,,,,,28.0,0.008928571428571428
US2060221056,,6.545486502,b,,,,,,,,,,,,,28.0,0.008928571428571428
US38000Q1022,,8.672918916,b,,,,,,,,,,,,,28.0,0.008928571428571428
US29251M1062,,9.191280716,b,,,,,,,,,,,,,28.0,0.008928571428571428
US23257D1037,,6.079508222,b,,,,,,,,,,,,,28.0,0.008928571428571428
US04351P1012,,6.587732732,b,,,,,,,,,,,,,28.0,0.008928571428571428
US4831191030,,4.53562952,b,,,,,,,,,,,,,28.0,0.008928571428571428
US23284F1057,,7.116038102999999,b,,,,,,,,,,,,,28.0,0.008928571428571428
US05463X1063,,6.148914465,b,,,,,,,,,,,,,28.0,0.008928571428571428
NL0010696654,,8.585224541,b,,,,,,,,,,,,,28.0,0.008928571428571428
US09058V1035,,7.091462344,b,,,,,,,,,,,,,28.0,0.008928571428571428
US00461U1051,,8.09170118,b,,,,,,,,,,,,,28.0,0.008928571428571428
IL0011407140,,3.7311702139999996,b,,,,,,,,,,,,,28.0,0.008928571428571428
US29428V1044,,8.51269933,b,,,,,,,,,,,,,28.0,0.008928571428571428
US0453961080,,4.473740043,b,,,,,,,,,,,,,28.0,0.008928571428571428
US50127T1097,,7.276509722,b,,,,,,,,,,,,,28.0,0.008928571428571428
US4811161011,,3.336156807,c,,,,,,,,,,,,,23.0,0.010869565217391304
US48283N1063,,2.092117642,c,,,,,,,,,,,,,23.0,0.010869565217391304
CA05156V1022,,6.521447062000001,c,,,,,,,,,,,,,23.0,0.010869565217391304
US92915B1061,,7.183072331,c,,,,,,,,,,,,,23.0,0.010869565217391304
US00972L1070,,7.407077564,c,,,,,,,,,,,,,23.0,0.010869565217391304
US7612991064,,6.1320156720000005,c,,,,,,,,,,,,,23.0,0.010869565217391304
SG9999014716,,4.534835035,c,,,,,,,,,,,,,23.0,0.010869565217391304
US24344T1016,,5.363039698,c,,,,,,,,,,,,,23.0,0.010869565217391304
US00448Q2012,,8.151242886,c,,,,,,,,,,,,,23.0,0.010869565217391304
US5560991094,,4.8511987130000005,c,,,,,,,,,,,,,23.0,0.010869565217391304
US98419J2069,,4.634884193,c,,,,,,,,,,,,,23.0,0.010869565217391304
US00653A1079,,2.771389662,c,,,,,,,,,,,,,23.0,0.010869565217391304
US00972D1054,,5.903346922999999,c,,,,,,,,,,,,,23.0,0.010869565217391304
US67022C1062,,2.219463858,c,,,,,,,,,,,,,23.0,0.010869565217391304
US2530311081,,2.069856464,c,,,,,,,,,,,,,23.0,0.010869565217391304
US7207951036,,2.7091851080000002,c,,,,,,,,,,,,,23.0,0.010869565217391304
US87164F1057,,2.02326829,c,,,,,,,,,,,,,23.0,0.010869565217391304
US00739L1017,,4.409257543,c,,,,,,,,,,,,,23.0,0.010869565217391304
US13089P1012,,7.266347825,c,,,,,,,,,,,,,23.0,0.010869565217391304
US87184Q1076,,3.313127187,c,,,,,,,,,,,,,23.0,0.010869565217391304
IE00BYZ5XL97,,1.186770013,c,,,,,,,,,,,,,23.0,0.010869565217391304
US74366E1029,,1.845119033,c,,,,,,,,,,,,,23.0,0.010869565217391304
US8162121045,,2.533361176,c,,,,,,,,,,,,,23.0,0.010869565217391304
US21887L1070,,1.9041692940000001,d,,,,,,,,,,,,,19.0,0.013157894736842105
US01345P1066,,1.033761126,d,,,,,,,,,,,,,19.0,0.013157894736842105
US16383L1061,,1.177436379,d,,,,,,,,,,,,,19.0,0.013157894736842105
US8051111016,,1.634797298,d,,,,,,,,,,,,,19.0,0.013157894736842105
US03753U1060,,2.938756587,d,,,,,,,,,,,,,19.0,0.013157894736842105
US58549G2093,,2.498082381,d,,,,,,,,,,,,,19.0,0.013157894736842105
US76243J1051,,7.246113445,d,,,,,,,,,,,,,19.0,0.013157894736842105
US14888U1016,,3.042221422,d,,,,,,,,,,,,,19.0,0.013157894736842105
US0396971071,,4.1609360010000005,d,,,,,,,,,,,,,19.0,0.013157894736842105
US3621LQ1099,,2.678821614,d,,,,,,,,,,,,,19.0,0.013157894736842105
IL0011327454,,1.722708234,d,,,,,,,,,,,,,19.0,0.013157894736842105
NL0012661870,,1.755935437,d,,,,,,,,,,,,,19.0,0.013157894736842105
US98887Q1040,,5.394921049,d,,,,,,,,,,,,,19.0,0.013157894736842105
US81750R1023,,2.256234199,d,,,,,,,,,,,,,19.0,0.013157894736842105
US6085501095,,1.115194478,d,,,,,,,,,,,,,19.0,0.013157894736842105
US59045L1061,,1.056127561,d,,,,,,,,,,,,,19.0,0.013157894736842105
US68404V1008,,3.8068612269999997,d,,,,,,,,,,,,,19.0,0.013157894736842105
IE00BYQMW233,,4.510021576000001,d,,,,,,,,,,,,,19.0,0.013157894736842105
US14757U1097,,1.793175086,d,,,,,,,,,,,,,19.0,0.013157894736842105
