ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight,Cap
US64110L1061,,165732.6132,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US79466L3024,,125381.51459,Platform as a Service(PaaS),,,,,,,,,,,,,4.0,1
US98138H1014,,31982.65,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
CA82509L1076,,25347.523680000002,Platform as a Service(PaaS),,,,,,,,,,,,,4.0,1
US90138F1021,,14537.281140000001,Platform as a Service(PaaS),,,,,,,,,,,,,4.0,1
US00971T1016,,13164.28,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US70432V1026,,11573.847090000001,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US98980G1022,,8152.7334900000005,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US7434241037,,6825.85815,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US22266L1061,,6290.0048,Platform as a Service(PaaS),,,,,,,,,,,,,4.0,1
US75606N1090,,5976.38574,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US26210C1045,,5725.90566,Infrastructure as a Service(IaaS),,,,,,,,,,,,,4.0,1
NZXROE0001S2,,5426.876389999999,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US70438V1061,,5076.761039999999,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US03272L1089,,4912.8755,Software as a Service(SaaS),,,,,,,,,,,,,4.0,1
US54142L1098,,4050.1116700000002,Software as a Service(SaaS),,,,,,,,,,,,,3.6859095140105804,0
US74758T3032,,3592.9790399999997,Software as a Service(SaaS),,,,,,,,,,,,,3.2698840689438566,0
US90214J1016,,3539.1891,Software as a Service(SaaS),,,,,,,,,,,,,3.2209311343685822,0
US21925Y1038,,3203.6075,Software as a Service(SaaS),,,,,,,,,,,,,2.915526367055861,0
GB00BYT5JK65,,3160.6748199999997,Software as a Service(SaaS),,,,,,,,,,,,,2.876454364462419,0
US10316T1043,,2935.71288,Software as a Service(SaaS),,,,,,,,,,,,,2.671721897187936,0
US29978A1043,,2396.952,Software as a Service(SaaS),,,,,,,,,,,,,2.1814085391444746,0
US98139A1051,,1887.1125399999999,Software as a Service(SaaS),,,,,,,,,,,,,1.7174158719417902,0
US78463M1071,,1879.35774,Software as a Service(SaaS),,,,,,,,,,,,,1.710358414412662,0
US08180D1063,,1147.0078,Software as a Service(SaaS),,,,,,,,,,,,,1.043864294898403,0
US90138A1034,,642.1235,Cloud Computing Infrastructure,,,,,,,,,,,,,0.5843811999928813,0
US2538681030,,25861.3344,Data Centre REITs,,,,,,,,,,,,,4.0,1
US23283R1005,,6286.3899,Data Centre REITs,,,,,,,,,,,,,1.1621376653041198,1
US21870Q1058,,4099.736779999999,Data Centre REITs,,,,,,,,,,,,,0.7579005765885805,1
US74736A1034,,2454.39636,Data Centre REITs,,,,,,,,,,,,,0.45373362150847985,1
US5949181045,,967124.25978,Public Cloud Company,,,,,,,,,,,,,2.0,1
US0231351067,,935834.51224,Public Cloud Company,,,,,,,,,,,,,2.0,1
US01609W1027,,493525.91176000005,Public Cloud Company,,,,,,,,,,,,,1.7606902361279955,1
US02079K3059,,349295.08836,Public Cloud Company,,,,,,,,,,,,,1.2461360932594572,1
US4592001014,,123766.49637000001,Public Cloud Company,,,,,,,,,,,,,0.4415461407918963,1
KYG5264Y1089,,3605.2599700000005,Public Cloud Company,,,,,,,,,,,,,0.3,1
