ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US0527691069,,37278.2988,,100,,,,,,,,,,,,1.0,1.0
KR7000660001,,48652.86267,,100,,,,,,,,,,,,1.0,1.0
TW0002344009,,2247.393678,,100,,,,,,,,,,,,1.0,1.0
TW0003443008,,1073.647326,,100,,,,,,,,,,,,1.0,1.0
TW0008299009,,2098.8252899999998,,100,,,,,,,,,,,,1.0,1.0
US5951121038,,51823.55085,,100,,,,,,,,,,,,1.0,1.0
US05464C1018,,3913.02486,,200,,,,,,,,,,,,1.0,1.0
US11133T1034,,15582.369630000001,,200,,,,,,,,,,,,1.0,1.0
US47215P1066,,39035.39185,,200,,,,,,,,,,,,1.0,1.0
US64110D1046,,14185.3002,,200,,,,,,,,,,,,1.0,1.0
US87336U1051,,13233.3978,,300,,,,,,,,,,,,1.0,1.0
US5398301094,,101188.7024,,300,,,,,,,,,,,,1.0,1.0
US6668071029,,55013.502,,300,,,,,,,,,,,,1.0,1.0
DE000A2GS401,,2150.210748,,300,,,,,,,,,,,,1.0,1.0
US88076W1036,,4125.433,,300,,,,,,,,,,,,1.0,1.0
US9285634021,,19524.5638,,300,,,,,,,,,,,,1.0,1.0
US60770K1079,,4474.5496,,300,,,,,,,,,,,,1.0,1.0
GB00BDD85M81,,4166.534942,,400,,,,,,,,,,,,1.0,1.0
US09227Q1004,,4112.93332,,400,,,,,,,,,,,,1.0,1.0
US34959E1091,,14960.37121,,400,,,,,,,,,,,,1.0,1.0
US48203R1041,,9262.3425,,400,,,,,,,,,,,,1.0,1.0
US54142L1098,,3665.9763399999997,,400,,,,,,,,,,,,1.0,1.0
US64110L1061,,134546.6955,,400,,,,,,,,,,,,1.0,1.0
US7153471005,,3769.04482,,400,,,,,,,,,,,,1.0,1.0
US03272L1089,,7364.87426,,400,,,,,,,,,,,,1.0,1.0
US88034P1093,,4455.208439999999,,400,,,,,,,,,,,,1.0,1.0
US74624M1027,,3948.2352,,400,,,,,,,,,,,,1.0,1.0
US8716071076,,20410.24784,,400,,,,,,,,,,,,1.0,1.0
NL0000226223,,17249.50918,,400,,,,,,,,,,,,1.0,1.0
US21925Y1038,,3598.8654899999997,,600,,,,,,,,,,,,1.0,1.0
US23355L1061,,15112.4768,,600,,,,,,,,,,,,1.0,1.0
US29404K1060,,3741.97394,,600,,,,,,,,,,,,1.0,1.0
GB00B19NLV48,,27535.12771,,600,,,,,,,,,,,,1.0,1.0
US32008D1063,,16495.0286,,600,,,,,,,,,,,,1.0,1.0
US31816Q1013,,3283.1686,,600,,,,,,,,,,,,1.0,1.0
US3032501047,,9801.2291,,600,,,,,,,,,,,,1.0,1.0
US67020Y1001,,4787.5245,,600,,,,,,,,,,,,1.0,1.0
CA6837151068,,11652.67273,,600,,,,,,,,,,,,1.0,1.0
US69370C1009,,10422.8052,,600,,,,,,,,,,,,1.0,1.0
US7551115071,,50505.05412,,600,,,,,,,,,,,,1.0,1.0
CA82509L1076,,32755.18224,,600,,,,,,,,,,,,1.0,1.0
US8715031089,,14101.005140000001,,600,,,,,,,,,,,,1.0,1.0
CA8849037095,,34281.31611,,600,,,,,,,,,,,,1.0,1.0
US88339J1051,,9451.5093,,600,,,,,,,,,,,,1.0,1.0
US90138F1021,,17072.15846,,600,,,,,,,,,,,,1.0,1.0
US98138H1014,,34339.14,,600,,,,,,,,,,,,1.0,1.0
IL0011301780,,7284.9843,,600,,,,,,,,,,,,1.0,1.0
NZXROE0001S2,,6183.825232,,600,,,,,,,,,,,,1.0,1.0
US98936J1016,,10032.86705,,600,,,,,,,,,,,,1.0,1.0
US2328061096,,8309.138809999999,,500,,,,,,,,,,,,1.0,1.0
US67066G1040,,106976.94,,500,,,,,,,,,,,,1.0,1.0
IE00B58JVZ52,,13213.716390000001,,500,,,,,,,,,,,,1.0,1.0
KYG875721634,,437050.9384,,800,,,,,,,,,,,,1.0,1.0
US00724F1012,,149456.9593,,800,,,,,,,,,,,,1.0,1.0
US2786421030,,34414.486919999996,,800,,,,,,,,,,,,1.0,1.0
BMG3922B1072,,7456.3458,,800,,,,,,,,,,,,1.0,1.0
US4435731009,,7553.2782,,800,,,,,,,,,,,,1.0,1.0
US81762P1021,,53749.547,,800,,,,,,,,,,,,1.0,1.0
US7055731035,,6011.21144,,800,,,,,,,,,,,,1.0,1.0
US83304A1060,,15997.04685,,800,,,,,,,,,,,,1.0,1.0
US8486371045,,20689.19644,,800,,,,,,,,,,,,1.0,1.0
US92343X1000,,3687.23438,,800,,,,,,,,,,,,1.0,1.0
US92345Y1064,,24682.46946,,800,,,,,,,,,,,,1.0,1.0
US9858171054,,2664.2696,,800,,,,,,,,,,,,1.0,1.0
US9892071054,,9988.44385,,800,,,,,,,,,,,,1.0,1.0
KYG851581069,,5006.80983,,800,,,,,,,,,,,,1.0,1.0
US0079031078,,36222.817489999994,,600,,,,,,,,,,,,1.0,1.0
US7475251036,,90107.60987999999,,600,,,,,,,,,,,,1.0,1.0
US9839191015,,31948.807360000003,,700,,,,,,,,,,,,1.0,1.0
GB00BWFY5505,,8364.77382,,1000,,,,,,,,,,,,1.0,1.0
US90184L1026,,29131.1149,,1000,,,,,,,,,,,,1.0,1.0
JP3592200004,,16217.407480000002,,800,,,,,,,,,,,,1.0,1.0
US01609W1027,,463669.9594,,1200,,,,,,,,,,,,1.0,1.0
US0567521085,,32008.92,,1200,,,,,,,,,,,,1.0,1.0
US79466L3024,,121335.0,,1200,,,,,,,,,,,,1.0,1.0
US30303M1027,,486178.6015,,1200,,,,,,,,,,,,1.0,1.0
DE0007236101,,96139.7651,,1200,,,,,,,,,,,,1.0,1.0
US68389X1054,,191642.8016,,900,,,,,,,,,,,,1.0,1.0
US0231351067,,981951.2507,,1400,,,,,,,,,,,,1.0,1.0
US02079K3059,,343767.4998,,1400,,,,,,,,,,,,1.0,1.0
US4581401001,,231684.75,,1000,,,,,,,,,,,,1.0,1.0
US5949181045,,1064593.47,,1000,,,,,,,,,,,,1.0,1.0
US42824C1099,,19564.96689,,1100,,,,,,,,,,,,1.0,1.0
US4592001014,,133333.3743,,1100,,,,,,,,,,,,1.0,1.0
