ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US9130171096,,89004.93,,,,,,,United States,,,,,
US0970231058,,80572.49783,,,,,,,United States,,,,,
US5398301094,,73539.8859,,,,,,,United States,,,,,
US3695501086,,46140.98305,,,,,,,United States,,,,,
NL0000235190,,33039.9706,,,,,,,France,,,,,
US7551115071,,41246.83589,,,,,,,United States,,,,,
US6668071029,,37603.48967,,,,,,,United States,,,,,
FR0000073272,,21358.26474,,,,,,,France,,,,,
GB0002634946,,22179.27369,,,,,,,United Kingdom,,,,,
GB00B63H8491,,18228.80583,,,,,,,United Kingdom,,,,,
FR0000121329,,8480.825362,,,,,,,France,,,,,
US8936411003,,14576.76099,,,,,,,United States,,,,,
US0138721065,,12946.6226,,,,,,,United States,,,,,
US5024131071,,11385.7936,,,,,,,United States,,,,,
US8832031012,,10970.75094,,,,,,,United States,,,,,
US7743411016,,10840.54244,,,,,,,United States,,,,,
FR0000121725,,2413.248492,,,,,,,France,,,,,
US4464131063,,7570.03686,,,,,,,United States,,,,,
FR0000125684,,5617.616275,,,,,,,France,,,,,
IT0003856405,,4483.170335,,,,,,,Italy,,,,,
US8485741099,,5844.491203,,,,,,,United States,,,,,
DE000A0D9PT0,,5190.054413,,,,,,,Germany,,,,,
US0733021010,,5107.101733,,,,,,,United States,,,,,
GB0005758098,,4694.937593,,,,,,,United Kingdom,,,,,
US68557N1037,,4367.489036,,,,,,,United States,,,,,
CNE1000001Y8,,1519.985654,,,,,,,Hong Kong,,,,,
IL0010811243,,2060.554469,,,,,,,Israel,,,,,
US4282911084,,4114.697286,,,,,,,United States,,,,,
US4228061093,,1389.36487,,,,,,,United States,,,,,
US05605H1005,,3984.486175,,,,,,,United States,,,,,
US2315611010,,3615.706717,,,,,,,United States,,,,,
CA1247651088,,3824.236776,,,,,,,Canada,,,,,
CA0977512007,,3137.845435,,,,,,,Canada,,,,,
US8793601050,,3423.398956,,,,,,,United States,,,,,
SE0000112385,,2070.063005,,,,,,,Sweden,,,,,
GB00B07KD360,,3567.622473,,,,,,,United Kingdom,,,,,
US29082A1079,,1354.487344,,,,,,,Brazil,,,,,
CA5542821031,,2392.018462,,,,,,,Canada,,,,,
US2974251009,,2250.730185,,,,,,,United States,,,,,
BMG5326A1062,,526.8999278,,,,,,,Hong Kong,,,,,
US6153942023,,1843.043033,,,,,,,United States,,,,,
US4825391034,,1937.09197,,,,,,,United States,,,,,
GB00B0WMWD03,,1715.011661,,,,,,,United Kingdom,,,,,
US25389M8771,,1663.767135,,,,,,,United States,,,,,
US8968181011,,1538.671415,,,,,,,United States,,,,,
GB0009123323,,1543.653271,,,,,,,United Kingdom,,,,,
US05464C1018,,1387.110374,,,,,,,United States,,,,,
US9508141036,,797.3067639,,,,,,,United States,,,,,
GB0007958233,,1288.522117,,,,,,,United Kingdom,,,,,
US2296691064,,1165.249869,,,,,,,United States,,,,,
