ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US00183L1026,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US03783C1009,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US10316T1043,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US1417881091,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US14575E1055,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US1630921096,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US2172041061,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US1416331072,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US21925Y1038,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US26210C1045,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US2786421030,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US2829141009,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US29786A1060,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US30303M1027,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US3994731079,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US4001101025,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US4612021034,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US46267X1081,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US48238T1097,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US52603A2087,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US53567X1019,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US58733R1023,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US5949181045,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US57665R1068,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US64110L1061,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US70450Y1038,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
CA7677441056,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US75606N1090,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US83304A1060,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
LU1778762911,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US8522341036,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US8256901005,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US88034P1093,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US8969452015,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US90214J1016,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US90184L1026,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US92826C8394,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US9307521008,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US9858171054,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US98954M2008,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US48138M1053,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US90353T1007,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US55087P1049,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US83356Q1085,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US72352L1061,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US98980L1017,,,,,,,,Pure Play,,,,,,,,1.5217391304347827
US09857L1089,,,,,,,,,,,,,,,,2.0
US0537741052,,,,,,,,,,,,,,,,2.0
US0231351067,,,,,,,,,,,,,,,,2.0
US01609W1027,,,,,,,,,,,,,,,,2.0
US30212P3038,,,,,,,,,,,,,,,,2.0
US3453708600,,,,,,,,,,,,,,,,2.0
US37045V1008,,,,,,,,,,,,,,,,2.0
US02079K3059,,,,,,,,,,,,,,,,2.0
US42806J1060,,,,,,,,,,,,,,,,2.0
US7495271071,,,,,,,,,,,,,,,,2.0
US8851601018,,,,,,,,,,,,,,,,2.0
NL0009805522,,,,,,,,,,,,,,,,2.0
