ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US6668071029,,4531165.640740,,,,,,Pure Play,,,,,,
FR0000073272,,4372565.704777,,,,,,Pure Play,,,,,,
US49338L1035,,1582162.924309,,,,,,Pure Play,,,,,,
US4282911084,,564848.536683,,,,,,Pure Play,,,,,,
US9807451037,,527816.107073,,,,,,Pure Play,,,,,,
TH0201A10Y01,,454968.556630,,,,,,Pure Play,,,,,,
US1271903049,,441568.725108,,,,,,Pure Play,,,,,,
US92552V1008,,430290.264908,,,,,,Pure Play,,,,,,
FR0010221234,,340790.903327,,,,,,Pure Play,,,,,,
US0078001056,,255428.258432,,,,,,Pure Play,,,,,,
US46269C1027,,252864.958112,,,,,,Pure Play,,,,,,
KR7047810007,,227976.483447,,,,,,Pure Play,,,,,,
US2787681061,,168253.285793,,,,,,Pure Play,,,,,,
CNE1000001Y8,,157432.493040,,,,,,Pure Play,,,,,,
US4835481031,,157402.625183,,,,,,Pure Play,,,,,,
US5438811060,,78316.008762,,,,,,Pure Play,,,,,,
US0464331083,,72526.331180,,,,,,Pure Play,,,,,,
US68555P1003,,49617.359476,,,,,,Pure Play,,,,,,
US2058262096,,49384.474488,,,,,,Pure Play,,,,,,
US38046C1099,,26142.875610,,,,,,Pure Play,,,,,,
US0970231058,,20399481.451231,,,,,,Quasi Play,,,,,,
US4385161066,,11307581.097829,,,,,,Quasi Play,,,,,,
US5398301094,,8306523.169992,,,,,,Quasi Play,,,,,,
US7551115071,,5068874.197644,,,,,,Quasi Play,,,,,,
US3695501086,,4755754.432353,,,,,,Quasi Play,,,,,,
US4138751056,,1871123.022003,,,,,,Quasi Play,,,,,,
FR0000121329,,1181089.214233,,,,,,Quasi Play,,,,,,
US8485741099,,936496.865539,,,,,,Quasi Play,,,,,,
JP3906000009,,520595.416380,,,,,,Quasi Play,,,,,,
GB0005758098,,514329.136925,,,,,,Quasi Play,,,,,,
IT0003856405,,457177.810422,,,,,,Quasi Play,,,,,,
US05605H1005,,454043.594248,,,,,,Quasi Play,,,,,,
SG1F60858221,,421604.411851,,,,,,Quasi Play,,,,,,
US4228061093,,372734.544458,,,,,,Quasi Play,,,,,,
FR0000121725,,346703.363972,,,,,,Quasi Play,,,,,,
GB00B07KD360,,342918.860402,,,,,,Quasi Play,,,,,,
BREMBRACNOR4,,333245.114214,,,,,,Quasi Play,,,,,,
JP3134800006,,318548.665020,,,,,,Quasi Play,,,,,,
GB00B09LSH68,,296795.231941,,,,,,Quasi Play,,,,,,
US6153942023,,266765.106411,,,,,,Quasi Play,,,,,,
US0123481089,,199924.776461,,,,,,Quasi Play,,,,,,
US2963151046,,172991.166563,,,,,,Quasi Play,,,,,,
NO0003043309,,170438.298976,,,,,,Quasi Play,,,,,,
US50077B2079,,137974.693622,,,,,,Quasi Play,,,,,,
US8968181011,,94340.458507,,,,,,Quasi Play,,,,,,
US8542311076,,87095.097192,,,,,,Quasi Play,,,,,,
US17273K1097,,60027.894022,,,,,,Quasi Play,,,,,,
JP3396350005,,53649.519631,,,,,,Quasi Play,,,,,,
