ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US6668071029,,4531165.641,,,,,,Pure Play,,,,,,
FR0000073272,,4372565.705,,,,,,Pure Play,,,,,,
US49338L1035,,1582162.924,,,,,,Pure Play,,,,,,
US4282911084,,564848.5367,,,,,,Pure Play,,,,,,
US9807451037,,527816.1071,,,,,,Pure Play,,,,,,
TH0201A10Y01,,454968.5566,,,,,,Pure Play,,,,,,
US1271903049,,441568.7251,,,,,,Pure Play,,,,,,
US92552V1008,,430290.2649,,,,,,Pure Play,,,,,,
FR0010221234,,340790.9033,,,,,,Pure Play,,,,,,
US0078001056,,255428.2584,,,,,,Pure Play,,,,,,
US46269C1027,,252864.9581,,,,,,Pure Play,,,,,,
KR7047810007,,227976.4834,,,,,,Pure Play,,,,,,
US2787681061,,168253.2858,,,,,,Pure Play,,,,,,
CNE1000001Y8,,157432.493,,,,,,Pure Play,,,,,,
US4835481031,,157402.6252,,,,,,Pure Play,,,,,,
US5438811060,,78316.00876,,,,,,Pure Play,,,,,,
US0464331083,,72526.33118,,,,,,Pure Play,,,,,,
US68555P1003,,49617.35948,,,,,,Pure Play,,,,,,
US2058262096,,49384.47449,,,,,,Pure Play,,,,,,
US38046C1099,,26142.87561,,,,,,Pure Play,,,,,,
US0970231058,,20399481.45,,,,,,Quasi Play,,,,,,
US4385161066,,11307581.1,,,,,,Quasi Play,,,,,,
US5398301094,,8306523.17,,,,,,Quasi Play,,,,,,
US7551115071,,5068874.198,,,,,,Quasi Play,,,,,,
US3695501086,,4755754.432,,,,,,Quasi Play,,,,,,
US4138751056,,1871123.022,,,,,,Quasi Play,,,,,,
FR0000121329,,1181089.214,,,,,,Quasi Play,,,,,,
US8485741099,,936496.8655,,,,,,Quasi Play,,,,,,
JP3906000009,,520595.4164,,,,,,Quasi Play,,,,,,
GB0005758098,,514329.1369,,,,,,Quasi Play,,,,,,
IT0003856405,,457177.8104,,,,,,Quasi Play,,,,,,
US05605H1005,,454043.5942,,,,,,Quasi Play,,,,,,
SG1F60858221,,421604.4119,,,,,,Quasi Play,,,,,,
US4228061093,,372734.5445,,,,,,Quasi Play,,,,,,
FR0000121725,,346703.364,,,,,,Quasi Play,,,,,,
GB00B07KD360,,342918.8604,,,,,,Quasi Play,,,,,,
BREMBRACNOR4,,333245.1142,,,,,,Quasi Play,,,,,,
JP3134800006,,318548.665,,,,,,Quasi Play,,,,,,
GB00B09LSH68,,296795.2319,,,,,,Quasi Play,,,,,,
US6153942023,,266765.1064,,,,,,Quasi Play,,,,,,
US0123481089,,199924.7765,,,,,,Quasi Play,,,,,,
US2963151046,,172991.1666,,,,,,Quasi Play,,,,,,
NO0003043309,,170438.299,,,,,,Quasi Play,,,,,,
US50077B2079,,137974.6936,,,,,,Quasi Play,,,,,,
US8968181011,,94340.45851,,,,,,Quasi Play,,,,,,
US8542311076,,87095.09719,,,,,,Quasi Play,,,,,,
US17273K1097,,60027.89402,,,,,,Quasi Play,,,,,,
JP3396350005,,53649.51963,,,,,,Quasi Play,,,,,,
