ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US5949181045,,95209025.55,,,,,,,,,,,,
US0231351067,,74981126.74,,,,,,,,,,,,
US01609W1027,,40238751.15,,,,,,,,,,,,
US02079K3059,,34225022.47,,,,,,,,,,,,
KYG875721634,,23703041.44,,,,,,,,,,,,
US64110L1061,,15015512.83,,,,,,,,,,,,
US70450Y1038,,12252722.96,,,,,,,,,,,,
US79466L3024,,11358099.97,,,,,,,,,,,,
ZAE000015889,,9244001.821,,,,,,,,,,,,
US09857L1089,,7400904.847,,,,,,,,,,,,
US81762P1021,,4833029.848,,,,,,,,,,,,
US9815581098,,3764549.972,,,,,,,,,,,,
US64110W1027,,3329034.203,,,,,,,,,,,,
US98138H1014,,3267157.682,,,,,,,,,,,,
US47215P1066,,3219898.825,,,,,,,,,,,,
US00507V1098,,3184379.732,,,,,,,,,,,,
US0567521085,,3144138.83,,,,,,,,,,,,
US2786421030,,2959833.083,,,,,,,,,,,,
US2855121099,,2712461.708,,,,,,,,,,,,
CA82509L1076,,2678726.123,,,,,,,,,,,,
US58733R1023,,2611734.136,,,,,,,,,,,,
US37940X1028,,2308924.736,,,,,,,,,,,,
US92343E1029,,2289586.673,,,,,,,,,,,,
US8522341036,,2084825.115,,,,,,,,,,,,
DE0007472060,,1963197.211,,,,,,,,,,,,
US8486371045,,1911431.822,,,,,,,,,,,,
US22160N1090,,1845711.729,,,,,,,,,,,,
US8919061098,,1736508.827,,,,,,,,,,,,
GB00BZ09BD16,,1443073.714,,,,,,,,,,,,
US32008D1063,,1422237.857,,,,,,,,,,,,
US2172041061,,1389925.602,,,,,,,,,,,,
IL0010824113,,1379957.685,,,,,,,,,,,,
US30212P3038,,1373608.712,,,,,,,,,,,,
KR7035420009,,1323770.694,,,,,,,,,,,,
US3802371076,,1294443.101,,,,,,,,,,,,
LU1778762911,,1253531.545,,,,,,,,,,,,
US00971T1016,,1242837.969,,,,,,,,,,,,
US8715031089,,1221231.32,,,,,,,,,,,,
US05278C1071,,1061170.243,,,,,,,,,,,,
US22943F1003,,1025904.066,,,,,,,,,,,,
NL0009805522,,1011985.777,,,,,,,,,,,,
JP3933800009,,946864.4301,,,,,,,,,,,,
US94419L1017,,875222.4711,,,,,,,,,,,,
JP3435750009,,808318.5015,,,,,,,,,,,,
JP3967200001,,792643.3976,,,,,,,,,,,,
US25470M1099,,762161.491,,,,,,,,,,,,
JP3758190007,,696271.2028,,,,,,,,,,,,
GB00B3MBS747,,691816.2091,,,,,,,,,,,,
US46267X1081,,585110.3054,,,,,,,,,,,,
US88034P1093,,406301.8529,,,,,,,,,,,,
