ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0231351067,,77243688.18,,,,,,,,,,,,
US02079K3059,,34983679.05,,,,,,,,,,,,
US30303M1027,,43994021.98,,,,,,,,,,,,
US01609W1027,,45810638.84,,,,,,,,,,,,
KYG875721634,,27190808.53,,,,,,,,,,,,
US64110L1061,,15119627.18,,,,,,,,,,,,
US70450Y1038,,12429835.8,,,,,,,,,,,,
US09857L1089,,7714046.87,,,,,,,,,,,,
US0567521085,,4226119.123,,,,,,,,,,,,
US45866F1049,,4474145.211,,,,,,,,,,,,
US47215P1066,,4346518.535,,,,,,,,,,,,
US00507V1098,,3489996.937,,,,,,,,,,,,
US64110W1027,,3353049.176,,,,,,,,,,,,
US88034P1093,,432754.8317,,,,,,,,,,,,
US22943F1003,,2144355.244,,,,,,,,,,,,
DE0007472060,,1785226.483,,,,,,,,,,,,
JP3967200001,,809736.5287,,,,,,,,,,,,
US46267X1081,,640356.5518,,,,,,,,,,,,
US9485961018,,727061.6959,,,,,,,,,,,,
JP3933800009,,748167.8836,,,,,,,,,,,,
US05278C1071,,1232586.409,,,,,,,,,,,,
JP3758190007,,693380.6572,,,,,,,,,,,,
GB00B3MBS747,,750950.0826,,,,,,,,,,,,
JP3435750009,,815122.0505,,,,,,,,,,,,
DE000ZAL1111,,513776.9003,,,,,,,,,,,,
FR0011981968,,227615.7036,,,,,,,,,,,,
US81141R1005,,730701.6467,,,,,,,,,,,,
US31680Q1040,,735959.8684,,,,,,,,,,,,
FR0000054470,,739465.3701,,,,,,,,,,,,
DE000A2E4K43,,548632.0825,,,,,,,,,,,,
JP3966750006,,173793.1369,,,,,,,,,,,,
US60879B1070,,499399.093,,,,,,,,,,,,
CNE1000004J3,,68436.95,,,,,,,,,,,,
GB00BVYVFW23,,683559.767,,,,,,,,,,,,
US98426T1060,,425509.2187,,,,,,,,,,,,
GB00BGDT3G23,,634470.1145,,,,,,,,,,,,
GB00BKX5CN86,,502233.3147,,,,,,,,,,,,
US3168271043,,432369.9078,,,,,,,,,,,,
JP3922950005,,252861.6272,,,,,,,,,,,,
DE000A12DM80,,503692.9122,,,,,,,,,,,,
JP3399310006,,368778.7673,,,,,,,,,,,,
US92763W1036,,479164.3813,,,,,,,,,,,,
JP3311400000,,409847.2871,,,,,,,,,,,,
KYG8918W1069,,161128.6592,,,,,,,,,,,,
US44852D1081,,133199.037,,,,,,,,,,,,
JP3921290007,,184144.5757,,,,,,,,,,,,
GB0030927254,,255413.5897,,,,,,,,,,,,
JP3206000006,,264680.4777,,,,,,,,,,,,
AU000000APT1,,288066.7315,,,,,,,,,,,,
DE000A12UKK6,,181418.0582,,,,,,,,,,,,
