ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US05722G1004,,,,,,,,,,,,0,,,1.1111111111111112
CA8738681037,,,,,,,,,,,,0,,,1.1111111111111112
US92242Y1001,,,,,,,,,,,,0,,,1.1111111111111112
US82935M1099,,,,,,,,,,,,0,,,1.1111111111111112
US48562P1030,,,,,,,,,,,,0,,,1.1111111111111112
US91913Y1001,,,,,,,,,,,,0,,,1.1111111111111112
US03349M1053,,,,,,,,,,,,0,,,1.1111111111111112
US3932221043,,,,,,,,,,,,0,,,1.1111111111111112
US1508701034,,,,,,,,,,,,0,,,1.1111111111111112
US56585A1025,,,,,,,,,,,,0,,,1.1111111111111112
US1055321053,,,,,,,,,,,,0,,,1.1111111111111112
US6515871076,,,,,,,,,,,,0,,,1.1111111111111112
US6400791090,,,,,,,,,,,,0,,,1.1111111111111112
US7185461040,,,,,,,,,,,,0,,,1.1111111111111112
US2774321002,,,,,,,,,,,,0,,,1.1111111111111112
BMG169621056,,,,,,,,,,,,0,,,1.1111111111111112
US0341641035,,,,,,,,,,,,0,,,1.1111111111111112
US87612G1013,,,,,,,,,,,,0,,,1.1111111111111112
US0394831020,,,,,,,,,,,,0,,,1.1111111111111112
US8808901081,,,,,,,,,,,,0,,,1.1111111111111112
NL0009434992,,,,,,,,,,,,0,,,1.1111111111111112
US4571871023,,,,,,,,,,,,0,,,1.1111111111111112
US7595091023,,,,,,,,,,,,0,,,1.1111111111111112
US81725T1007,,,,,,,,,,,,0,,,1.1111111111111112
AN8068571086,,,,,,,,,,,,0,,,1.1111111111111112
US9818111026,,,,,,,,,,,,0,,,1.1111111111111112
CA59151K1084,,,,,,,,,,,,0,,,1.1111111111111112
US0091581068,,,,,,,,,,,,0,,,1.1111111111111112
US61166W1018,,,,,,,,,,,,0,,,1.1111111111111112
US74005P1049,,,,,,,,,,,,0,,,1.1111111111111112
US0144911049,,,,,,,,,,,,0,,,1.1111111111111112
US19626G1085,,,,,,,,,,,,0,,,1.1111111111111112
US64976L2088,,,,,,,,,,,,0,,,1.1111111111111112
US6486911034,,,,,,,,,,,,0,,,1.1111111111111112
US10482B1017,,,,,,,,,,,,0,,,1.1111111111111112
US2644115055,,,,,,,,,,,,0,,,1.1111111111111112
US98417P1057,,,,,,,,,,,,0,,,1.1111111111111112
US93964W1080,,,,,,,,,,,,0,,,1.1111111111111112
US7201902068,,,,,,,,,,,,0,,,1.1111111111111112
US31154R1095,,,,,,,,,,,,0,,,1.1111111111111112
US9487411038,,,,,,,,,,,,0,,,1.1111111111111112
US1785871013,,,,,,,,,,,,0,,,1.1111111111111112
US41068X1000,,,,,,,,,,,,0,,,1.1111111111111112
US8754651060,,,,,,,,,,,,0,,,1.1111111111111112
US11120U1051,,,,,,,,,,,,0,,,1.1111111111111112
US16208T1025,,,,,,,,,,,,0,,,1.1111111111111112
US0389231087,,,,,,,,,,,,0,,,1.1111111111111112
US1652401027,,,,,,,,,,,,0,,,1.1111111111111112
US5179421087,,,,,,,,,,,,0,,,1.1111111111111112
US4278255009,,,,,,,,,,,,0,,,1.1111111111111112
US74965L1017,,,,,,,,,,,,0,,,1.1111111111111112
US6819361006,,,,,,,,,,,,0,,,1.1111111111111112
US64828T2015,,,,,,,,,,,,0,,,1.1111111111111112
US09257W1009,,,,,,,,,,,,0,,,1.1111111111111112
US63633D1046,,,,,,,,,,,,0,,,1.1111111111111112
US23317H8549,,,,,,,,,,,,0,,,1.1111111111111112
US36162J1060,,,,,,,,,,,,0,,,1.1111111111111112
US26884U1097,,,,,,,,,,,,0,,,1.1111111111111112
US49446R1095,,,,,,,,,,,,0,,,1.1111111111111112
US49803T3005,,,,,,,,,,,,0,,,1.1111111111111112
US91822M1062,,,,,,,,,,,,0,,,1.1111111111111112
US9604171036,,,,,,,,,,,,1,,,1.1111111111111112
US8465111032,,,,,,,,,,,,0,,,1.1111111111111112
US92763M1053,,,,,,,,,,,,1,,,1.1111111111111112
US5006311063,,,,,,,,,,,,0,,,1.1111111111111112
US69318Q1040,,,,,,,,,,,,1,,,1.1111111111111112
