ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US5949181045,,103335626,,,,,,Quasi Play,,,,,,
US0378331005,,91642265.37,,,,,,Quasi Play,,,,,,
US02079K3059,,33264582.43,,,,,,Quasi Play,,,,,,
KR7005930003,,18509234.25,,,,,,Quasi Play,,,,,,
IE00BTN1Y115,,13288631.78,,,,,,Quasi Play,,,,,,
US4385161066,,12782947.08,,,,,,Quasi Play,,,,,,
US79466L3024,,11644138.03,,,,,,Quasi Play,,,,,,
FR0000121014,,11070282.44,,,,,,Quasi Play,,,,,,
US6541061031,,10559459.04,,,,,,Quasi Play,,,,,,
US8825081040,,10545492.77,,,,,,Quasi Play,,,,,,
US3696041033,,9206272.934,,,,,,Quasi Play,,,,,,
US7475251036,,8832188.387,,,,,,Quasi Play,,,,,,
JP3435000009,,6697409.611,,,,,,Quasi Play,,,,,,
US1011371077,,5805154.352,,,,,,Quasi Play,,,,,,
US0326541051,,4148336.738,,,,,,Quasi Play,,,,,,
SE0000108656,,2909130.704,,,,,,Quasi Play,,,,,,
US0320951017,,2849720.707,,,,,,Quasi Play,,,,,,
FI0009000681,,2759473.447,,,,,,Quasi Play,,,,,,
US2193501051,,2591037.625,,,,,,Quasi Play,,,,,,
JP3914400001,,2304641.588,,,,,,Quasi Play,,,,,,
KYG9830T1067,,2077882.43,,,,,,Quasi Play,,,,,,
US5950171042,,1990049.625,,,,,,Quasi Play,,,,,,
DE0007472060,,1953009.413,,,,,,Quasi Play,,,,,,
US8716071076,,1936138.278,,,,,,Quasi Play,,,,,,
DE0006231004,,1905234.362,,,,,,Quasi Play,,,,,,
US57772K1016,,1577261.276,,,,,,Quasi Play,,,,,,
TW0002454006,,1533790.403,,,,,,Quasi Play,,,,,,
US83088M1027,,1304349.338,,,,,,Quasi Play,,,,,,
JP3818000006,,1287607.825,,,,,,Quasi Play,,,,,,
NL0000226223,,1109584.335,,,,,,Quasi Play,,,,,,
CH0114405324,,1079888.628,,,,,,Quasi Play,,,,,,
US9892071054,,1072778.773,,,,,,Quasi Play,,,,,,
US83304A1060,,1038780.351,,,,,,Quasi Play,,,,,,
JP3197800000,,935939.8577,,,,,,Quasi Play,,,,,,
JP3538800008,,891930.3391,,,,,,Quasi Play,,,,,,
US6821891057,,810047.9071,,,,,,Quasi Play,,,,,,
CH0012255151,,802313.5607,,,,,,Quasi Play,,,,,,
US74736K1016,,768075.341,,,,,,Quasi Play,,,,,,
US5747951003,,723484.7955,,,,,,Quasi Play,,,,,,
US3024451011,,723466.0505,,,,,,Quasi Play,,,,,,
INE280A01028,,662685.6273,,,,,,Quasi Play,,,,,,
KR7018260000,,615606.6529,,,,,,Quasi Play,,,,,,
TW0002357001,,508971.0289,,,,,,Quasi Play,,,,,,
US9043111072,,496740.4093,,,,,,Quasi Play,,,,,,
SG9999000020,,486552.7243,,,,,,Quasi Play,,,,,,
SG1F60858221,,470906.3038,,,,,,Quasi Play,,,,,,
US0538071038,,460034.0754,,,,,,Quasi Play,,,,,,
US4663131039,,442408.0302,,,,,,Quasi Play,,,,,,
US05464C1018,,422220.6282,,,,,,Quasi Play,,,,,,
US8269191024,,419118.9814,,,,,,Quasi Play,,,,,,
JP3414750004,,414236.7639,,,,,,Quasi Play,,,,,,
KYG2953R1149,,410191.5621,,,,,,Quasi Play,,,,,,
JP3830000000,,386478.0576,,,,,,Quasi Play,,,,,,
KR7034220004,,349744.929,,,,,,Quasi Play,,,,,,
JP3126400005,,323033.8911,,,,,,Quasi Play,,,,,,
TW0002301009,,314562.9316,,,,,,Quasi Play,,,,,,
DK0060738599,,312867.8725,,,,,,Quasi Play,,,,,,
US8168501018,,305279.4182,,,,,,Quasi Play,,,,,,
TW0002324001,,266012.1181,,,,,,Quasi Play,,,,,,
GB0059822006,,257806.8642,,,,,,Quasi Play,,,,,,
US1727551004,,241550.3832,,,,,,Quasi Play,,,,,,
JP3209000003,,224665.1277,,,,,,Quasi Play,,,,,,
CNE1000004Y2,,216455.8905,,,,,,Quasi Play,,,,,,
US9282981086,,208666.1799,,,,,,Quasi Play,,,,,,
US5184151042,,195221.1238,,,,,,Quasi Play,,,,,,
TW0002356003,,190427.9738,,,,,,Quasi Play,,,,,,
JP3359600008,,189833.0699,,,,,,Quasi Play,,,,,,
TW0002353000,,182781.8046,,,,,,Quasi Play,,,,,,
KYG3323L1005,,182020.8803,,,,,,Quasi Play,,,,,,
US49926D1090,,154783.8598,,,,,,Quasi Play,,,,,,
KYG037AX1015,,137016.5677,,,,,,Quasi Play,,,,,,
JP3306600002,,128948.7786,,,,,,Quasi Play,,,,,,
TW0002344009,,125619.5513,,,,,,Quasi Play,,,,,,
KYG6892A1085,,105735.7155,,,,,,Quasi Play,,,,,,
US87357P1003,,100234.2989,,,,,,Quasi Play,,,,,,
US87157D1090,,96875.28175,,,,,,Quasi Play,,,,,,
TW0002439007,,96852.57313,,,,,,Quasi Play,,,,,,
TW0008069006,,96578.24061,,,,,,Quasi Play,,,,,,
US0024441075,,77768.10747,,,,,,Quasi Play,,,,,,
US0316521006,,69004.76632,,,,,,Quasi Play,,,,,,
KYG7397A1067,,68963.31066,,,,,,Quasi Play,,,,,,
NL0013332471,,67231.96534,,,,,,Quasi Play,,,,,,
JP3705600009,,62824.33321,,,,,,Quasi Play,,,,,,
KR7091700005,,58857.16387,,,,,,Quasi Play,,,,,,
NO0003055501,,58258.97645,,,,,,Quasi Play,,,,,,
US43289P1066,,58012.865,,,,,,Quasi Play,,,,,,
SE0008374250,,57277.95929,,,,,,Quasi Play,,,,,,
TW0005371009,,55877.42516,,,,,,Quasi Play,,,,,,
CH0033361673,,53499.76213,,,,,,Quasi Play,,,,,,
US1572101053,,52082.88159,,,,,,Quasi Play,,,,,,
TW0003227005,,50768.253,,,,,,Quasi Play,,,,,,
KR7008060006,,49772.02833,,,,,,Quasi Play,,,,,,
KR7033640004,,44804.82715,,,,,,Quasi Play,,,,,,
TW0008150004,,43023.34143,,,,,,Quasi Play,,,,,,
TW0002392008,,42404.98882,,,,,,Quasi Play,,,,,,
US83409V1044,,6149.239127,,,,,,Quasi Play,,,,,,
US0079031078,,2997493.282,,,,,,Pure Play,,,,,,
US2521311074,,1388828.066,,,,,,Pure Play,,,,,,
CH0012549785,,1223727.251,,,,,,Pure Play,,,,,,
US2328061096,,811638.4833,,,,,,Pure Play,,,,,,
US45784P1012,,702449.4422,,,,,,Pure Play,,,,,,
DK0010272632,,636242.5672,,,,,,Pure Play,,,,,,
IT0004056880,,273354.0542,,,,,,Pure Play,,,,,,
AT0000A18XM4,,249298.1853,,,,,,Pure Play,,,,,,
US4500561067,,195394.9913,,,,,,Pure Play,,,,,,
TW0003481008,,195393.0571,,,,,,Pure Play,,,,,,
US0906721065,,167560.113,,,,,,Pure Play,,,,,,
US7274931085,,127437.6792,,,,,,Pure Play,,,,,,
US33812L1026,,100121.9352,,,,,,Pure Play,,,,,,
US38268T1034,,67188.12232,,,,,,Pure Play,,,,,,
JP3311530004,,57259.82335,,,,,,Pure Play,,,,,,
KYG898431096,,53203.78009,,,,,,Pure Play,,,,,,
US34988V1061,,48447.2616,,,,,,Pure Play,,,,,,
US44331K1034,,22213.10369,,,,,,Pure Play,,,,,,
