ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US9130171096,,89074.14061,,,,,,,,United States,,,,,,0.1302028562903068
US0970231058,,80754.2757,,,,,,,,United States,,,,,,0.11804141226386977
US5398301094,,73597.07082000001,,,,,,,,United States,,,,,,0.10757946997569122
US3695501086,,46469.56938,,,,,,,,United States,,,,,,0.06792623114207536
NL0000235190,,44999.23812,,,,,,,,Netherlands,,,,,,0.06577699536574463
US7551115071,,41351.66235,,,,,,,,United States,,,,,,0.060445203438964056
US6668071029,,37870.40025,,,,,,,,United States,,,,,,0.055356518150382054
FR0000073272,,29112.771739999996,,,,,,,,France,,,,,,0.04255517941702345
GB0002634946,,22388.85577,,,,,,,,United Kingdom,,,,,,0.032726591021395156
GB00B63H8491,,18543.22475,,,,,,,,United Kingdom,,,,,,0.027105294653968937
FR0000121329,,18304.07131,,,,,,,,France,,,,,,0.026755715519481537
US8936411003,,15190.64535,,,,,,,,United States,,,,,,0.02220470946919268
US0138721065,,13259.03191,,,,,,,,United States,,,,,,0.01938120103661724
US5024131071,,11494.8568,,,,,,,,United States,,,,,,0.01680244319797604
US8832031012,,11007.6044,,,,,,,,United States,,,,,,0.01609020894255865
US7743411016,,10873.92539,,,,,,,,United States,,,,,,0.015894805553776405
FR0000121725,,9711.652347,,,,,,,,France,,,,,,0.014195869488253058
US4464131063,,7728.13913,,,,,,,,United States,,,,,,0.011296497295893321
FR0000125684,,6588.466318,,,,,,,,France,,,,,,0.009630596796123058
IT0003856405,,6587.249954,,,,,,,,Italy,,,,,,0.009628818793371595
US8485741099,,5913.071,,,,,,,,United States,,,,,,0.008643347310172614
DE000A0D9PT0,,5279.53192,,,,,,,,Germany,,,,,,0.0077172805839304925
US0733021010,,5137.14375,,,,,,,,United States,,,,,,0.007509146704569006
GB0005758098,,4755.070211,,,,,,,,United Kingdom,,,,,,0.006950656151081016
US68557N1037,,4416.9545100000005,,,,,,,,United States,,,,,,0.006456420341166764
CNE1000001Y8,,1731.611033,,,,,,,,China,,,,,,0.0025311577629197704
IL0010811243,,4149.148886999999,,,,,,,,Israel,,,,,,0.006064959286292544
US4282911084,,4148.31105,,,,,,,,United States,,,,,,0.006063734589991703
US4228061093,,1832.4734399999998,,,,,,,,United States,,,,,,0.002678591949696994
US05605H1005,,4013.53615,,,,,,,,United States,,,,,,0.0058667292996114956
US2315611010,,3993.6277,,,,,,,,United States,,,,,,0.005837628406394214
CA1247651088,,3830.3039770000005,,,,,,,,Canada,,,,,,0.005598892280634956
CA0977512007,,3166.904955,,,,,,,,Canada,,,,,,0.004629178209490732
US8793601050,,3713.15098,,,,,,,,United States,,,,,,0.005427645555963695
SE0000112385,,3646.5122340000003,,,,,,,,Sweden,,,,,,0.0053302373181812685
GB00B07KD360,,3616.8881060000003,,,,,,,,United Kingdom,,,,,,0.005286934671034802
US29082A1079,,3259.897339,,,,,,,,Brazil,,,,,,0.004765108502246043
CA5542821031,,2395.508719,,,,,,,,Canada,,,,,,0.0035016007490631675
US2974251009,,2262.0222,,,,,,,,United States,,,,,,0.0033064787312583827
BMG5326A1062,,2151.024596,,,,,,,,Hong Kong,,,,,,0.0031442295646292315
US6153942023,,1919.41662,,,,,,,,United States,,,,,,0.002805679904668422
US4825391034,,1968.0793800000001,,,,,,,,United States,,,,,,0.002876812000960108
GB00B0WMWD03,,1739.5673940000001,,,,,,,,United Kingdom,,,,,,0.0025427878602834104
US25389M8771,,1697.4323100000001,,,,,,,,United States,,,,,,0.0024811975014063905
US8968181011,,1578.0258,,,,,,,,United States,,,,,,0.0023066567362057698
GB0009123323,,1556.400188,,,,,,,,United Kingdom,,,,,,0.0022750458058937483
US05464C1018,,1424.16428,,,,,,,,United States,,,,,,0.002081751850904871
US9508141036,,1354.8601800000001,,,,,,,,United States,,,,,,0.0019804475698774774
GB0007958233,,1296.919672,,,,,,,,United Kingdom,,,,,,0.001895753857596357
US2296691064,,1263.7654400000001,,,,,,,,United States,,,,,,0.0018472911312096727
