ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US5949181045,,95209025.55,,,,,,,,,,,,,8.0
US0231351067,,74981126.74,,,,,,,,,,,,,8.0
US01609W1027,,40238751.15,,,,,,,,,,,,,7.0
US02079K3059,,34225022.47,,,,,,,,,,,,,6.5
KYG875721634,,23703041.44,,,,,,,,,,,,,6.0
US64110L1061,,15015512.83,,,,,,,,,,,,,5.5
US70450Y1038,,12252722.96,,,,,,,,,,,,,5.0
US79466L3024,,11358099.97,,,,,,,,,,,,,4.5
ZAE000015889,,9244001.821,,,,,,,,,,,,,4.5
US09857L1089,,7400904.847,,,,,,,,,,,,,4.149811370318764
US81762P1021,,4833029.848,,,,,,,,,,,,,2.7099608265400477
US9815581098,,3764549.972,,,,,,,,,,,,,2.110846254734827
US64110W1027,,3329034.203,,,,,,,,,,,,,1.8666452647866967
US98138H1014,,3267157.682,,,,,,,,,,,,,1.8319500625499519
US47215P1066,,3219898.825,,,,,,,,,,,,,1.8054512294773493
US00507V1098,,3184379.732,,,,,,,,,,,,,1.785535078811724
US0567521085,,3144138.83,,,,,,,,,,,,,1.7629713307128452
US2786421030,,2959833.083,,,,,,,,,,,,,1.6596280098180056
US2855121099,,2712461.708,,,,,,,,,,,,,1.5209227344647485
CA82509L1076,,2678726.123,,,,,,,,,,,,,1.5020066266223266
US58733R1023,,2611734.136,,,,,,,,,,,,,1.464443096875618
US37940X1028,,2308924.736,,,,,,,,,,,,,1.2946527918876038
US92343E1029,,2289586.673,,,,,,,,,,,,,1.2838096159008363
US8522341036,,2084825.115,,,,,,,,,,,,,1.168996378984674
DE0007472060,,1963197.211,,,,,,,,,,,,,1.100797575000343
US8486371045,,1911431.822,,,,,,,,,,,,,1.0717718539159473
US22160N1090,,1845711.729,,,,,,,,,,,,,1.034921496449136
US8919061098,,1736508.8269999998,,,,,,,,,,,,,0.9736895993014375
GB00BZ09BD16,,1443073.7140000002,,,,,,,,,,,,,0.8091556141263989
US32008D1063,,1422237.8569999998,,,,,,,,,,,,,0.7974725999441552
US2172041061,,1389925.602,,,,,,,,,,,,,0.7793545770845596
IL0010824113,,1379957.685,,,,,,,,,,,,,0.7737653989826737
US30212P3038,,1373608.7119999998,,,,,,,,,,,,,0.7702054234269917
KR7035420009,,1323770.6940000001,,,,,,,,,,,,,0.7422604115607219
US3802371076,,1294443.101,,,,,,,,,,,,,0.7258159387007828
LU1778762911,,1253531.545,,,,,,,,,,,,,0.7028761436654432
US00971T1016,,1242837.969,,,,,,,,,,,,,0.696880076401836
US8715031089,,1221231.32,,,,,,,,,,,,,0.6847648662284432
US05278C1071,,1061170.243,,,,,,,,,,,,,0.595015938089026
US22943F1003,,1025904.066,,,,,,,,,,,,,0.5752416016629068
NL0009805522,,1011985.777,,,,,,,,,,,,,0.5674373837812251
JP3933800009,,946864.4301,,,,,,,,,,,,,0.5309227532863289
US94419L1017,,875222.4711,,,,,,,,,,,,,0.4907519063160932
JP3435750009,,808318.5015,,,,,,,,,,,,,0.45323772940053914
JP3967200001,,792643.3976,,,,,,,,,,,,,0.4444484359641404
US25470M1099,,762161.4909999999,,,,,,,,,,,,,0.42735672012496845
JP3758190007,,696271.2028,,,,,,,,,,,,,0.39041093135742644
GB00B3MBS747,,691816.2091,,,,,,,,,,,,,0.38791294173411
US46267X1081,,585110.3054,,,,,,,,,,,,,0.3280811533773262
US88034P1093,,406301.8529,,,,,,,,,,,,,0.22782025763099256
